EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,00:00:00,2,202.0,215.5,27.0,175.0,0.0,53.662872,1.13,219.75
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,01:00:00,2,123.0,127.0,8.0,115.0,0.0,53.28813,0.665,233.95
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,02:00:00,2,79.0,84.5,11.0,68.0,0.0,51.148735,0.48499998,245.465
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,03:00:00,2,47.0,49.5,5.0,42.0,0.0,55.463406,0.295,248.685
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,04:00:00,2,21.0,21.5,1.0,20.0,0.0,59.666668,0.17500001,250.0
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,05:00:00,2,30.0,32.5,5.0,25.0,0.0,53.265,0.22500001,249.54001
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,06:00:00,2,61.0,66.0,10.0,51.0,0.0,47.216064,0.435,245.48999
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,07:00:00,2,163.0,182.0,38.0,125.0,0.0,33.009144,1.445,227.23999
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,08:00:00,2,423.0,449.5,53.0,370.0,0.0,48.180473,3.1899998,178.99
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,09:00:00,2,478.0,514.0,72.0,406.0,0.0,47.416695,3.69,174.325
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,10:00:00,2,498.0,533.5,71.0,427.0,0.0,40.54801,4.085,172.41
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,11:00:00,2,474.0,503.5,59.0,415.0,0.0,42.209705,3.75,181.37
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,12:00:00,2,547.0,577.5,61.0,486.0,0.0,44.869507,4.045,176.73
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,13:00:00,2,524.0,547.5,47.0,477.0,0.0,43.367825,4.035,170.685
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,14:00:00,2,513.0,551.0,76.0,437.0,0.0,45.99195,3.79,170.815
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,15:00:00,2,544.0,581.5,75.0,469.0,0.0,41.875217,4.395,169.85
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,16:00:00,2,608.0,647.5,79.0,529.0,0.0,40.779343,5.29,156.49
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,17:00:00,2,718.0,764.0,92.0,626.0,0.0,44.631393,5.4750004,147.56
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,18:00:00,2,765.0,812.0,94.0,671.0,0.0,45.065453,5.925,146.25
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,19:00:00,2,876.0,934.0678,85.0,791.0,0.0,45.22854,6.5,130.955
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,20:00:00,2,790.0,835.0,90.0,700.0,0.0,45.143166,5.6,138.515
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,21:00:00,2,580.0,615.5,71.0,509.0,0.0,46.385777,4.23,164.415
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,22:00:00,2,531.0,559.5,57.0,474.0,0.0,48.545383,3.5249999,174.86
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-14,23:00:00,2,399.0,416.5,35.0,364.0,0.0,49.34757,2.6,189.64
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,00:00:00,2,232.0,249.5,35.0,197.0,0.0,50.743107,1.45,214.61
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,01:00:00,2,125.0,130.5,11.0,114.0,0.0,53.324318,0.685,235.315
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,02:00:00,2,78.0,81.0,6.0,72.0,0.0,55.61462,0.46,245.25
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,03:00:00,2,56.0,60.0,8.0,48.0,0.0,56.146786,0.355,247.735
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,04:00:00,2,33.0,35.0,4.0,29.0,0.0,64.366066,0.185,250.0
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,05:00:00,2,35.0,37.0,4.0,31.0,0.0,51.082,0.23,249.09
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,06:00:00,2,66.0,72.5,13.0,53.0,0.0,44.611816,0.5,245.58499
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,07:00:00,2,171.0,187.0,32.0,139.0,0.0,34.378593,1.6999999,226.98001
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,08:00:00,2,497.0,536.5,79.0,418.0,0.0,46.385273,3.8999999,171.92
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,09:00:00,2,522.0,561.0,78.0,444.0,0.0,44.87521,4.29,171.64
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,10:00:00,2,502.0,536.0,68.0,434.0,0.0,40.598763,4.13,175.625
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,11:00:00,2,447.0,476.5,59.0,388.0,0.0,40.057022,3.895,178.315
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,12:00:00,2,428.0,456.0,56.0,372.0,0.0,43.10033,3.24,176.25
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,13:00:00,2,420.0,447.5,55.0,365.0,0.0,47.049,2.965,183.475
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,14:00:00,2,408.0,434.5,53.0,355.0,0.0,43.2001,3.29,183.975
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,15:00:00,2,482.0,515.0,66.0,416.0,0.0,43.98417,3.57,172.565
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,16:00:00,2,505.0,548.0,86.0,419.0,0.0,43.46735,3.795,170.285
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,17:00:00,2,644.0,687.0,86.0,558.0,0.0,45.718277,4.795,154.16
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,18:00:00,2,720.0,765.5,91.0,629.0,0.0,46.789333,5.75,144.55
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,19:00:00,2,785.0,838.47455,79.0,706.0,0.0,46.11939,6.0499997,136.44499
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,20:00:00,2,737.0,775.5,77.0,660.0,0.0,45.822372,6.1150002,139.13
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,21:00:00,2,528.0,552.5,49.0,479.0,0.0,45.374794,4.09,164.65
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,22:00:00,2,794.0,822.0,56.0,738.0,0.0,34.208714,3.6,164.95001
VQKWL61,民權東路六段203巷口往西30M,向東,2016-11-15,23:00:00,2,446.0,469.0,46.0,400.0,0.0,52.97242,2.645,179.45
