EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMV60,明水路417號前,往東,2016-11-14,00:00:00,2,321.0,331.01694,9.0,312.0,0.0,65.468414,1.635,0.0
VSEMV60,明水路417號前,往東,2016-11-14,01:00:00,2,197.0,205.42372,10.0,187.0,0.0,66.64578,1.005,0.0
VSEMV60,明水路417號前,往東,2016-11-14,02:00:00,2,117.0,124.067795,10.0,107.0,0.0,72.45384,0.605,0.0
VSEMV60,明水路417號前,往東,2016-11-14,03:00:00,2,89.0,92.03389,3.0,86.0,0.0,67.59786,0.52,0.0
VSEMV60,明水路417號前,往東,2016-11-14,04:00:00,2,69.0,72.71186,5.0,64.0,0.0,74.55305,0.26,0.0
VSEMV60,明水路417號前,往東,2016-11-14,05:00:00,2,67.0,69.66101,3.0,64.0,0.0,65.39045,0.44,0.0
VSEMV60,明水路417號前,往東,2016-11-14,06:00:00,2,135.0,139.32202,4.0,131.0,0.0,68.340004,0.73,0.0
VSEMV60,明水路417號前,往東,2016-11-14,07:00:00,2,394.0,406.27118,11.0,383.0,0.0,63.446472,2.045,0.0
VSEMV60,明水路417號前,往東,2016-11-14,08:00:00,2,1388.0,1424.7457,26.0,1362.0,0.0,54.844067,8.07,0.0
VSEMV60,明水路417號前,往東,2016-11-14,09:00:00,2,1722.0,1898.9474,164.0,1558.0,0.0,44.671368,14.4800005,0.0
VSEMV60,明水路417號前,往東,2016-11-14,10:00:00,2,1338.0,1382.0339,42.0,1296.0,0.0,55.114944,7.9350004,0.0
VSEMV60,明水路417號前,往東,2016-11-14,11:00:00,2,978.0,1055.3572,14.0,964.0,0.0,58.21133,5.71,0.0
VSEMV60,明水路417號前,往東,2016-11-14,12:00:00,2,977.0,1006.2711,25.0,952.0,0.0,57.70992,5.395,0.0
VSEMV60,明水路417號前,往東,2016-11-14,13:00:00,2,958.0,986.9491,25.0,933.0,0.0,56.031544,5.3999996,0.0
VSEMV60,明水路417號前,往東,2016-11-14,14:00:00,2,1063.0,1089.661,17.0,1046.0,0.0,56.8333,5.9449997,0.0
VSEMV60,明水路417號前,往東,2016-11-14,15:00:00,2,1108.0,1158.6207,24.0,1084.0,0.0,56.152744,6.4700003,0.0
VSEMV60,明水路417號前,往東,2016-11-14,16:00:00,2,1196.0,1228.4745,24.0,1172.0,0.0,56.692387,6.745,0.0
VSEMV60,明水路417號前,往東,2016-11-14,17:00:00,2,1206.0,1244.2373,35.0,1171.0,0.0,55.146404,7.105,0.0
VSEMV60,明水路417號前,往東,2016-11-14,18:00:00,2,1500.0,1541.1864,31.0,1469.0,0.0,50.1205,9.57,0.0
VSEMV60,明水路417號前,往東,2016-11-14,19:00:00,2,1635.0,1687.1187,48.0,1587.0,0.0,48.098454,11.105,0.0
VSEMV60,明水路417號前,往東,2016-11-14,20:00:00,2,1222.0,1254.9153,24.0,1198.0,0.0,54.12,7.26,0.0
VSEMV60,明水路417號前,往東,2016-11-14,21:00:00,2,890.0,916.77966,23.0,867.0,0.0,57.365463,5.025,0.0
VSEMV60,明水路417號前,往東,2016-11-14,22:00:00,2,884.0,909.661,21.0,863.0,0.0,57.751957,4.9300003,0.0
