EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,00:00:00,1,91.0,92.54237,0.0,91.0,0.0,57.7,1.04,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,01:00:00,1,46.0,46.77966,0.0,46.0,0.0,61.13,0.54,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,02:00:00,1,26.0,27.457626,2.0,24.0,0.0,66.35,0.36,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,03:00:00,1,24.0,25.423729,2.0,22.0,0.0,58.58,0.34,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,04:00:00,1,11.0,11.18644,0.0,11.0,0.0,60.64,0.15,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,05:00:00,1,17.0,17.288136,0.0,17.0,0.0,61.59,0.26,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,06:00:00,1,35.0,36.101692,1.0,34.0,0.0,63.31,0.48,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,07:00:00,1,156.0,160.67796,4.0,152.0,0.0,59.46,1.71,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,08:00:00,1,550.0,559.8305,1.0,549.0,0.0,54.51,6.28,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,09:00:00,1,501.0,512.54236,6.0,495.0,0.0,54.3,5.81,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,10:00:00,1,385.0,414.64285,4.0,381.0,0.0,56.82,4.47,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,11:00:00,1,382.0,391.52542,6.0,376.0,0.0,57.98,4.13,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,12:00:00,1,378.0,388.47458,8.0,370.0,0.0,57.13,4.14,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,13:00:00,1,357.0,367.11862,8.0,349.0,0.0,58.290005,3.96,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,14:00:00,1,433.0,451.0345,6.0,427.0,0.0,55.95,5.05,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,15:00:00,1,419.0,440.68967,14.0,405.0,0.0,56.159996,4.86,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,16:00:00,1,468.0,488.79312,9.0,459.0,0.0,55.71,5.42,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,17:00:00,1,518.0,533.38983,13.0,505.0,0.0,54.99,6.01,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,18:00:00,1,670.0,682.88135,3.0,667.0,0.0,50.180004,8.38,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,19:00:00,1,727.0,743.38983,8.0,719.0,0.0,47.4,9.68,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,20:00:00,1,537.0,549.661,7.0,530.0,0.0,51.19,6.62,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,21:00:00,1,373.0,384.91525,11.0,362.0,0.0,54.94,4.32,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,22:00:00,1,310.0,318.81354,7.0,303.0,0.0,56.62,3.46,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-14,23:00:00,1,198.0,203.8983,5.0,193.0,0.0,58.14,2.17,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,00:00:00,1,95.0,97.118645,1.0,94.0,0.0,61.63,1.07,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,01:00:00,1,60.0,61.01695,0.0,60.0,0.0,58.23,0.71,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,02:00:00,1,30.0,30.508474,0.0,30.0,0.0,53.6,0.44,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,03:00:00,1,20.0,20.5,1.0,19.0,0.0,58.8,0.3,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,04:00:00,1,14.0,14.482759,0.0,14.0,0.0,48.360004,0.24,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,05:00:00,1,12.0,12.203389,0.0,12.0,0.0,55.08,0.17,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,06:00:00,1,46.0,48.305084,3.0,43.0,0.0,59.5,0.58,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,07:00:00,1,135.0,139.32204,4.0,131.0,0.0,58.16,1.54,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,08:00:00,1,600.0,612.71185,5.0,595.0,0.0,51.31,7.32,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,09:00:00,1,512.0,522.71185,4.0,508.0,0.0,53.52,5.98,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,10:00:00,1,423.0,456.96426,7.0,416.0,0.0,55.45,5.16,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,11:00:00,1,399.0,410.84744,10.0,389.0,0.0,55.170002,4.6,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,12:00:00,1,449.0,461.18643,9.0,440.0,0.0,55.07,5.2,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,13:00:00,1,382.0,400.34485,10.0,372.0,0.0,58.03,4.32,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,14:00:00,1,437.0,448.47458,8.0,429.0,0.0,56.85,4.85,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,15:00:00,1,373.0,495.00003,13.0,360.0,0.0,54.12,5.47,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,16:00:00,1,457.0,523.01886,10.0,447.0,0.0,54.85,5.95,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,17:00:00,1,527.0,541.5254,11.0,516.0,0.0,54.99,6.11,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,18:00:00,1,715.0,732.20337,10.0,705.0,0.0,47.169994,9.5,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,19:00:00,1,757.0,778.98303,18.0,739.0,0.0,44.489998,10.9,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,20:00:00,1,576.0,591.3559,11.0,565.0,0.0,51.61,7.05,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,21:00:00,1,436.0,446.94913,7.0,429.0,0.0,53.539997,5.17,0.0
VSGLN60,明水路大直橋往西約130M處,往東,2016-11-15,22:00:00,1,321.0,327.4576,2.0,319.0,0.0,56.38,3.62,0.0
