EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,00:00:00,2,142.0,147.45763,6.0,136.0,0.0,43.15704,1.14,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,01:00:00,2,91.0,93.55932,2.0,89.0,0.0,46.693295,0.705,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,02:00:00,2,60.0,61.52542,1.0,59.0,0.0,45.134666,0.49,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,03:00:00,2,44.0,45.76271,2.0,42.0,0.0,36.067955,0.37,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,04:00:00,2,36.0,36.61017,0.0,36.0,0.0,40.83361,0.305,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,05:00:00,2,30.0,31.525423,2.0,28.0,0.0,41.235336,0.255,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,06:00:00,2,65.0,70.169495,8.0,57.0,0.0,41.231693,0.58500004,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,07:00:00,2,184.0,198.30508,22.0,162.0,0.0,46.09326,1.45,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,08:00:00,2,799.0,836.4407,47.0,752.0,0.0,46.642765,5.635,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,09:00:00,2,855.0,905.5932,71.0,784.0,0.0,45.568256,6.355,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,10:00:00,2,538.0,570.5084,46.0,492.0,0.0,44.819965,4.12,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,11:00:00,2,499.0,530.339,45.0,454.0,0.0,43.18948,3.9299998,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,12:00:00,2,445.0,467.28812,29.0,416.0,0.0,43.9342,3.44,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,13:00:00,2,415.0,435.2542,26.0,389.0,0.0,42.622536,3.2150002,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,14:00:00,2,442.0,466.27118,33.0,409.0,0.0,44.07541,3.375,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,15:00:00,2,436.0,469.65518,36.0,400.0,0.0,43.882526,3.4450002,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,16:00:00,2,466.0,496.77966,45.0,421.0,0.0,43.853474,3.67,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,17:00:00,2,437.0,464.74573,40.0,397.0,0.0,44.521946,3.405,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,18:00:00,2,508.0,532.88135,32.0,476.0,0.0,42.556694,3.96,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,19:00:00,2,432.0,461.37933,28.0,404.0,0.0,42.67741,3.56,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,20:00:00,2,356.0,378.30508,32.0,324.0,0.0,41.43472,2.9,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,21:00:00,2,304.0,321.86438,25.0,279.0,0.0,44.101246,2.3600001,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,22:00:00,2,344.0,368.27588,24.0,320.0,0.0,42.730465,2.6399999,0.0
VCZLY20,基隆路三段155巷口右側,往北,2016-11-14,23:00:00,2,270.0,284.74576,20.0,250.0,0.0,43.472965,2.1200001,0.0
