EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,00:00:00,2,136.0,159.15254,41.0,95.0,0.0,50.538826,0.91499996,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,01:00:00,2,153.0,175.93219,40.0,113.0,0.0,51.871964,0.90000004,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,02:00:00,2,114.0,124.067795,16.0,98.0,0.0,92.830345,0.425,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,03:00:00,2,74.0,94.067795,37.0,37.0,0.0,63.50973,0.325,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,04:00:00,2,55.0,74.23729,36.0,19.0,0.0,73.00037,0.24000001,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,05:00:00,2,68.0,83.38983,28.0,40.0,0.0,89.24691,0.25,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,06:00:00,2,72.0,86.94915,27.0,45.0,0.0,105.44417,0.285,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,07:00:00,2,172.0,189.15254,28.0,144.0,0.0,69.618774,0.715,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,08:00:00,2,284.0,314.23727,50.0,234.0,0.0,42.81623,2.165,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,09:00:00,2,388.0,442.37286,94.0,294.0,0.0,34.905876,3.685,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,10:00:00,2,395.0,445.4237,86.0,309.0,0.0,31.766203,4.855,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,11:00:00,2,291.0,336.10168,79.0,212.0,0.0,35.64247,2.8649998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,12:00:00,2,273.0,308.1356,60.0,213.0,0.0,35.79154,2.75,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,13:00:00,2,247.0,281.89655,51.0,196.0,0.0,35.543365,2.54,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,14:00:00,2,310.0,345.2542,59.0,251.0,0.0,35.212517,3.1750002,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,15:00:00,2,285.0,315.0,39.0,246.0,0.0,24.804493,3.5749998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,16:00:00,2,357.0,396.61017,66.0,291.0,0.0,25.022436,5.0649996,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,17:00:00,2,452.0,509.49152,98.0,354.0,0.0,30.484625,5.4350004,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,18:00:00,2,473.0,538.47455,113.0,360.0,0.0,29.998075,4.87,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,19:00:00,2,607.0,710.339,183.0,424.0,0.0,25.188814,9.639999,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,20:00:00,2,445.0,511.52542,116.0,329.0,0.0,31.97173,5.29,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,21:00:00,2,355.0,408.30505,93.0,262.0,0.0,32.149296,4.16,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,22:00:00,2,315.0,340.1695,39.0,276.0,0.0,30.99422,3.255,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-14,23:00:00,2,278.0,313.7288,61.0,217.0,0.0,35.64194,2.855,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,00:00:00,2,136.0,155.59322,34.0,102.0,0.0,42.011543,1.17,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,01:00:00,2,133.0,150.50847,30.0,103.0,0.0,66.3688,0.755,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,02:00:00,2,113.0,118.98305,8.0,105.0,0.0,79.452034,0.59000003,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,03:00:00,2,75.0,78.305084,4.0,71.0,0.0,90.516266,0.285,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,04:00:00,2,43.0,45.76271,4.0,39.0,0.0,102.417206,0.135,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,05:00:00,2,55.0,64.067795,16.0,39.0,0.0,96.02092,0.2,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,06:00:00,2,60.0,70.16949,18.0,42.0,0.0,84.71834,0.29,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,07:00:00,2,166.0,176.44067,15.0,151.0,0.0,54.40819,0.985,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,08:00:00,2,263.0,294.40677,53.0,210.0,0.0,39.75806,2.35,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,09:00:00,2,467.0,523.22034,95.0,372.0,0.0,32.878567,5.125,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,10:00:00,2,306.0,347.7966,72.0,234.0,0.0,26.940784,3.745,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,11:00:00,2,294.0,330.50848,62.0,232.0,0.0,39.731087,2.615,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,12:00:00,2,339.0,373.72882,57.0,282.0,0.0,33.845222,3.53,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,13:00:00,2,236.0,273.6842,48.0,188.0,0.0,36.871353,2.35,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,14:00:00,2,276.0,310.1695,58.0,218.0,0.0,32.012497,2.925,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,15:00:00,2,344.0,379.32202,58.0,286.0,0.0,27.782354,4.1549997,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,16:00:00,2,340.0,379.32202,66.0,274.0,0.0,30.549294,4.025,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,17:00:00,2,499.0,553.72876,91.0,408.0,0.0,30.162123,5.59,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,18:00:00,2,472.0,540.0,118.0,354.0,0.0,32.281162,5.59,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,19:00:00,2,575.0,661.5254,151.0,424.0,0.0,29.51433,7.53,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,20:00:00,2,403.0,442.88135,65.0,338.0,0.0,30.809156,4.67,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,21:00:00,2,386.0,434.74576,83.0,303.0,0.0,34.20907,4.0950003,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,22:00:00,2,397.0,439.8305,71.0,326.0,0.0,35.71816,3.5700002,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-15,23:00:00,2,276.0,310.67795,59.0,217.0,0.0,38.942463,2.565,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,00:00:00,2,160.0,186.10168,46.0,114.0,0.0,49.075626,1.035,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,01:00:00,2,146.0,158.13559,19.0,127.0,0.0,76.21,0.655,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,02:00:00,2,93.0,101.18644,13.0,80.0,0.0,84.32376,0.32999998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,03:00:00,2,99.0,106.77966,12.0,87.0,0.0,82.659096,0.425,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,04:00:00,2,64.0,72.203384,14.0,50.0,0.0,84.03235,0.285,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,05:00:00,2,76.0,86.440674,18.0,58.0,0.0,82.86487,0.35500002,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,06:00:00,2,84.0,99.15254,27.0,57.0,0.0,48.8425,0.45499998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,07:00:00,2,189.0,211.52542,38.0,151.0,0.0,50.405872,1.01,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,08:00:00,2,303.0,327.4576,38.0,265.0,0.0,39.411583,2.6599998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,09:00:00,2,378.0,421.01694,72.0,306.0,0.0,31.294603,3.9050002,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,10:00:00,2,350.0,396.61017,80.0,270.0,0.0,37.246597,3.45,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,11:00:00,2,402.0,460.1695,101.0,301.0,0.0,36.526867,4.0699997,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,12:00:00,2,303.0,342.20337,67.0,236.0,0.0,38.731785,2.8249998,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,13:00:00,2,312.0,363.1579,66.0,246.0,0.0,32.421795,3.9750001,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,14:00:00,2,275.0,318.6207,66.0,209.0,0.0,38.706364,2.45,0.0
VF9NH00,基隆路二段228-1號前,往北,2016-11-16,15:00:00,2,360.0,412.88135,92.0,268.0,0.0,31.509998,4.035,0.0
