EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VG7PG50,基隆-和平東 往南,往北,2016-11-14,00:00:00,2,561.0,608.5,95.0,466.0,0.0,43.946205,2.09,114.875
VG7PG50,基隆-和平東 往南,往北,2016-11-14,01:00:00,2,426.0,465.0,78.0,348.0,0.0,44.327255,1.635,119.175
VG7PG50,基隆-和平東 往南,往北,2016-11-14,02:00:00,2,261.0,281.0,40.0,221.0,0.0,44.467434,0.83,113.975006
VG7PG50,基隆-和平東 往南,往北,2016-11-14,03:00:00,2,196.0,216.0,40.0,156.0,0.0,44.739132,0.575,115.075
VG7PG50,基隆-和平東 往南,往北,2016-11-14,04:00:00,2,127.0,135.0,16.0,111.0,0.0,44.288185,0.28,115.15
VG7PG50,基隆-和平東 往南,往北,2016-11-14,05:00:00,2,196.0,209.0,26.0,170.0,0.0,44.745308,0.46499997,126.259995
VG7PG50,基隆-和平東 往南,往北,2016-11-14,06:00:00,2,324.0,356.0,64.0,260.0,0.0,45.384537,1.165,124.83
VG7PG50,基隆-和平東 往南,往北,2016-11-14,07:00:00,2,725.0,754.5,59.0,666.0,0.0,43.87604,4.075,109.43
VG7PG50,基隆-和平東 往南,往北,2016-11-14,08:00:00,2,1436.0,1492.0,112.0,1324.0,0.0,43.444096,8.150001,64.825
VG7PG50,基隆-和平東 往南,往北,2016-11-14,09:00:00,2,1287.0,1344.0,114.0,1173.0,0.0,43.830345,6.38,70.93
VG7PG50,基隆-和平東 往南,往北,2016-11-14,10:00:00,2,903.0,948.0,90.0,813.0,0.0,44.526775,3.635,77.95
VG7PG50,基隆-和平東 往南,往北,2016-11-14,11:00:00,2,980.0,1056.0,152.0,828.0,0.0,44.60071,4.555,82.2
VG7PG50,基隆-和平東 往南,往北,2016-11-14,12:00:00,2,1105.0,1191.5,173.0,932.0,0.0,44.79883,5.465,84.11
VG7PG50,基隆-和平東 往南,往北,2016-11-14,13:00:00,2,1114.0,1167.0,100.0,999.0,0.0,42.334457,6.2749996,70.11
VG7PG50,基隆-和平東 往南,往北,2016-11-14,14:00:00,2,872.0,974.0339,187.0,685.0,0.0,44.012383,4.6400003,108.49
VG7PG50,基隆-和平東 往南,往北,2016-11-14,15:00:00,2,1246.0,1369.322,201.0,1045.0,0.0,42.701588,7.75,77.75
VG7PG50,基隆-和平東 往南,往北,2016-11-14,16:00:00,2,1145.0,1239.5,189.0,956.0,0.0,42.5131,6.56,76.04
VG7PG50,基隆-和平東 往南,往北,2016-11-14,17:00:00,2,1043.0,1091.0,95.0,944.0,0.0,42.775215,6.32,85.86
VG7PG50,基隆-和平東 往南,往北,2016-11-14,18:00:00,2,575.0,694.41925,176.0,399.0,0.0,36.941998,8.26,91.115
VG7PG50,基隆-和平東 往南,往北,2016-11-14,19:00:00,2,808.0,946.0,274.0,531.0,0.0,37.589195,8.575,96.005
VG7PG50,基隆-和平東 往南,往北,2016-11-14,20:00:00,2,806.0,907.88135,181.0,625.0,0.0,41.352356,5.0099998,95.47
VG7PG50,基隆-和平東 往南,往北,2016-11-14,21:00:00,2,964.0,1051.5,175.0,789.0,0.0,43.883465,4.95,88.634995
VG7PG50,基隆-和平東 往南,往北,2016-11-14,22:00:00,2,841.0,938.0,194.0,647.0,0.0,43.7144,4.4300003,97.55
VG7PG50,基隆-和平東 往南,往北,2016-11-14,23:00:00,2,748.0,863.5,231.0,517.0,0.0,43.135723,3.7350001,102.020004
VG7PG50,基隆-和平東 往南,往北,2016-11-15,00:00:00,2,531.0,575.5,89.0,442.0,0.0,43.96164,2.015,113.665
VG7PG50,基隆-和平東 往南,往北,2016-11-15,01:00:00,2,436.0,476.5,81.0,355.0,0.0,44.71617,1.4749999,134.04001
VG7PG50,基隆-和平東 往南,往北,2016-11-15,02:00:00,2,304.0,328.0,48.0,256.0,0.0,44.07895,0.86,122.44
VG7PG50,基隆-和平東 往南,往北,2016-11-15,03:00:00,2,189.0,202.5,27.0,162.0,0.0,43.954338,0.47500002,126.235
VG7PG50,基隆-和平東 往南,往北,2016-11-15,04:00:00,2,152.0,168.5,33.0,119.0,0.0,44.138683,0.38,113.19
VG7PG50,基隆-和平東 往南,往北,2016-11-15,05:00:00,2,187.0,204.0,34.0,153.0,0.0,44.16706,0.525,131.73999
VG7PG50,基隆-和平東 往南,往北,2016-11-15,06:00:00,2,317.0,354.5,75.0,242.0,0.0,44.75798,1.05,131.635
VG7PG50,基隆-和平東 往南,往北,2016-11-15,07:00:00,2,740.0,778.5,77.0,663.0,0.0,44.15189,4.16,102.05
VG7PG50,基隆-和平東 往南,往北,2016-11-15,08:00:00,2,1419.0,1469.5,101.0,1318.0,0.0,44.79397,6.695,64.455
VG7PG50,基隆-和平東 往南,往北,2016-11-15,09:00:00,2,1034.0,1129.5,191.0,843.0,0.0,36.872166,13.66,74.36
VG7PG50,基隆-和平東 往南,往北,2016-11-15,10:00:00,2,1020.0,1070.5,99.0,903.0,0.0,44.501965,4.375,76.2
VG7PG50,基隆-和平東 往南,往北,2016-11-15,11:00:00,2,1210.0,1292.9661,144.0,1049.0,0.0,43.79112,6.97,66.91
VG7PG50,基隆-和平東 往南,往北,2016-11-15,12:00:00,2,1115.0,1262.5424,253.0,862.0,0.0,44.418518,5.94,71.740005
VG7PG50,基隆-和平東 往南,往北,2016-11-15,13:00:00,2,1191.0,1249.0,116.0,1075.0,0.0,43.884453,5.89,65.45
VG7PG50,基隆-和平東 往南,往北,2016-11-15,14:00:00,2,1260.0,1334.5,146.0,1096.0,0.0,42.03827,7.49,73.725006
VG7PG50,基隆-和平東 往南,往北,2016-11-15,15:00:00,2,1166.0,1333.1742,259.0,886.0,-1.0,41.835564,9.35,74.29
VG7PG50,基隆-和平東 往南,往北,2016-11-15,16:00:00,2,718.0,799.9828,137.0,581.0,0.0,42.536907,4.335,72.835
VG7PG50,基隆-和平東 往南,往北,2016-11-15,17:00:00,2,1076.0,1135.0,118.0,958.0,0.0,41.865643,6.31,85.795
VG7PG50,基隆-和平東 往南,往北,2016-11-15,18:00:00,2,778.0,877.7586,141.0,637.0,0.0,39.325294,6.03,92.965
VG7PG50,基隆-和平東 往南,往北,2016-11-15,19:00:00,2,766.0,857.5,183.0,583.0,0.0,38.275402,6.925,87.725
VG7PG50,基隆-和平東 往南,往北,2016-11-15,20:00:00,2,749.0,824.5,151.0,598.0,0.0,41.520252,5.2200003,88.125
VG7PG50,基隆-和平東 往南,往北,2016-11-15,21:00:00,2,834.0,893.0,118.0,704.0,0.0,43.996616,3.99,87.69
VG7PG50,基隆-和平東 往南,往北,2016-11-15,22:00:00,2,802.0,899.6525,176.0,627.0,-1.0,43.92207,4.0950003,91.475
VG7PG50,基隆-和平東 往南,往北,2016-11-15,23:00:00,2,791.0,867.5,153.0,638.0,0.0,43.38062,3.9650002,94.01
VG7PG50,基隆-和平東 往南,往北,2016-11-16,00:00:00,2,593.0,642.5,99.0,494.0,0.0,43.94648,2.64,109.44
VG7PG50,基隆-和平東 往南,往北,2016-11-16,01:00:00,2,367.0,390.5,47.0,320.0,0.0,44.454388,1.155,129.93
VG7PG50,基隆-和平東 往南,往北,2016-11-16,02:00:00,2,301.0,323.5,45.0,256.0,0.0,45.044384,0.90999997,125.875
VG7PG50,基隆-和平東 往南,往北,2016-11-16,03:00:00,2,176.0,183.5,15.0,161.0,0.0,44.275967,0.39,131.16501
VG7PG50,基隆-和平東 往南,往北,2016-11-16,04:00:00,2,157.0,169.0,24.0,133.0,0.0,44.635666,0.335,127.270004
VG7PG50,基隆-和平東 往南,往北,2016-11-16,05:00:00,2,177.0,187.5,21.0,156.0,0.0,44.83463,0.39499998,124.515
VG7PG50,基隆-和平東 往南,往北,2016-11-16,06:00:00,2,283.0,303.5,41.0,242.0,0.0,45.029575,0.865,125.465
VG7PG50,基隆-和平東 往南,往北,2016-11-16,07:00:00,2,763.0,800.0,73.0,661.0,0.0,43.93899,4.265,101.08
VG7PG50,基隆-和平東 往南,往北,2016-11-16,08:00:00,2,1420.0,1485.6017,81.0,1330.0,0.0,44.108803,8.27,69.52
VG7PG50,基隆-和平東 往南,往北,2016-11-16,09:00:00,2,886.0,1006.14404,217.0,669.0,0.0,34.665215,16.79,81.604996
VG7PG50,基隆-和平東 往南,往北,2016-11-16,10:00:00,2,951.0,1017.96606,100.0,851.0,0.0,43.65899,4.27,82.37
VG7PG50,基隆-和平東 往南,往北,2016-11-16,11:00:00,2,911.0,1019.2288,188.0,689.0,0.0,44.29788,5.19,89.015
VG7PG50,基隆-和平東 往南,往北,2016-11-16,12:00:00,2,816.0,953.7143,182.0,635.0,-1.0,45.161175,4.535,108.354996
VG7PG50,基隆-和平東 往南,往北,2016-11-16,13:00:00,2,1148.0,1216.7119,114.0,1022.0,-1.0,43.139473,6.1549997,66.54
VG7PG50,基隆-和平東 往南,往北,2016-11-16,14:00:00,2,464.0,544.0,151.0,313.0,0.0,44.0669,3.265,119.270004
VG7PG50,基隆-和平東 往南,往北,2016-11-16,15:00:00,2,934.0,1066.0,257.0,669.0,0.0,42.132263,7.635,94.615005
VG7PG50,基隆-和平東 往南,往北,2016-11-16,16:00:00,2,1276.0,1495.4575,409.0,837.0,0.0,42.75831,8.36,78.625
VG7PG50,基隆-和平東 往南,往北,2016-11-16,17:00:00,2,1008.0,1082.3103,104.0,906.0,-2.0,42.868305,5.38,75.35
VG7PG50,基隆-和平東 往南,往北,2016-11-16,18:00:00,2,802.0,931.0169,227.0,575.0,0.0,36.594765,10.625,81.235
VG7PG50,基隆-和平東 往南,往北,2016-11-16,19:00:00,2,801.0,932.56775,235.0,564.0,0.0,35.69329,11.6,79.665
VG7PG50,基隆-和平東 往南,往北,2016-11-16,20:00:00,2,812.0,885.5,147.0,665.0,0.0,41.45246,5.355,80.16
