EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,00:00:00,1,64.0,65.0,2.0,62.0,0.0,56.67,0.83,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,01:00:00,1,43.0,45.0,4.0,39.0,0.0,52.020004,0.62,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,02:00:00,1,18.0,18.0,0.0,18.0,0.0,54.83,0.28,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,03:00:00,1,15.0,15.0,0.0,15.0,0.0,56.8,0.22,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,04:00:00,1,10.0,10.0,0.0,10.0,0.0,62.9,0.17,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,05:00:00,1,13.0,13.5,1.0,12.0,0.0,58.77,0.22,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,06:00:00,1,34.0,34.0,0.0,34.0,0.0,49.18,0.48,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,07:00:00,1,80.0,82.0,4.0,76.0,0.0,50.42,1.12,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,08:00:00,1,176.0,178.5,5.0,171.0,0.0,48.55,2.23,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,09:00:00,1,219.0,231.0,24.0,195.0,0.0,42.3,3.68,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,10:00:00,1,242.0,249.5,15.0,227.0,0.0,43.52,3.5,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,11:00:00,1,232.0,241.0,18.0,214.0,0.0,44.95,3.33,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,12:00:00,1,210.0,218.5,17.0,193.0,0.0,45.84,2.93,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,13:00:00,1,217.0,229.0,24.0,193.0,0.0,42.42,3.53,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,14:00:00,1,244.0,253.0,18.0,226.0,0.0,45.25,3.47,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,15:00:00,1,266.0,278.1356,15.0,251.0,0.0,43.0,3.85,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,16:00:00,1,263.0,275.5,25.0,238.0,0.0,42.56,4.05,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,17:00:00,1,251.0,261.0,20.0,231.0,0.0,44.51,3.95,0.0
VPWMA00,復興北路495號前(路燈桿),北,2016-11-14,18:00:00,1,242.0,249.0,14.0,228.0,0.0,43.92,3.3,0.0
