EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,00:00:00,1,3.0,3.0508473,0.0,3.0,0.0,27.0,0.05,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,01:00:00,1,2.0,2.0338984,0.0,2.0,0.0,27.0,0.03,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,02:00:00,1,2.0,2.0338984,0.0,2.0,0.0,31.0,0.03,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,03:00:00,1,1.0,1.0169492,0.0,1.0,0.0,33.0,0.02,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,06:00:00,1,2.0,2.0338984,0.0,2.0,0.0,34.0,0.03,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,07:00:00,1,13.0,13.220339,0.0,13.0,0.0,36.46,0.22,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,08:00:00,1,46.0,46.77966,0.0,46.0,0.0,44.830006,0.74,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,09:00:00,1,31.0,31.525423,0.0,31.0,0.0,45.36,0.46,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,10:00:00,1,25.0,25.423729,0.0,25.0,0.0,42.44,0.42,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,11:00:00,1,29.0,30.526316,0.0,29.0,0.0,33.9,0.51,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,12:00:00,1,36.0,36.61017,0.0,36.0,0.0,39.36,0.6,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,13:00:00,1,36.0,37.118645,1.0,35.0,0.0,43.86,0.62,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,14:00:00,1,32.0,32.542374,0.0,32.0,0.0,38.47,0.55,0.0
VRKQZ40,基湖路122號-158號(煙波巴洛克大樓對面人行道),往北,2016-11-14,15:00:00,1,39.0,40.34483,0.0,39.0,0.0,38.33,0.68,0.0
