EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,00:00:00,3,261.0,263.0,4.0,257.0,0.0,59.694366,0.42666665,233.80666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,01:00:00,3,147.0,148.0,2.0,145.0,0.0,60.715168,0.16666667,244.66667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,02:00:00,3,98.0,98.0,0.0,98.0,0.0,63.307037,0.06,247.5
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,03:00:00,3,46.0,46.0,0.0,46.0,0.0,59.327175,0.026666665,250.0
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,04:00:00,3,35.0,35.5,1.0,34.0,0.0,57.403145,0.016666666,250.0
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,05:00:00,3,41.0,41.0,0.0,41.0,0.0,60.171707,0.040000003,249.44334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,06:00:00,3,87.0,88.0,2.0,85.0,0.0,58.033104,0.093333334,248.05666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,07:00:00,3,524.0,537.5,27.0,497.0,0.0,56.9734,1.1,197.21333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,08:00:00,3,1355.0,1380.0,50.0,1305.0,0.0,50.997974,5.17,109.36667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,09:00:00,3,931.0,946.5,31.0,900.0,0.0,57.695152,1.9333334,160.09999
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,10:00:00,3,689.0,705.0,32.0,657.0,0.0,58.09943,1.4466667,180.72667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,11:00:00,3,595.0,606.0,22.0,573.0,0.0,58.629025,1.2066666,188.53333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,12:00:00,3,571.0,579.0,16.0,555.0,0.0,59.21851,1.0733334,192.10667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,13:00:00,3,590.0,601.0,22.0,568.0,0.0,58.55639,1.1266667,195.67334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,14:00:00,3,608.0,621.0,26.0,582.0,0.0,57.7502,1.24,190.09334
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,15:00:00,3,631.0,655.9322,28.0,603.0,0.0,57.83368,1.3333334,188.61333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,16:00:00,3,702.0,717.0,30.0,672.0,0.0,57.120872,1.5099999,176.90666
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,17:00:00,3,663.0,673.5,21.0,642.0,0.0,57.547405,1.34,181.75
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往北,2016-11-14,18:00:00,3,811.0,822.5,23.0,788.0,0.0,56.151493,1.7333335,163.74
