EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,00:00:00,1,57.0,59.0,4.0,53.0,0.0,26.0,0.77,244.53
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,01:00:00,1,35.0,37.5,5.0,30.0,0.0,12.52,0.57,247.98
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,02:00:00,1,19.0,19.5,1.0,18.0,0.0,13.68,0.3,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,03:00:00,1,13.0,13.0,0.0,13.0,0.0,0.0,0.18,247.73
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,04:00:00,1,9.0,9.0,0.0,9.0,0.0,12.67,0.13,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,05:00:00,1,13.0,13.5,1.0,12.0,0.0,0.0,0.22,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,06:00:00,1,22.0,23.0,2.0,20.0,0.0,9.23,0.33,248.1
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,07:00:00,1,593.0,607.0,28.0,565.0,0.0,3.22,1.42,234.32
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,08:00:00,1,498.0,514.0,32.0,466.0,0.0,19.09,3.73,159.92
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,09:00:00,1,509.0,531.0,44.0,465.0,0.0,38.54,8.25,86.73
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,10:00:00,1,604.0,629.0,50.0,554.0,0.0,38.41,9.9,61.05
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,11:00:00,1,349.0,366.0,34.0,315.0,0.0,39.57,5.07,124.58
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,12:00:00,1,359.0,375.5,33.0,326.0,0.0,41.18,5.2,111.15
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,13:00:00,1,326.0,341.0,30.0,296.0,0.0,41.03,5.05,126.33
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,14:00:00,1,368.0,381.5,27.0,341.0,0.0,37.93,5.67,114.05
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,15:00:00,1,401.0,417.9661,20.0,381.0,0.0,36.48,6.27,107.21
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,16:00:00,1,421.0,434.5,27.0,394.0,0.0,37.33,6.85,98.83
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,17:00:00,1,370.0,388.0,36.0,334.0,0.0,36.8,5.97,116.15
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,18:00:00,1,392.0,419.0,54.0,338.0,0.0,36.95,7.18,109.95
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,19:00:00,1,415.0,461.69492,78.0,337.0,0.0,36.12,8.35,106.82
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,20:00:00,1,301.0,323.0,44.0,257.0,0.0,37.16,4.95,141.82
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,21:00:00,1,240.0,256.0,32.0,208.0,0.0,37.77,3.83,165.28
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,22:00:00,1,174.0,185.5,23.0,151.0,0.0,38.77,2.77,186.92
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-14,23:00:00,1,140.0,147.5,15.0,125.0,0.0,36.9,1.93,214.03
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,00:00:00,1,62.0,65.0,6.0,56.0,0.0,36.48,0.93,242.25
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,01:00:00,1,44.0,46.5,5.0,39.0,0.0,35.77,0.7,246.43
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,02:00:00,1,23.0,23.0,0.0,23.0,0.0,39.52,0.32,248.27
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,03:00:00,1,34.0,35.5,3.0,31.0,0.0,44.71,0.43,246.82
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,04:00:00,1,16.0,17.0,2.0,14.0,0.0,41.13,0.22,249.07
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,05:00:00,1,13.0,13.0,0.0,13.0,0.0,35.69,0.17,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,06:00:00,1,28.0,30.0,4.0,24.0,0.0,33.75,0.42,249.07
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,07:00:00,1,77.0,87.5,21.0,56.0,0.0,41.48,1.22,232.77
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,08:00:00,1,300.0,320.5,41.0,259.0,0.0,41.61,4.4,149.12
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,09:00:00,1,440.0,466.0,52.0,388.0,0.0,38.31,7.05,98.7
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,10:00:00,1,611.0,640.0,58.0,553.0,0.0,37.66,9.98,67.88
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,11:00:00,1,456.0,474.5,37.0,419.0,0.0,37.32,7.05,90.63
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,12:00:00,1,391.0,406.5,31.0,360.0,0.0,38.62,6.03,106.15
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,13:00:00,1,376.0,388.5,25.0,351.0,0.0,37.26,5.92,104.27
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,14:00:00,1,464.0,477.5,27.0,437.0,0.0,35.55,7.67,86.3
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,15:00:00,1,463.0,476.5,27.0,436.0,0.0,37.95,7.27,87.12
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,16:00:00,1,437.0,450.0,26.0,411.0,0.0,37.14,6.8,92.28
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,17:00:00,1,392.0,410.5,37.0,355.0,0.0,35.87,6.38,106.05
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,18:00:00,1,409.0,431.5,45.0,364.0,0.0,35.56,7.35,104.38
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,19:00:00,1,396.0,441.35593,76.0,320.0,0.0,37.41,7.72,103.48
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,20:00:00,1,375.0,398.0,46.0,329.0,0.0,38.14,6.27,117.27
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,21:00:00,1,237.0,250.0,26.0,211.0,0.0,36.27,4.1,161.13
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,22:00:00,1,187.0,199.0,24.0,163.0,0.0,38.25,2.9,186.95
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-15,23:00:00,1,119.0,127.0,16.0,103.0,0.0,39.91,1.67,227.7
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,00:00:00,1,72.0,75.0,6.0,66.0,0.0,37.97,1.03,242.27
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,01:00:00,1,40.0,41.5,3.0,37.0,0.0,36.47,0.62,246.23
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,02:00:00,1,23.0,23.0,0.0,23.0,0.0,35.13,0.33,248.13
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,03:00:00,1,25.0,25.5,1.0,24.0,0.0,41.28,0.42,248.23
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,04:00:00,1,20.0,20.0,0.0,20.0,0.0,37.15,0.33,249.05
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,05:00:00,1,11.0,11.0,0.0,11.0,0.0,34.64,0.18,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,06:00:00,1,26.0,28.5,5.0,21.0,0.0,36.19,0.43,249.0
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,07:00:00,1,71.0,80.5,19.0,52.0,0.0,39.38,1.13,238.7
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,08:00:00,1,274.0,291.0,34.0,240.0,0.0,41.63,4.02,154.68
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,09:00:00,1,363.0,535.81396,42.0,321.0,0.0,40.09,7.5,93.2
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,10:00:00,1,315.0,616.875,28.0,287.0,0.0,37.37,9.27,64.87
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,11:00:00,1,453.0,472.0,38.0,415.0,0.0,40.49,6.88,85.73
VSNRE00,瑞光路390號車道出口對面人行道上,往北,2016-11-16,12:00:00,1,429.0,449.0,40.0,389.0,0.0,37.27,7.0,93.13
