EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSPRA40,基湖路39號前,往北,2016-11-14,00:00:00,1,25.0,25.932203,1.0,24.0,0.0,33.32,0.44,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,01:00:00,1,22.0,22.37288,0.0,22.0,0.0,38.23,0.38,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,02:00:00,1,15.0,15.762712,1.0,14.0,0.0,45.07,0.27,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,03:00:00,1,12.0,13.220339,2.0,10.0,0.0,39.08,0.2,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,04:00:00,1,4.0,4.0677967,0.0,4.0,0.0,57.75,0.07,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,05:00:00,1,8.0,8.135593,0.0,8.0,0.0,56.38,0.12,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,06:00:00,1,14.0,15.789474,2.0,12.0,0.0,52.0,0.18,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,07:00:00,1,54.0,59.491524,9.0,45.0,0.0,39.759995,1.08,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,08:00:00,1,193.0,202.88135,13.0,180.0,0.0,37.54,3.49,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,09:00:00,1,230.0,251.69492,35.0,195.0,0.0,33.68,4.94,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,10:00:00,1,199.0,209.49152,14.0,185.0,0.0,33.11,4.24,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,11:00:00,1,165.0,176.44067,17.0,148.0,0.0,35.86,3.2,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,12:00:00,1,174.0,192.20338,30.0,144.0,0.0,35.72,3.55,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,13:00:00,1,220.0,232.88135,18.0,202.0,0.0,34.49,4.23,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,14:00:00,1,177.0,186.61017,13.0,164.0,0.0,34.95,3.43,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,15:00:00,1,205.0,227.06897,29.0,176.0,0.0,33.05,4.4,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,16:00:00,1,229.0,239.5,21.0,208.0,0.0,30.71,5.1,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,17:00:00,1,223.0,239.49152,25.0,198.0,0.0,30.52,5.21,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,18:00:00,1,346.0,388.9655,60.0,286.0,0.0,32.35,9.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,19:00:00,1,454.0,504.40677,84.0,370.0,0.0,29.63,11.02,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,20:00:00,1,307.0,333.05084,41.0,266.0,0.0,29.639997,7.29,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,21:00:00,1,198.0,212.54237,22.0,176.0,0.0,34.04,4.05,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,22:00:00,1,140.0,146.44067,8.0,132.0,0.0,34.54,2.67,0.0
VSPRA40,基湖路39號前,往北,2016-11-14,23:00:00,1,89.0,92.0339,3.0,86.0,0.0,39.56,1.51,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,00:00:00,1,47.0,49.322033,3.0,44.0,0.0,40.89,0.68,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,01:00:00,1,32.0,33.050846,1.0,31.0,0.0,42.15,0.54,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,02:00:00,1,15.0,15.762712,1.0,14.0,0.0,43.93,0.28,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,03:00:00,1,14.0,14.2372875,0.0,14.0,0.0,42.93,0.24,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,04:00:00,1,8.0,8.135593,0.0,8.0,0.0,44.63,0.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,05:00:00,1,9.0,9.152542,0.0,9.0,0.0,37.0,0.15,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,06:00:00,1,13.0,14.482759,2.0,11.0,0.0,36.08,0.25,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,07:00:00,1,51.0,54.406776,5.0,46.0,0.0,41.82,0.87,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,08:00:00,1,219.0,231.35593,17.0,202.0,0.0,36.14,4.31,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,09:00:00,1,216.0,236.44067,33.0,183.0,0.0,29.81,5.39,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,10:00:00,1,230.0,242.54237,17.0,213.0,0.0,34.24,4.48,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,11:00:00,1,224.0,240.50847,25.0,199.0,0.0,32.52,4.78,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,12:00:00,1,236.0,249.66101,19.0,217.0,0.0,25.48,5.7,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,13:00:00,1,149.0,160.1695,17.0,132.0,0.0,24.16,4.62,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,14:00:00,1,172.0,180.50847,11.0,161.0,0.0,26.16,4.06,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,15:00:00,1,171.0,182.54237,17.0,154.0,0.0,26.84,4.32,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,16:00:00,1,223.0,243.05084,32.0,191.0,0.0,28.93,5.33,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,17:00:00,1,248.0,268.47458,32.0,216.0,0.0,30.22,6.01,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,18:00:00,1,366.0,400.67795,56.0,310.0,0.0,30.78,9.05,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,19:00:00,1,506.0,551.6949,73.0,433.0,0.0,28.72,12.25,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,20:00:00,1,315.0,351.35593,61.0,254.0,0.0,34.01,6.6,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,21:00:00,1,220.0,234.40677,21.0,199.0,0.0,31.61,4.65,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,22:00:00,1,137.0,142.37288,6.0,131.0,0.0,37.85,2.49,0.0
VSPRA40,基湖路39號前,往北,2016-11-15,23:00:00,1,78.0,81.35593,4.0,74.0,0.0,36.17,1.36,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,00:00:00,1,41.0,42.20339,1.0,40.0,0.0,40.12,0.7,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,01:00:00,1,27.0,27.9661,1.0,26.0,0.0,42.93,0.46,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,02:00:00,1,15.0,15.762712,1.0,14.0,0.0,43.13,0.26,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,03:00:00,1,6.0,6.6101694,1.0,5.0,0.0,47.33,0.12,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,04:00:00,1,7.0,7.1186438,0.0,7.0,0.0,46.0,0.12,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,05:00:00,1,11.0,11.694915,1.0,10.0,0.0,51.270004,0.19,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,06:00:00,1,13.0,15.0,2.0,11.0,0.0,53.23,0.23,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,07:00:00,1,60.0,65.08475,8.0,52.0,0.0,45.27,0.93,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,08:00:00,1,205.0,215.59322,14.0,191.0,0.0,38.19,3.57,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,09:00:00,1,217.0,236.94914,32.0,185.0,0.0,31.83,4.66,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,10:00:00,1,212.0,225.76271,20.0,192.0,0.0,33.42,4.3,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,11:00:00,1,196.0,215.08475,31.0,165.0,0.0,32.0,4.33,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,12:00:00,1,221.0,238.47456,27.0,194.0,0.0,32.4,4.66,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,13:00:00,1,215.0,228.30508,19.0,196.0,0.0,32.14,4.6,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,14:00:00,1,213.0,228.10345,15.0,198.0,0.0,32.97,4.41,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,15:00:00,1,221.0,241.01694,32.0,189.0,0.0,32.1,4.76,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,16:00:00,1,202.0,220.16948,29.0,173.0,0.0,33.46,4.27,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,17:00:00,1,254.0,269.5,31.0,223.0,0.0,33.69,5.22,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,18:00:00,1,363.0,402.93103,53.0,310.0,0.0,32.92,8.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,19:00:00,1,477.0,529.322,87.0,390.0,0.0,26.65,12.93,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,20:00:00,1,328.0,356.94916,46.0,282.0,0.0,31.17,7.73,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,21:00:00,1,197.0,212.03389,23.0,174.0,0.0,32.88,3.98,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,22:00:00,1,126.0,144.44444,8.0,118.0,0.0,37.57,2.46,0.0
VSPRA40,基湖路39號前,往北,2016-11-16,23:00:00,1,80.0,81.5,3.0,77.0,0.0,36.65,1.37,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,00:00:00,1,46.0,48.10345,1.0,45.0,0.0,40.33,0.74,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,01:00:00,1,24.0,24.5,1.0,23.0,0.0,44.25,0.4,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,02:00:00,1,15.0,15.5172415,0.0,15.0,0.0,42.8,0.26,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,03:00:00,1,11.0,12.0,2.0,9.0,0.0,50.55,0.18,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,04:00:00,1,7.0,7.7586207,1.0,6.0,0.0,49.72,0.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,05:00:00,1,8.0,8.5,1.0,7.0,0.0,42.5,0.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,06:00:00,1,16.0,18.214285,2.0,14.0,0.0,46.25,0.28,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,07:00:00,1,56.0,61.5,11.0,45.0,0.0,42.07,0.98,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,08:00:00,1,205.0,222.93105,21.0,184.0,0.0,38.88,4.13,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,09:00:00,1,238.0,246.5,17.0,221.0,0.0,31.12,4.92,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,10:00:00,1,230.0,246.20691,16.0,214.0,0.0,30.71,5.04,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,11:00:00,1,198.0,205.0,14.0,184.0,0.0,34.7,3.7,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,12:00:00,1,189.0,202.24138,13.0,176.0,0.0,32.86,3.93,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,13:00:00,1,250.0,266.5,33.0,217.0,0.0,30.84,6.53,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,14:00:00,1,222.0,241.03448,22.0,200.0,0.0,32.8,5.27,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,15:00:00,1,219.0,233.0,28.0,191.0,0.0,32.9,4.53,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,16:00:00,1,216.0,234.82759,22.0,194.0,0.0,31.64,4.68,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,17:00:00,1,249.0,271.52542,36.0,213.0,0.0,31.04,5.92,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,18:00:00,1,341.0,373.7288,53.0,288.0,0.0,30.850002,9.33,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,19:00:00,1,469.0,508.98303,63.0,406.0,0.0,28.14,12.74,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,20:00:00,1,304.0,328.98303,39.0,265.0,0.0,31.419998,6.65,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,21:00:00,1,196.0,205.9322,13.0,183.0,0.0,33.32,3.9,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,22:00:00,1,155.0,164.74576,14.0,141.0,0.0,35.45,2.94,0.0
VSPRA40,基湖路39號前,往北,2016-11-17,23:00:00,1,90.0,93.05084,3.0,87.0,0.0,36.54,1.55,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,00:00:00,1,61.0,62.033897,0.0,61.0,0.0,38.61,1.05,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,01:00:00,1,35.0,35.59322,0.0,35.0,0.0,47.69,0.57,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,02:00:00,1,16.0,16.271187,0.0,16.0,0.0,46.94,0.22,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,03:00:00,1,10.0,10.677966,1.0,9.0,0.0,43.8,0.18,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,04:00:00,1,6.0,6.1016946,0.0,6.0,0.0,40.0,0.1,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,05:00:00,1,16.0,16.271187,0.0,16.0,0.0,46.0,0.28,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,06:00:00,1,15.0,17.068966,3.0,12.0,0.0,44.6,0.28,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,07:00:00,1,56.0,60.0,6.0,50.0,0.0,44.5,0.95,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,08:00:00,1,192.0,206.44067,22.0,170.0,0.0,40.32,3.43,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,09:00:00,1,237.0,249.66101,17.0,220.0,0.0,31.08,5.1,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,10:00:00,1,210.0,222.71185,18.0,192.0,0.0,30.98,4.61,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,11:00:00,1,183.0,199.32202,26.0,157.0,0.0,36.27,4.03,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,12:00:00,1,229.0,264.54544,27.0,202.0,0.0,31.74,5.44,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,13:00:00,1,259.0,286.77966,46.0,213.0,0.0,30.63,6.36,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,14:00:00,1,215.0,231.35593,25.0,190.0,0.0,32.44,4.75,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,15:00:00,1,222.0,245.08473,38.0,184.0,0.0,30.47,5.18,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,16:00:00,1,234.0,252.71185,29.0,205.0,0.0,32.37,5.45,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,17:00:00,1,271.0,287.7966,24.0,247.0,0.0,30.01,6.22,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,18:00:00,1,347.0,383.27588,47.0,300.0,0.0,31.02,7.99,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,19:00:00,1,507.0,553.7288,75.0,432.0,0.0,28.27,12.38,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,20:00:00,1,268.0,374.34784,38.0,230.0,0.0,29.22,8.1,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,21:00:00,1,218.0,230.84746,18.0,200.0,0.0,30.600002,5.03,0.0
VSPRA40,基湖路39號前,往北,2016-11-18,22:00:00,1,154.0,164.74576,16.0,138.0,0.0,33.92,3.05,0.0
