EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSWMR40,北安路520號對面人行道,往北,2016-11-14,00:00:00,2,386.0,389.0,6.0,380.0,0.0,48.33544,1.45,187.0
VSWMR40,北安路520號對面人行道,往北,2016-11-14,01:00:00,2,246.0,246.5,1.0,245.0,0.0,50.305935,0.9,216.16501
VSWMR40,北安路520號對面人行道,往北,2016-11-14,02:00:00,2,171.0,171.5,1.0,170.0,0.0,48.440002,0.54999995,234.955
VSWMR40,北安路520號對面人行道,往北,2016-11-14,03:00:00,2,108.0,108.0,0.0,108.0,0.0,47.97185,0.33,244.16501
VSWMR40,北安路520號對面人行道,往北,2016-11-14,04:00:00,2,72.0,72.5,1.0,71.0,0.0,49.665833,0.2,248.5
VSWMR40,北安路520號對面人行道,往北,2016-11-14,05:00:00,2,93.0,93.0,0.0,93.0,0.0,50.54699,0.25,247.5
VSWMR40,北安路520號對面人行道,往北,2016-11-14,06:00:00,2,144.0,145.0,2.0,142.0,0.0,50.598892,0.47,238.25
VSWMR40,北安路520號對面人行道,往北,2016-11-14,07:00:00,2,471.0,483.5,25.0,446.0,0.0,47.52677,2.115,182.28
VSWMR40,北安路520號對面人行道,往北,2016-11-14,08:00:00,2,1214.0,1240.0,52.0,1162.0,0.0,44.408978,6.2799997,98.66
VSWMR40,北安路520號對面人行道,往北,2016-11-14,09:00:00,2,1331.0,1358.0,54.0,1277.0,0.0,46.11011,6.1850004,86.384995
VSWMR40,北安路520號對面人行道,往北,2016-11-14,10:00:00,2,1218.0,1249.5,63.0,1155.0,0.0,43.00133,6.635,92.5
VSWMR40,北安路520號對面人行道,往北,2016-11-14,11:00:00,2,1127.0,1148.0,42.0,1085.0,0.0,43.253914,5.75,93.665
VSWMR40,北安路520號對面人行道,往北,2016-11-14,12:00:00,2,1017.0,1038.0,42.0,975.0,0.0,44.180885,5.0550003,108.635
VSWMR40,北安路520號對面人行道,往北,2016-11-14,13:00:00,2,1024.0,1044.0,40.0,984.0,0.0,43.387695,5.255,109.46
VSWMR40,北安路520號對面人行道,往北,2016-11-14,14:00:00,2,987.0,1099.0,224.0,763.0,0.0,30.645603,16.01,103.575
VSWMR40,北安路520號對面人行道,往北,2016-11-14,15:00:00,2,945.0,1101.356,276.0,669.0,0.0,28.18911,21.57,123.485
VSWMR40,北安路520號對面人行道,往北,2016-11-14,16:00:00,2,1218.0,1261.5,87.0,1131.0,0.0,38.264385,9.12,87.985
VSWMR40,北安路520號對面人行道,往北,2016-11-14,17:00:00,2,1295.0,1324.5,59.0,1236.0,0.0,41.38827,7.54,85.925
VSWMR40,北安路520號對面人行道,往北,2016-11-14,18:00:00,2,1379.0,1436.5,115.0,1264.0,0.0,39.274315,9.85,90.325
VSWMR40,北安路520號對面人行道,往北,2016-11-14,19:00:00,2,1511.0,1556.5,91.0,1420.0,0.0,40.781677,10.94,85.04
VSWMR40,北安路520號對面人行道,往北,2016-11-14,20:00:00,2,1151.0,1173.0,44.0,1107.0,0.0,43.402016,6.71,100.384995
VSWMR40,北安路520號對面人行道,往北,2016-11-14,21:00:00,2,914.0,922.5,17.0,897.0,0.0,44.517212,4.225,102.595
VSWMR40,北安路520號對面人行道,往北,2016-11-14,22:00:00,2,961.0,971.0,20.0,941.0,0.0,44.80814,4.4,109.615005
VSWMR40,北安路520號對面人行道,往北,2016-11-14,23:00:00,2,711.0,720.5,19.0,692.0,0.0,48.001686,2.92,135.83499
VSWMR40,北安路520號對面人行道,往北,2016-11-15,00:00:00,2,382.0,385.0,6.0,376.0,0.0,49.373608,1.45,187.275
VSWMR40,北安路520號對面人行道,往北,2016-11-15,01:00:00,2,261.0,263.5,5.0,256.0,0.0,51.30437,0.895,210.20999
VSWMR40,北安路520號對面人行道,往北,2016-11-15,02:00:00,2,204.0,205.0,2.0,202.0,0.0,49.23696,0.725,229.625
VSWMR40,北安路520號對面人行道,往北,2016-11-15,03:00:00,2,137.0,139.0,4.0,133.0,0.0,49.303284,0.525,244.33499
VSWMR40,北安路520號對面人行道,往北,2016-11-15,04:00:00,2,97.0,97.5,1.0,96.0,0.0,49.092785,0.29500002,248.33499
VSWMR40,北安路520號對面人行道,往北,2016-11-15,05:00:00,2,101.0,101.0,0.0,101.0,0.0,50.060497,0.29500002,244.16501
VSWMR40,北安路520號對面人行道,往北,2016-11-15,06:00:00,2,176.0,177.5,3.0,173.0,0.0,49.64574,0.65,231.92
VSWMR40,北安路520號對面人行道,往北,2016-11-15,07:00:00,2,524.0,536.5,25.0,499.0,0.0,46.73792,2.3899999,173.965
VSWMR40,北安路520號對面人行道,往北,2016-11-15,08:00:00,2,1150.0,1170.0,40.0,1110.0,0.0,46.34348,5.335,108.185
VSWMR40,北安路520號對面人行道,往北,2016-11-15,09:00:00,2,1391.0,1424.0,66.0,1325.0,0.0,46.280117,6.835,83.759995
VSWMR40,北安路520號對面人行道,往北,2016-11-15,10:00:00,2,1311.0,1342.0,62.0,1249.0,0.0,41.81588,7.49,83.525
VSWMR40,北安路520號對面人行道,往北,2016-11-15,11:00:00,2,1201.0,1234.0,66.0,1135.0,0.0,41.80089,6.98,86.035
VSWMR40,北安路520號對面人行道,往北,2016-11-15,12:00:00,2,1122.0,1143.0,42.0,1080.0,0.0,43.96984,5.635,96.805
VSWMR40,北安路520號對面人行道,往北,2016-11-15,13:00:00,2,1121.0,1148.5,55.0,1066.0,0.0,42.69901,6.035,92.69
VSWMR40,北安路520號對面人行道,往北,2016-11-15,14:00:00,2,1092.0,1129.5,75.0,1017.0,0.0,40.47911,7.0,95.975
VSWMR40,北安路520號對面人行道,往北,2016-11-15,15:00:00,2,1209.0,1241.5,65.0,1144.0,0.0,40.30174,7.3450003,84.94
VSWMR40,北安路520號對面人行道,往北,2016-11-15,16:00:00,2,1109.0,1130.0,42.0,1067.0,0.0,41.46918,6.075,94.15
VSWMR40,北安路520號對面人行道,往北,2016-11-15,17:00:00,2,1291.0,1335.5,89.0,1202.0,0.0,40.6193,8.11,87.375
VSWMR40,北安路520號對面人行道,往北,2016-11-15,18:00:00,2,1452.0,1514.0,124.0,1328.0,0.0,38.491295,10.735,87.72
VSWMR40,北安路520號對面人行道,往北,2016-11-15,19:00:00,2,1543.0,1588.5,91.0,1452.0,0.0,40.28175,10.005,83.25
VSWMR40,北安路520號對面人行道,往北,2016-11-15,20:00:00,2,1229.0,1257.5,57.0,1172.0,0.0,44.43732,6.2250004,94.925
VSWMR40,北安路520號對面人行道,往北,2016-11-15,21:00:00,2,969.0,984.0,30.0,939.0,0.0,44.939873,4.565,104.66
VSWMR40,北安路520號對面人行道,往北,2016-11-15,22:00:00,2,992.0,1003.0,22.0,970.0,0.0,45.197742,4.54,101.850006
VSWMR40,北安路520號對面人行道,往北,2016-11-15,23:00:00,2,766.0,778.0,24.0,742.0,0.0,47.777725,3.185,133.745
VSWMR40,北安路520號對面人行道,往北,2016-11-16,00:00:00,2,382.0,387.0,10.0,372.0,0.0,48.65696,1.5250001,190.59
VSWMR40,北安路520號對面人行道,往北,2016-11-16,01:00:00,2,233.0,233.5,1.0,232.0,0.0,51.146267,0.735,219.295
VSWMR40,北安路520號對面人行道,往北,2016-11-16,02:00:00,2,177.0,177.0,0.0,177.0,0.0,49.47712,0.56,237.25
VSWMR40,北安路520號對面人行道,往北,2016-11-16,03:00:00,2,123.0,123.0,0.0,123.0,0.0,49.03122,0.39,242.66501
VSWMR40,北安路520號對面人行道,往北,2016-11-16,04:00:00,2,105.0,105.0,0.0,105.0,0.0,49.010666,0.24000001,244.58
VSWMR40,北安路520號對面人行道,往北,2016-11-16,05:00:00,2,98.0,99.0,2.0,96.0,0.0,49.288166,0.275,247.5
VSWMR40,北安路520號對面人行道,往北,2016-11-16,06:00:00,2,175.0,176.5,3.0,172.0,0.0,50.497143,0.6,231.42
VSWMR40,北安路520號對面人行道,往北,2016-11-16,07:00:00,2,505.0,517.0,24.0,481.0,0.0,46.74784,2.295,169.83
VSWMR40,北安路520號對面人行道,往北,2016-11-16,08:00:00,2,1177.0,1205.5,57.0,1120.0,0.0,45.569763,5.79,100.175
VSWMR40,北安路520號對面人行道,往北,2016-11-16,09:00:00,2,1364.0,1388.5,49.0,1315.0,0.0,45.74666,6.51,89.56
