EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,00:00:00,2,67.0,71.694916,7.0,60.0,0.0,49.460297,0.55,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,01:00:00,2,35.0,36.61017,2.0,33.0,0.0,51.43229,0.275,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,02:00:00,2,22.0,22.881355,1.0,21.0,0.0,53.863636,0.175,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,03:00:00,2,12.0,12.203389,0.0,12.0,0.0,51.33,0.1,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,04:00:00,2,13.0,13.728813,1.0,12.0,0.0,49.31077,0.105000004,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,05:00:00,2,6.0,6.1016946,0.0,6.0,0.0,46.33,0.05,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,06:00:00,2,23.0,23.38983,0.0,23.0,0.0,51.4313,0.18,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,07:00:00,2,86.0,92.54237,10.0,76.0,0.0,49.430233,0.665,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,08:00:00,2,316.0,341.57895,17.0,299.0,0.0,55.537216,2.05,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,09:00:00,2,326.0,339.661,16.0,310.0,0.0,54.67972,2.0,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,10:00:00,2,284.0,300.50845,23.0,261.0,0.0,51.954506,1.9200001,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,11:00:00,2,223.0,233.89832,14.0,209.0,0.0,48.609997,1.54,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,12:00:00,2,246.0,258.30508,16.0,230.0,0.0,52.05333,1.64,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,13:00:00,2,256.0,268.47458,16.0,240.0,0.0,51.312614,1.69,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,14:00:00,2,248.0,261.8644,19.0,229.0,0.0,47.82065,1.765,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,15:00:00,2,271.0,291.72415,22.0,249.0,0.0,47.260887,2.005,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,16:00:00,2,297.0,311.18643,18.0,279.0,0.0,48.89879,2.13,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,17:00:00,2,276.0,294.40677,27.0,249.0,0.0,51.973335,1.7950001,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,18:00:00,2,349.0,365.5932,21.0,328.0,0.0,49.536644,2.345,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,19:00:00,2,322.0,335.08472,15.0,307.0,0.0,47.74283,2.26,0.0
VT9NN00,明水路604號對面人行道上,往北,2016-11-14,20:00:00,2,233.0,245.59322,17.0,216.0,0.0,47.58442,1.72,0.0
