EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V42B1E0,基高往水快匝道,南,2016-11-14,00:00:00,1,589.0,596.5,15.0,574.0,0.0,59.12,4.78,73.73
V42B1E0,基高往水快匝道,南,2016-11-14,01:00:00,1,397.0,400.5,7.0,390.0,0.0,61.99,2.87,104.6
V42B1E0,基高往水快匝道,南,2016-11-14,02:00:00,1,272.0,273.0,2.0,270.0,0.0,63.629997,1.95,157.23
V42B1E0,基高往水快匝道,南,2016-11-14,03:00:00,1,152.0,154.0,4.0,148.0,0.0,67.23,0.98,206.65
V42B1E0,基高往水快匝道,南,2016-11-14,04:00:00,1,119.0,122.5,7.0,112.0,0.0,66.39,0.8,226.07
V42B1E0,基高往水快匝道,南,2016-11-14,05:00:00,1,115.0,115.5,1.0,114.0,0.0,67.89,0.77,227.75
V42B1E0,基高往水快匝道,南,2016-11-14,06:00:00,1,204.0,207.0,6.0,198.0,0.0,66.85,1.5,193.62
V42B1E0,基高往水快匝道,南,2016-11-14,07:00:00,1,635.0,652.0,34.0,601.0,0.0,61.42,5.25,73.83
V42B1E0,基高往水快匝道,南,2016-11-14,08:00:00,1,1383.0,1411.0,56.0,1327.0,0.0,54.21,12.17,25.23
V42B1E0,基高往水快匝道,南,2016-11-14,09:00:00,1,1451.0,1485.0,68.0,1383.0,0.0,51.270004,13.85,23.62
V42B1E0,基高往水快匝道,南,2016-11-14,10:00:00,1,1478.0,1522.0,88.0,1390.0,0.0,47.9,15.7,24.0
V42B1E0,基高往水快匝道,南,2016-11-14,11:00:00,1,1307.0,1344.0,74.0,1233.0,0.0,51.280003,13.03,27.97
V42B1E0,基高往水快匝道,南,2016-11-14,12:00:00,1,1276.0,1312.5,73.0,1203.0,0.0,52.54,12.17,29.08
V42B1E0,基高往水快匝道,南,2016-11-14,13:00:00,1,1253.0,1286.5,67.0,1186.0,0.0,54.75,11.28,29.0
V42B1E0,基高往水快匝道,南,2016-11-14,14:00:00,1,1348.0,1381.0,66.0,1282.0,0.0,53.5,12.35,26.38
V42B1E0,基高往水快匝道,南,2016-11-14,15:00:00,1,1562.0,1594.5,65.0,1497.0,0.0,46.7,16.42,21.25
V42B1E0,基高往水快匝道,南,2016-11-14,16:00:00,1,1667.0,1703.5,73.0,1594.0,0.0,43.49,19.28,18.45
V42B1E0,基高往水快匝道,南,2016-11-14,17:00:00,1,1725.0,1761.0,72.0,1653.0,0.0,41.97,20.52,17.37
V42B1E0,基高往水快匝道,南,2016-11-14,18:00:00,1,1542.0,1568.5,53.0,1489.0,0.0,44.87,16.68,20.82
V42B1E0,基高往水快匝道,南,2016-11-14,19:00:00,1,1617.0,1646.5,59.0,1558.0,0.0,43.98,17.75,19.3
V42B1E0,基高往水快匝道,南,2016-11-14,20:00:00,1,1603.0,1639.0,72.0,1531.0,0.0,38.12,20.5,19.22
V42B1E0,基高往水快匝道,南,2016-11-14,21:00:00,1,1580.0,1608.5,57.0,1523.0,0.0,38.78,20.57,20.35
V42B1E0,基高往水快匝道,南,2016-11-14,22:00:00,1,1561.0,1581.0,40.0,1521.0,0.0,42.99,17.3,21.88
V42B1E0,基高往水快匝道,南,2016-11-14,23:00:00,1,1240.0,1259.5,39.0,1201.0,0.0,47.57,12.68,29.83
V42B1E0,基高往水快匝道,南,2016-11-15,00:00:00,1,635.0,645.0,20.0,615.0,0.0,59.27,5.15,65.22
V42B1E0,基高往水快匝道,南,2016-11-15,01:00:00,1,423.0,426.0,6.0,417.0,0.0,61.420002,3.13,105.33
V42B1E0,基高往水快匝道,南,2016-11-15,02:00:00,1,293.0,293.5,1.0,292.0,0.0,65.97,1.98,152.33
V42B1E0,基高往水快匝道,南,2016-11-15,03:00:00,1,168.0,169.5,3.0,165.0,0.0,67.0,1.12,194.77
V42B1E0,基高往水快匝道,南,2016-11-15,04:00:00,1,131.0,133.0,4.0,127.0,0.0,66.92,0.9,220.68
V42B1E0,基高往水快匝道,南,2016-11-15,05:00:00,1,132.0,133.5,3.0,129.0,0.0,64.83,0.92,217.68
V42B1E0,基高往水快匝道,南,2016-11-15,06:00:00,1,212.0,216.5,9.0,203.0,0.0,66.08,1.6,184.07
V42B1E0,基高往水快匝道,南,2016-11-15,07:00:00,1,625.0,646.5,43.0,582.0,0.0,60.45,5.28,89.23
V42B1E0,基高往水快匝道,南,2016-11-15,08:00:00,1,1482.0,1508.0,52.0,1430.0,0.0,50.87,14.0,26.08
V42B1E0,基高往水快匝道,南,2016-11-15,09:00:00,1,1518.0,1550.0,64.0,1454.0,0.0,50.65,15.02,22.0
V42B1E0,基高往水快匝道,南,2016-11-15,10:00:00,1,1505.0,1542.0,74.0,1431.0,0.0,49.73,15.42,23.38
V42B1E0,基高往水快匝道,南,2016-11-15,11:00:00,1,1329.0,1355.5,53.0,1276.0,0.0,53.06,12.38,26.53
V42B1E0,基高往水快匝道,南,2016-11-15,12:00:00,1,1269.0,1301.0,64.0,1205.0,0.0,54.960003,11.73,28.92
V42B1E0,基高往水快匝道,南,2016-11-15,13:00:00,1,1294.0,1322.5,57.0,1237.0,0.0,52.360004,12.53,27.65
V42B1E0,基高往水快匝道,南,2016-11-15,14:00:00,1,1371.0,1394.0,46.0,1325.0,0.0,52.32,12.75,25.23
V42B1E0,基高往水快匝道,南,2016-11-15,15:00:00,1,1562.0,1586.5,49.0,1513.0,0.0,49.42,14.95,21.55
V42B1E0,基高往水快匝道,南,2016-11-15,16:00:00,1,1576.0,1606.5,61.0,1515.0,0.0,48.0,15.95,21.83
V42B1E0,基高往水快匝道,南,2016-11-15,17:00:00,1,1673.0,1705.5,65.0,1608.0,0.0,44.81,18.6,18.87
V42B1E0,基高往水快匝道,南,2016-11-15,18:00:00,1,1514.0,1536.5,45.0,1469.0,0.0,46.94,15.37,21.85
V42B1E0,基高往水快匝道,南,2016-11-15,19:00:00,1,1661.0,1693.5,65.0,1596.0,0.0,43.33,18.28,18.58
V42B1E0,基高往水快匝道,南,2016-11-15,20:00:00,1,1665.0,1699.0,68.0,1597.0,0.0,37.04,21.88,17.57
