EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,00:00:00,2,22.0,24.915253,5.0,17.0,0.0,52.59364,0.17999999,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,01:00:00,2,7.0,7.6271186,1.0,6.0,0.0,75.0,0.06,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,02:00:00,2,3.0,3.0508475,0.0,3.0,0.0,49.666668,0.024999999,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,03:00:00,2,2.0,3.0508473,2.0,0.0,0.0,0.0,0.02,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,04:00:00,2,5.0,7.627118,5.0,0.0,0.0,0.0,0.04,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,05:00:00,2,3.0,4.576271,3.0,0.0,0.0,0.0,0.025,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,06:00:00,2,15.0,21.355932,12.0,3.0,0.0,33.00267,0.115,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,07:00:00,2,68.0,86.440674,34.0,34.0,0.0,36.944706,0.40499997,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,08:00:00,2,301.0,359.49152,105.0,196.0,0.0,33.60186,4.165,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,09:00:00,2,272.0,330.0,105.0,167.0,0.0,38.529152,3.625,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,10:00:00,2,256.0,302.54236,83.0,173.0,0.0,36.700626,2.81,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,11:00:00,2,152.0,168.30508,27.0,125.0,0.0,50.157898,1.245,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,12:00:00,2,120.0,147.45763,50.0,70.0,0.0,44.715252,0.94000006,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,13:00:00,2,148.0,173.27586,39.0,109.0,0.0,43.419933,1.44,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,14:00:00,2,203.0,233.89828,54.0,149.0,0.0,41.670395,1.885,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,15:00:00,2,194.0,225.51724,48.0,146.0,0.0,46.156803,1.94,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,16:00:00,2,209.0,241.52542,57.0,152.0,0.0,46.9478,2.2849998,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,17:00:00,2,230.0,267.4927,59.0,171.0,0.0,42.537178,3.675,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,18:00:00,2,168.0,185.59322,29.0,139.0,0.0,50.708218,1.115,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,19:00:00,2,215.0,251.6949,65.0,150.0,0.0,40.611954,2.04,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,20:00:00,2,157.0,186.10168,52.0,105.0,0.0,46.71987,1.145,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,21:00:00,2,112.0,124.067795,20.0,92.0,0.0,45.494194,0.955,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,22:00:00,2,58.0,70.169495,22.0,36.0,0.0,48.20759,0.4,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-14,23:00:00,2,81.0,92.0339,19.0,62.0,0.0,57.996666,0.585,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,00:00:00,2,22.0,24.915253,5.0,17.0,0.0,45.045456,0.165,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,01:00:00,2,7.0,7.1186438,0.0,7.0,0.0,45.57143,0.055,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,02:00:00,2,7.0,7.1186438,0.0,7.0,0.0,49.0,0.060000002,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,03:00:00,2,4.0,4.576271,1.0,3.0,0.0,36.7525,0.035,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,04:00:00,2,2.0,2.5423727,1.0,1.0,0.0,23.0,0.02,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,05:00:00,2,2.0,3.0508473,2.0,0.0,0.0,0.0,0.02,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,06:00:00,2,19.0,24.406778,10.0,9.0,0.0,25.054737,0.16,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,07:00:00,2,58.0,62.033897,6.0,52.0,0.0,44.709137,0.41500002,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,08:00:00,2,235.0,271.52542,64.0,171.0,0.0,39.34745,3.0800002,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,09:00:00,2,153.0,176.94916,42.0,111.0,0.0,27.228235,2.04,0.0
VF9NH00,基隆路二段228-1號前,往南,2016-11-15,10:00:00,2,191.0,233.8983,78.0,113.0,0.0,44.790894,1.69,0.0
