EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VG7PG50,基隆-和平東 往南,往南,2016-11-14,00:00:00,2,733.0,756.5,47.0,686.0,0.0,41.997326,3.405,95.775
VG7PG50,基隆-和平東 往南,往南,2016-11-14,01:00:00,2,536.0,544.5,17.0,519.0,0.0,42.500282,2.15,113.58501
VG7PG50,基隆-和平東 往南,往南,2016-11-14,02:00:00,2,307.0,311.0,8.0,299.0,0.0,43.403225,0.95,127.630005
VG7PG50,基隆-和平東 往南,往南,2016-11-14,03:00:00,2,205.0,206.5,3.0,202.0,0.0,44.08512,0.595,111.155
VG7PG50,基隆-和平東 往南,往南,2016-11-14,04:00:00,2,139.0,141.0,4.0,135.0,0.0,44.18115,0.39000002,96.270004
VG7PG50,基隆-和平東 往南,往南,2016-11-14,05:00:00,2,156.0,158.0,4.0,152.0,0.0,44.96122,0.36,123.08501
VG7PG50,基隆-和平東 往南,往南,2016-11-14,06:00:00,2,224.0,232.5,17.0,207.0,0.0,42.53799,0.82500005,135.315
VG7PG50,基隆-和平東 往南,往南,2016-11-14,07:00:00,2,611.0,657.5,93.0,518.0,0.0,43.27278,3.4650002,116.95
VG7PG50,基隆-和平東 往南,往南,2016-11-14,08:00:00,2,1152.0,1195.5,86.0,1051.0,0.0,43.915882,5.59,66.6
VG7PG50,基隆-和平東 往南,往南,2016-11-14,09:00:00,2,1271.0,1344.7373,100.0,1162.0,-1.0,40.803753,9.855,59.309998
VG7PG50,基隆-和平東 往南,往南,2016-11-14,10:00:00,2,959.0,1074.3572,124.0,835.0,0.0,38.3336,11.16,88.17
VG7PG50,基隆-和平東 往南,往南,2016-11-14,11:00:00,2,1127.0,1207.5,160.0,956.0,0.0,40.32681,10.445001,80.05
VG7PG50,基隆-和平東 往南,往南,2016-11-14,12:00:00,2,782.0,870.1207,133.0,651.0,-2.0,41.754196,5.3100004,80.075
VG7PG50,基隆-和平東 往南,往南,2016-11-14,13:00:00,2,1179.0,1223.5,89.0,1090.0,0.0,42.31715,7.74,63.195
VG7PG50,基隆-和平東 往南,往南,2016-11-14,14:00:00,2,1030.0,1148.6035,179.0,829.0,-1.0,40.144176,9.695,80.475006
VG7PG50,基隆-和平東 往南,往南,2016-11-14,15:00:00,2,1377.0,1502.0339,200.0,1177.0,0.0,38.35177,17.075,58.035
VG7PG50,基隆-和平東 往南,往南,2016-11-14,16:00:00,2,1442.0,1511.0,138.0,1304.0,0.0,36.59665,16.72,55.364998
VG7PG50,基隆-和平東 往南,往南,2016-11-14,17:00:00,2,1319.0,1395.0,152.0,1167.0,0.0,34.437794,19.665,59.715
VG7PG50,基隆-和平東 往南,往南,2016-11-14,18:00:00,2,1359.0,1525.3448,231.0,1128.0,0.0,37.194664,17.045,57.705
VG7PG50,基隆-和平東 往南,往南,2016-11-14,19:00:00,2,1552.0,1716.5,323.0,1184.0,0.0,36.76486,18.789999,58.75
VG7PG50,基隆-和平東 往南,往南,2016-11-14,20:00:00,2,1350.0,1504.8965,273.0,1077.0,0.0,36.018803,20.314999,53.705
VG7PG50,基隆-和平東 往南,往南,2016-11-14,21:00:00,2,1483.0,1581.0,196.0,1278.0,0.0,38.36418,13.715,51.455
VG7PG50,基隆-和平東 往南,往南,2016-11-14,22:00:00,2,1447.0,1588.6864,244.0,1187.0,-1.0,39.003357,14.55,55.805
VG7PG50,基隆-和平東 往南,往南,2016-11-14,23:00:00,2,1257.0,1379.7415,183.0,1074.0,0.0,39.394703,13.28,70.43
VG7PG50,基隆-和平東 往南,往南,2016-11-15,00:00:00,2,841.0,865.5,49.0,792.0,0.0,42.743816,3.415,87.86
VG7PG50,基隆-和平東 往南,往南,2016-11-15,01:00:00,2,617.0,626.0,18.0,599.0,0.0,43.624954,2.625,111.065
VG7PG50,基隆-和平東 往南,往南,2016-11-15,02:00:00,2,408.0,419.5,23.0,385.0,0.0,43.65537,1.44,106.175
VG7PG50,基隆-和平東 往南,往南,2016-11-15,03:00:00,2,254.0,260.0,12.0,242.0,0.0,43.7574,0.85,99.16499
VG7PG50,基隆-和平東 往南,往南,2016-11-15,04:00:00,2,180.0,185.5,11.0,169.0,0.0,43.62622,0.45499998,108.880005
VG7PG50,基隆-和平東 往南,往南,2016-11-15,05:00:00,2,167.0,169.5,5.0,162.0,0.0,43.490124,0.49,120.81
VG7PG50,基隆-和平東 往南,往南,2016-11-15,06:00:00,2,258.0,266.5,17.0,241.0,0.0,41.960815,0.96500003,133.3
VG7PG50,基隆-和平東 往南,往南,2016-11-15,07:00:00,2,604.0,653.0,98.0,506.0,0.0,43.18073,4.325,122.125
VG7PG50,基隆-和平東 往南,往南,2016-11-15,08:00:00,2,1175.0,1212.0,74.0,1101.0,0.0,43.66596,5.8650002,64.729996
VG7PG50,基隆-和平東 往南,往南,2016-11-15,09:00:00,2,1344.0,1424.0,153.0,1173.0,0.0,40.01561,9.555,60.464996
VG7PG50,基隆-和平東 往南,往南,2016-11-15,10:00:00,2,1178.0,1321.2415,219.0,959.0,0.0,38.714626,14.9800005,74.095
VG7PG50,基隆-和平東 往南,往南,2016-11-15,11:00:00,2,1322.0,1386.0,128.0,1194.0,0.0,39.617092,12.715,66.375
VG7PG50,基隆-和平東 往南,往南,2016-11-15,12:00:00,2,1287.0,1328.5,83.0,1204.0,0.0,41.816647,7.35,65.225
VG7PG50,基隆-和平東 往南,往南,2016-11-15,13:00:00,2,1177.0,1221.5,89.0,1088.0,0.0,43.055504,6.54,67.365005
VG7PG50,基隆-和平東 往南,往南,2016-11-15,14:00:00,2,1326.0,1385.0,116.0,1188.0,0.0,38.255905,11.165,58.585
VG7PG50,基隆-和平東 往南,往南,2016-11-15,15:00:00,2,1273.0,1429.0264,219.0,1041.0,0.0,36.126667,19.775002,62.135
VG7PG50,基隆-和平東 往南,往南,2016-11-15,16:00:00,2,1071.0,1182.0085,195.0,863.0,0.0,33.807674,18.95,67.0
VG7PG50,基隆-和平東 往南,往南,2016-11-15,17:00:00,2,1244.0,1339.5933,163.0,1081.0,0.0,34.599003,19.16,59.08
VG7PG50,基隆-和平東 往南,往南,2016-11-15,18:00:00,2,1303.0,1452.4138,202.0,1101.0,0.0,36.83156,16.045,59.255
VG7PG50,基隆-和平東 往南,往南,2016-11-15,19:00:00,2,1377.0,1497.5,241.0,1136.0,0.0,35.964706,17.89,54.025
VG7PG50,基隆-和平東 往南,往南,2016-11-15,20:00:00,2,1330.0,1464.0,268.0,1062.0,0.0,35.578743,19.470001,58.0
VG7PG50,基隆-和平東 往南,往南,2016-11-15,21:00:00,2,1333.0,1424.0,182.0,1151.0,0.0,37.74218,13.434999,56.949997
VG7PG50,基隆-和平東 往南,往南,2016-11-15,22:00:00,2,1428.0,1511.0,166.0,1262.0,0.0,37.733868,13.575,56.81
VG7PG50,基隆-和平東 往南,往南,2016-11-15,23:00:00,2,1134.0,1209.0,150.0,984.0,0.0,36.386826,11.809999,64.855
VG7PG50,基隆-和平東 往南,往南,2016-11-16,00:00:00,2,711.0,737.5,53.0,658.0,0.0,39.707428,6.565,85.4
VG7PG50,基隆-和平東 往南,往南,2016-11-16,01:00:00,2,539.0,546.5,15.0,524.0,0.0,43.606586,2.03,117.649994
VG7PG50,基隆-和平東 往南,往南,2016-11-16,02:00:00,2,309.0,314.0,10.0,299.0,0.0,44.924175,0.99,100.994995
VG7PG50,基隆-和平東 往南,往南,2016-11-16,03:00:00,2,205.0,209.0,8.0,197.0,0.0,44.634926,0.585,123.649994
VG7PG50,基隆-和平東 往南,往南,2016-11-16,04:00:00,2,190.0,193.5,7.0,183.0,0.0,44.174366,0.52,110.225
VG7PG50,基隆-和平東 往南,往南,2016-11-16,05:00:00,2,157.0,161.0,8.0,149.0,0.0,44.481655,0.45,106.899994
VG7PG50,基隆-和平東 往南,往南,2016-11-16,06:00:00,2,213.0,228.5,31.0,182.0,0.0,42.43521,1.04,143.83499
VG7PG50,基隆-和平東 往南,往南,2016-11-16,07:00:00,2,579.0,622.5,87.0,492.0,0.0,42.86782,3.4,113.385
VG7PG50,基隆-和平東 往南,往南,2016-11-16,08:00:00,2,1168.0,1213.0,90.0,1078.0,0.0,43.31305,6.3650002,68.265
VG7PG50,基隆-和平東 往南,往南,2016-11-16,09:00:00,2,1301.0,1383.5,163.0,1127.0,0.0,41.18718,9.55,59.55
VG7PG50,基隆-和平東 往南,往南,2016-11-16,10:00:00,2,1172.0,1316.8777,180.0,992.0,0.0,39.260834,11.42,72.625
VG7PG50,基隆-和平東 往南,往南,2016-11-16,11:00:00,2,1022.0,1093.0,142.0,880.0,0.0,40.130646,8.89,83.524994
VG7PG50,基隆-和平東 往南,往南,2016-11-16,12:00:00,2,710.0,739.0,58.0,652.0,0.0,40.66903,3.685,51.230003
VG7PG50,基隆-和平東 往南,往南,2016-11-16,13:00:00,2,1275.0,1325.0,100.0,1166.0,0.0,40.900333,9.434999,59.975
VG7PG50,基隆-和平東 往南,往南,2016-11-16,14:00:00,2,908.0,1027.1897,195.0,705.0,0.0,39.928333,10.07,93.729996
VG7PG50,基隆-和平東 往南,往南,2016-11-16,15:00:00,2,853.0,1023.5,337.0,487.0,0.0,35.04379,18.7,67.61
VG7PG50,基隆-和平東 往南,往南,2016-11-16,16:00:00,2,1103.0,1188.638,125.0,979.0,-1.0,39.4251,10.610001,61.225
VG7PG50,基隆-和平東 往南,往南,2016-11-16,17:00:00,2,1248.0,1336.0,176.0,1072.0,0.0,32.2504,21.505,62.35
VG7PG50,基隆-和平東 往南,往南,2016-11-16,18:00:00,2,1261.0,1393.7288,219.0,1042.0,0.0,34.844147,18.215,61.225
VG7PG50,基隆-和平東 往南,往南,2016-11-16,19:00:00,2,1376.0,1507.0,262.0,1114.0,0.0,35.194042,17.82,57.16
VG7PG50,基隆-和平東 往南,往南,2016-11-16,20:00:00,2,1396.0,1504.0,216.0,1180.0,0.0,35.899567,18.48,56.125
VG7PG50,基隆-和平東 往南,往南,2016-11-16,21:00:00,2,1307.0,1391.0,168.0,1139.0,0.0,39.02245,11.02,56.059998
VG7PG50,基隆-和平東 往南,往南,2016-11-16,22:00:00,2,1150.0,1437.6471,144.0,1006.0,0.0,37.98339,11.43,54.875
VG7PG50,基隆-和平東 往南,往南,2016-11-16,23:00:00,2,1208.0,1276.0,136.0,1072.0,0.0,39.50823,10.43,73.604996
VG7PG50,基隆-和平東 往南,往南,2016-11-17,00:00:00,2,839.0,862.5,47.0,792.0,0.0,41.9048,4.2799997,83.015
VG7PG50,基隆-和平東 往南,往南,2016-11-17,01:00:00,2,592.0,603.5,23.0,569.0,0.0,43.209763,2.375,109.115
VG7PG50,基隆-和平東 往南,往南,2016-11-17,02:00:00,2,302.0,306.5,9.0,293.0,0.0,43.625328,1.1,128.55
VG7PG50,基隆-和平東 往南,往南,2016-11-17,03:00:00,2,129.0,134.5,11.0,118.0,0.0,23.3,1.4,49.715
VG7PG50,基隆-和平東 往南,往南,2016-11-17,04:00:00,2,193.0,197.5,9.0,184.0,0.0,35.34482,1.135,68.979996
VG7PG50,基隆-和平東 往南,往南,2016-11-17,05:00:00,2,238.0,243.0,10.0,228.0,0.0,44.64294,0.74,106.235
VG7PG50,基隆-和平東 往南,往南,2016-11-17,06:00:00,2,273.0,287.0,28.0,245.0,0.0,42.575237,1.18,134.12
VG7PG50,基隆-和平東 往南,往南,2016-11-17,07:00:00,2,604.0,644.5,81.0,512.0,0.0,42.969223,3.77,115.275
VG7PG50,基隆-和平東 往南,往南,2016-11-17,08:00:00,2,1140.0,1196.644,91.0,1049.0,0.0,43.860123,6.5249996,67.93
VG7PG50,基隆-和平東 往南,往南,2016-11-17,09:00:00,2,1166.0,1227.5,119.0,1042.0,0.0,39.621574,9.13,74.08
VG7PG50,基隆-和平東 往南,往南,2016-11-17,10:00:00,2,970.0,1090.2034,216.0,744.0,0.0,39.00921,11.28,74.055
VG7PG50,基隆-和平東 往南,往南,2016-11-17,11:00:00,2,894.0,977.9828,116.0,779.0,-1.0,39.33805,8.925,58.72
VG7PG50,基隆-和平東 往南,往南,2016-11-17,12:00:00,2,653.0,693.5,80.0,563.0,0.0,42.075085,3.7599998,42.1
VG7PG50,基隆-和平東 往南,往南,2016-11-17,13:00:00,2,1262.0,1328.644,87.0,1176.0,-1.0,42.917717,7.0249996,57.925
VG7PG50,基隆-和平東 往南,往南,2016-11-17,14:00:00,2,451.0,501.48303,86.0,339.0,0.0,39.718235,3.975,87.945
VG7PG50,基隆-和平東 往南,往南,2016-11-17,15:00:00,2,1060.0,1176.5862,180.0,878.0,0.0,37.334858,15.209999,55.595
VG7PG50,基隆-和平東 往南,往南,2016-11-17,16:00:00,2,1050.0,1200.0,260.0,790.0,0.0,39.10857,11.315,72.1
VG7PG50,基隆-和平東 往南,往南,2016-11-17,17:00:00,2,1275.0,1346.5,143.0,1132.0,0.0,33.767735,19.665,57.885
VG7PG50,基隆-和平東 往南,往南,2016-11-17,18:00:00,2,1286.0,1454.7368,192.0,1094.0,0.0,35.5412,17.405,57.96
VG7PG50,基隆-和平東 往南,往南,2016-11-17,19:00:00,2,1385.0,1501.0,232.0,1153.0,0.0,35.58172,18.175,52.8
