EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,00:00:00,2,366.0,407.28812,69.0,297.0,0.0,52.03049,1.595,141.16
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,01:00:00,2,267.0,283.0,32.0,235.0,0.0,52.13734,0.91499996,143.005
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,02:00:00,2,171.0,183.5,25.0,146.0,0.0,54.88626,0.575,127.240005
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,03:00:00,2,85.0,89.5,9.0,76.0,0.0,54.574,0.18,110.65
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,04:00:00,2,85.0,91.5,13.0,72.0,0.0,54.353996,0.23500001,94.6
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,05:00:00,2,70.0,74.5,9.0,61.0,0.0,54.373714,0.175,88.7
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,06:00:00,2,127.0,143.5,33.0,94.0,0.0,55.251892,0.475,119.34
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,07:00:00,2,566.0,619.5,107.0,459.0,0.0,47.804752,2.975,129.675
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,08:00:00,2,1570.0,1674.5,203.0,1331.0,0.0,40.201366,13.59,61.045
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,09:00:00,2,1782.0,2000.3276,354.0,1385.0,0.0,32.72824,27.585,54.489998
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,10:00:00,2,1529.0,1696.0082,244.0,1285.0,0.0,37.49814,16.915,52.545
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,11:00:00,2,1092.0,1325.2241,401.0,691.0,0.0,41.049744,13.485,70.695
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,12:00:00,2,1491.0,1653.3104,246.0,1184.0,0.0,38.81728,14.955,65.16
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,13:00:00,2,1668.0,1836.3276,263.0,1405.0,0.0,38.253105,21.07,46.82
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,14:00:00,2,888.0,940.0,104.0,784.0,0.0,40.854626,8.66,43.87
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,15:00:00,2,1161.0,1324.5762,283.0,878.0,0.0,32.945744,16.81,54.059998
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,16:00:00,2,1562.0,1738.9829,296.0,1266.0,0.0,33.40626,21.38,48.184998
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,17:00:00,2,1629.0,1753.0,248.0,1381.0,0.0,32.6521,22.45,50.48
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,18:00:00,2,1445.0,1736.2373,552.0,880.0,0.0,36.21242,16.61,60.745
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,19:00:00,2,1215.0,1572.8794,645.0,543.0,-1.0,35.449116,19.535,75.649994
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,20:00:00,2,1431.0,1701.2966,501.0,914.0,0.0,40.108486,11.685,56.975
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,21:00:00,2,1101.0,1240.0593,258.0,831.0,0.0,46.116665,6.49,76.775
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,22:00:00,2,962.0,1092.178,241.0,721.0,0.0,46.931473,5.255,75.45
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-14,23:00:00,2,767.0,849.5,165.0,602.0,0.0,49.432373,4.01,86.59
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,00:00:00,2,456.0,501.5,91.0,365.0,0.0,51.742634,2.04,121.84
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,01:00:00,2,264.0,284.5,41.0,223.0,0.0,53.468483,0.90999997,136.3
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,02:00:00,2,175.0,187.0,24.0,151.0,0.0,53.35,0.625,123.28999
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,03:00:00,2,114.0,120.5,13.0,101.0,0.0,57.69298,0.29000002,100.524994
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,04:00:00,2,64.0,67.0,6.0,58.0,0.0,56.49875,0.125,87.3
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,05:00:00,2,81.0,88.0,14.0,67.0,0.0,53.89951,0.20500001,94.240005
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,06:00:00,2,138.0,157.5,39.0,99.0,0.0,51.617825,0.46499997,135.81
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,07:00:00,2,529.0,579.5,101.0,428.0,0.0,47.440002,2.755,122.395004
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,08:00:00,2,1599.0,1731.0,264.0,1335.0,0.0,34.08548,22.635,60.410004
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,09:00:00,2,1742.0,1942.0,397.0,1321.0,0.0,31.253511,30.17,54.815
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,10:00:00,2,1579.0,1767.5168,341.0,1239.0,-1.0,31.158487,27.715,53.775
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,11:00:00,2,1611.0,1738.5,255.0,1356.0,0.0,35.861412,19.06,50.08
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,12:00:00,2,1504.0,1684.0,360.0,1144.0,0.0,30.171124,28.189999,51.09
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,13:00:00,2,1643.0,1765.5,242.0,1352.0,0.0,34.85867,21.095001,50.805
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,14:00:00,2,1492.0,1756.9275,329.0,1164.0,-1.0,35.4959,24.175,50.065002
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,15:00:00,2,1636.0,1828.8644,360.0,1257.0,0.0,31.580816,28.579998,51.275
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,16:00:00,2,1598.0,1777.6271,300.0,1298.0,0.0,34.048336,20.26,48.605
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,17:00:00,2,1568.0,1693.0,250.0,1318.0,0.0,32.742367,23.27,53.315002
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,18:00:00,2,1534.0,1869.356,638.0,874.0,0.0,37.51667,20.74,54.18
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,19:00:00,2,1291.0,1676.8135,737.0,545.0,0.0,35.769844,22.73,66.89
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,20:00:00,2,1139.0,1465.2759,609.0,525.0,-1.0,38.85345,14.84,68.41
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,21:00:00,2,1009.0,1143.6694,247.0,763.0,-1.0,46.589863,5.855,80.83
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,22:00:00,2,1009.0,1121.5,225.0,784.0,0.0,46.465046,5.415,73.229996
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-15,23:00:00,2,737.0,816.0,158.0,579.0,0.0,50.298252,3.3449998,99.905
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,00:00:00,2,431.0,477.96606,78.0,353.0,0.0,49.939747,1.885,121.935
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,01:00:00,2,325.0,350.5,51.0,274.0,0.0,53.90231,1.355,137.33
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,02:00:00,2,172.0,189.0,34.0,138.0,0.0,54.94349,0.675,123.815
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,03:00:00,2,122.0,133.5,23.0,99.0,0.0,57.131725,0.4,118.549995
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,04:00:00,2,98.0,111.5,27.0,71.0,0.0,53.357143,0.47500002,100.770004
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,05:00:00,2,86.0,92.0,12.0,74.0,0.0,54.045235,0.265,81.34
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,06:00:00,2,151.0,173.5,45.0,106.0,0.0,54.31477,0.57,129.245
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,07:00:00,2,610.0,669.0,117.0,472.0,0.0,48.368504,3.105,127.145004
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,08:00:00,2,1646.0,1792.7118,259.0,1387.0,0.0,34.922707,24.23,53.565002
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,09:00:00,2,1773.0,1977.0,405.0,1332.0,0.0,28.9227,37.5,57.649998
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,10:00:00,2,1571.0,1745.0345,274.0,1283.0,-1.0,37.958344,14.325,51.36
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,11:00:00,2,1099.0,1369.6694,507.0,592.0,0.0,38.33008,13.855,76.19
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,12:00:00,2,1578.0,1729.5,302.0,1270.0,0.0,39.74626,16.825,54.125
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,13:00:00,2,1676.0,1843.3794,255.0,1403.0,-1.0,40.530273,18.405,47.48
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,14:00:00,2,895.0,951.5,113.0,782.0,0.0,43.151127,7.54,43.855
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,15:00:00,2,943.0,1069.0,249.0,671.0,0.0,33.832676,11.37,61.850002
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,16:00:00,2,1538.0,1741.4065,267.0,1271.0,0.0,35.646477,16.25,50.285
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,17:00:00,2,1530.0,1663.0,266.0,1264.0,0.0,31.346334,25.404999,54.215
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,18:00:00,2,1243.0,1556.0,622.0,617.0,0.0,34.337395,15.96,69.159996
VJERC40,基隆路一段172巷口(門架式),往南,2016-11-16,19:00:00,2,1267.0,1649.322,712.0,516.0,-1.0,33.462276,19.27,63.46
