EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VL9SB00,基隆路一段8號前,往南,2016-11-14,00:00:00,2,23.0,23.898304,1.0,22.0,0.0,42.74,0.195,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,01:00:00,2,13.0,14.2372875,2.0,11.0,0.0,51.85,0.1,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,02:00:00,2,8.0,8.135593,0.0,8.0,0.0,54.5,0.07,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,03:00:00,2,2.0,2.0338984,0.0,2.0,0.0,53.0,0.015,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,04:00:00,2,5.0,5.0847454,0.0,5.0,0.0,51.0,0.045,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,05:00:00,2,9.0,9.661016,1.0,8.0,0.0,49.89,0.075,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,06:00:00,2,7.0,7.1186438,0.0,7.0,0.0,47.0,0.06,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,07:00:00,2,36.0,42.20339,11.0,25.0,0.0,40.4175,0.39000002,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,08:00:00,2,190.0,219.15253,51.0,139.0,0.0,36.78621,3.01,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,09:00:00,2,175.0,197.28813,38.0,137.0,0.0,36.193714,1.935,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,10:00:00,2,134.0,149.49152,26.0,108.0,0.0,35.414925,2.295,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,11:00:00,2,122.0,137.28813,26.0,96.0,0.0,36.43,1.36,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,12:00:00,2,94.0,109.32203,27.0,67.0,0.0,34.675743,2.35,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,13:00:00,2,138.0,154.0678,27.0,111.0,0.0,37.5,1.39,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,14:00:00,2,134.0,148.98305,25.0,109.0,0.0,38.493584,1.295,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,15:00:00,2,113.0,133.96553,33.0,80.0,0.0,33.34566,1.915,0.0
VL9SB00,基隆路一段8號前,往南,2016-11-14,16:00:00,2,104.0,124.067795,36.0,68.0,0.0,33.79125,2.335,0.0
