EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,00:00:00,2,409.0,428.64407,25.0,384.0,0.0,48.742863,2.875,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,01:00:00,2,251.0,262.37286,14.0,237.0,0.0,50.576694,1.64,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,02:00:00,2,141.0,150.50847,14.0,127.0,0.0,51.129715,0.96999997,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,03:00:00,2,102.0,108.81356,10.0,92.0,0.0,51.665882,0.755,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,04:00:00,2,68.0,73.22034,8.0,60.0,0.0,50.150734,0.51,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,05:00:00,2,119.0,123.55932,5.0,114.0,0.0,52.36958,0.77,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,06:00:00,2,220.0,237.45763,27.0,193.0,0.0,50.602726,1.54,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,07:00:00,2,637.0,679.8305,63.0,574.0,0.0,47.25735,4.635,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,08:00:00,2,1616.0,1777.1187,263.0,1353.0,0.0,34.464188,17.675,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,09:00:00,2,1722.0,1845.2542,185.0,1537.0,0.0,35.628796,17.735,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,10:00:00,2,1490.0,1588.983,145.0,1345.0,0.0,41.48012,12.74,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,11:00:00,2,1371.0,1461.8644,133.0,1238.0,0.0,42.188076,11.225,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,12:00:00,2,1331.0,1416.1017,123.0,1208.0,0.0,41.866356,10.97,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,13:00:00,2,1367.0,1433.8982,86.0,1281.0,0.0,41.753212,11.09,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,14:00:00,2,1345.0,1444.5762,151.0,1194.0,0.0,40.294254,11.915,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,15:00:00,2,1375.0,1475.6897,103.0,1272.0,0.0,41.651215,11.505,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,16:00:00,2,1376.0,1454.2373,108.0,1268.0,0.0,41.598328,11.22,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,17:00:00,2,1458.0,1548.305,129.0,1329.0,0.0,41.795376,11.940001,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,18:00:00,2,1587.0,1732.3728,233.0,1354.0,0.0,32.603745,17.72,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,19:00:00,2,1390.0,1569.107,149.0,1241.0,0.0,37.30177,14.275001,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,20:00:00,2,1157.0,1227.4576,100.0,1057.0,0.0,41.06262,9.690001,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,21:00:00,2,1027.0,1074.9152,60.0,967.0,0.0,43.22177,7.925,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,22:00:00,2,1027.0,1081.017,72.0,955.0,0.0,43.102913,8.025,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-14,23:00:00,2,766.0,813.05084,67.0,699.0,0.0,45.90872,5.8500004,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,00:00:00,2,397.0,418.98303,30.0,367.0,0.0,49.3,2.7150002,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,01:00:00,2,235.0,248.13559,18.0,217.0,0.0,50.421658,1.615,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,02:00:00,2,184.0,197.28813,20.0,164.0,0.0,53.27174,1.26,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,03:00:00,2,124.0,135.25423,18.0,106.0,0.0,54.03129,0.895,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,04:00:00,2,98.0,104.23729,9.0,89.0,0.0,51.66387,0.7,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,05:00:00,2,127.0,136.77966,15.0,112.0,0.0,52.962364,0.865,0.0
VQ6WK40,成功路2段312巷(單號)對面,往南,2016-11-15,06:00:00,2,239.0,257.7966,29.0,210.0,0.0,49.457447,1.725,0.0
