EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQKWL40,成功路二段373號前,往南,2016-11-14,00:00:00,2,345.0,368.64404,35.0,310.0,0.0,50.449245,2.4499998,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,01:00:00,2,191.0,198.81354,9.0,182.0,0.0,54.260994,1.24,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,02:00:00,2,113.0,118.0,10.0,103.0,0.0,52.229465,0.825,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,03:00:00,2,74.0,79.32203,8.0,66.0,0.0,57.24649,0.49,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,04:00:00,2,62.0,65.593216,5.0,57.0,0.0,55.32048,0.42,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,05:00:00,2,70.0,74.23729,6.0,64.0,0.0,56.427998,0.51,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,06:00:00,2,173.0,185.08473,18.0,155.0,0.0,48.52237,1.365,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,07:00:00,2,512.0,574.7368,68.0,444.0,0.0,51.686172,3.66,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,08:00:00,2,1430.0,1595.5933,278.0,1152.0,0.0,40.953495,13.424999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,09:00:00,2,1461.0,1625.5933,275.0,1186.0,0.0,39.579445,14.209999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,10:00:00,2,1169.0,1319.4915,257.0,912.0,0.0,41.183056,11.39,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,11:00:00,2,1061.0,1187.7966,214.0,847.0,0.0,41.522083,10.825001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,12:00:00,2,995.0,1117.7095,187.0,791.0,0.0,43.03546,8.965,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,13:00:00,2,871.0,965.0847,156.0,715.0,0.0,43.985386,7.675,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,14:00:00,2,930.0,1038.305,182.0,748.0,0.0,42.626648,8.6,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,15:00:00,2,987.0,1133.7932,218.0,769.0,0.0,40.913536,9.875,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,16:00:00,2,960.0,1082.0339,208.0,752.0,0.0,40.85368,9.075001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,17:00:00,2,1017.0,1148.644,225.0,792.0,0.0,40.436794,10.030001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,18:00:00,2,1084.0,1213.2202,218.0,866.0,0.0,40.521442,10.565001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,19:00:00,2,962.0,1067.7966,176.0,786.0,0.0,42.932537,8.280001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,20:00:00,2,808.0,896.4407,147.0,661.0,0.0,40.22875,8.014999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,21:00:00,2,817.0,897.45764,131.0,686.0,0.0,40.502605,7.3999996,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,22:00:00,2,829.0,913.7288,139.0,690.0,0.0,41.776005,7.285,0.0
VQKWL40,成功路二段373號前,往南,2016-11-14,23:00:00,2,576.0,626.4407,80.0,496.0,0.0,44.75236,4.675,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,00:00:00,2,299.0,322.37286,36.0,263.0,0.0,53.243313,2.035,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,01:00:00,2,186.0,195.76271,13.0,173.0,0.0,55.007256,1.175,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,02:00:00,2,128.0,135.25423,10.0,118.0,0.0,53.139065,0.89,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,03:00:00,2,99.0,104.23729,7.0,92.0,0.0,54.24424,0.735,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,04:00:00,2,87.0,91.01695,5.0,82.0,0.0,56.134483,0.56,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,05:00:00,2,95.0,102.203384,11.0,84.0,0.0,58.830532,0.625,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,06:00:00,2,135.0,188.47827,19.0,116.0,0.0,54.173336,1.23,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,07:00:00,2,467.0,728.0487,61.0,406.0,0.0,51.671005,4.45,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,08:00:00,2,1604.0,1781.6948,296.0,1308.0,0.0,37.37661,16.485,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,09:00:00,2,1512.0,1699.8304,319.0,1193.0,0.0,40.136887,14.68,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,10:00:00,2,1227.0,1389.6609,279.0,948.0,0.0,40.223335,12.68,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,11:00:00,2,1191.0,1345.4237,264.0,927.0,0.0,39.785988,12.025,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,12:00:00,2,1014.0,1140.5084,215.0,799.0,0.0,41.5121,9.55,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,13:00:00,2,893.0,976.0,166.0,727.0,0.0,43.627537,7.7749996,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,14:00:00,2,948.0,1080.5172,193.0,755.0,0.0,43.106262,8.8949995,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,15:00:00,2,913.0,1009.83044,160.0,753.0,0.0,40.659462,8.475,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,16:00:00,2,986.0,1116.1017,223.0,763.0,0.0,42.35653,9.355,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,17:00:00,2,1035.0,1175.5933,242.0,793.0,0.0,39.16394,10.674999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,18:00:00,2,1055.0,1181.1864,213.0,842.0,0.0,40.733837,10.055,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,19:00:00,2,995.0,1088.1356,150.0,845.0,0.0,41.84237,8.745,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,20:00:00,2,899.0,996.6101,162.0,737.0,0.0,41.054916,8.405,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,21:00:00,2,770.0,855.7627,143.0,627.0,0.0,41.67453,7.12,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,22:00:00,2,846.0,945.2542,167.0,679.0,0.0,41.666725,7.7999997,0.0
VQKWL40,成功路二段373號前,往南,2016-11-15,23:00:00,2,566.0,613.7288,75.0,491.0,0.0,44.892597,4.495,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,00:00:00,2,313.0,335.08475,33.0,280.0,0.0,50.6492,2.175,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,01:00:00,2,170.0,180.0,14.0,156.0,0.0,54.753998,1.065,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,02:00:00,2,120.0,128.64407,13.0,107.0,0.0,55.53425,0.80499995,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,03:00:00,2,102.0,107.28813,7.0,95.0,0.0,56.52216,0.65999997,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,04:00:00,2,92.0,96.10169,5.0,87.0,0.0,55.20304,0.6,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,05:00:00,2,83.0,87.45763,6.0,77.0,0.0,57.40458,0.555,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,06:00:00,2,157.0,170.84746,22.0,135.0,0.0,54.238407,1.03,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,07:00:00,2,531.0,580.34485,60.0,471.0,0.0,50.56245,3.6950002,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,08:00:00,2,1496.0,1658.1355,269.0,1227.0,0.0,39.624447,14.565001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,09:00:00,2,1412.0,1577.2881,278.0,1134.0,0.0,40.160374,13.665001,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,10:00:00,2,1131.0,1271.6948,239.0,892.0,0.0,40.686844,10.99,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,11:00:00,2,986.0,1113.5593,218.0,768.0,0.0,42.71299,9.32,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,12:00:00,2,1010.0,1132.3728,207.0,803.0,0.0,40.65577,9.67,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,13:00:00,2,906.0,1004.2373,163.0,743.0,0.0,43.897682,8.815,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,14:00:00,2,904.0,1032.4138,188.0,716.0,0.0,43.114513,8.28,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,15:00:00,2,1014.0,1138.4746,211.0,803.0,0.0,40.049664,10.309999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,16:00:00,2,990.0,1108.4746,200.0,790.0,0.0,41.400757,9.84,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,17:00:00,2,1103.0,1220.5,235.0,868.0,0.0,40.095222,11.4,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,18:00:00,2,1078.0,1226.8966,216.0,862.0,0.0,40.410576,10.5,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,19:00:00,2,965.0,1059.1525,153.0,812.0,0.0,41.17145,8.835,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,20:00:00,2,976.0,1093.2203,198.0,778.0,0.0,39.405685,9.799999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,21:00:00,2,836.0,924.91516,147.0,689.0,0.0,40.794403,7.7,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,22:00:00,2,753.0,907.77783,128.0,625.0,0.0,41.62914,7.21,0.0
VQKWL40,成功路二段373號前,往南,2016-11-16,23:00:00,2,579.0,611.5,65.0,514.0,0.0,45.84962,4.5550003,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,00:00:00,2,269.0,292.2414,27.0,242.0,0.0,50.14167,1.9749999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,01:00:00,2,178.0,183.0,10.0,168.0,0.0,55.155052,1.13,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,02:00:00,2,136.0,148.96552,16.0,120.0,0.0,57.10022,0.875,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,03:00:00,2,106.0,110.5,9.0,97.0,0.0,56.230755,0.715,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,04:00:00,2,78.0,84.31035,7.0,71.0,0.0,53.150383,0.6,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,05:00:00,2,78.0,80.5,5.0,73.0,0.0,54.71384,0.52,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,06:00:00,2,129.0,184.0,18.0,111.0,0.0,52.42814,1.255,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,07:00:00,2,488.0,747.8572,71.0,417.0,0.0,49.082893,4.87,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,08:00:00,2,1465.0,1667.5862,294.0,1171.0,0.0,38.77838,14.79,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,09:00:00,2,1545.0,1716.0,342.0,1203.0,0.0,40.17608,15.3949995,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,10:00:00,2,1175.0,1357.7587,275.0,900.0,0.0,39.15001,12.094999,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,11:00:00,2,1015.0,1119.5,209.0,806.0,0.0,41.313408,9.65,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,12:00:00,2,958.0,1088.7759,185.0,760.0,0.0,43.28134,8.81,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,13:00:00,2,900.0,991.11865,169.0,731.0,0.0,44.671066,7.665,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,14:00:00,2,941.0,1057.7587,163.0,778.0,0.0,43.388367,8.535,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,15:00:00,2,1053.0,1179.5,253.0,800.0,0.0,39.821907,10.64,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,16:00:00,2,945.0,1085.6897,209.0,736.0,0.0,39.65629,9.525,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,17:00:00,2,1029.0,1155.2543,214.0,815.0,0.0,39.466667,10.46,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,18:00:00,2,1095.0,1209.1526,188.0,907.0,0.0,41.502968,10.125,0.0
VQKWL40,成功路二段373號前,往南,2016-11-17,19:00:00,2,1066.0,1177.6271,184.0,882.0,0.0,41.27675,9.995,0.0
