EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,00:00:00,2,47.0,49.0,4.0,43.0,0.0,44.02553,0.345,248.185
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,01:00:00,2,37.0,38.0,2.0,35.0,0.0,50.8373,0.24000001,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,02:00:00,2,19.0,20.0,2.0,17.0,0.0,52.15579,0.15,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,03:00:00,2,11.0,11.0,0.0,11.0,0.0,39.45,0.09,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,04:00:00,2,14.0,14.0,0.0,14.0,0.0,40.71,0.115,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,05:00:00,2,17.0,17.5,1.0,16.0,0.0,51.351765,0.125,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,06:00:00,2,44.0,47.5,7.0,37.0,0.0,45.5,0.3,247.75
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,07:00:00,2,128.0,138.5,21.0,107.0,0.0,50.10195,0.79,236.975
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,08:00:00,2,414.0,443.0,58.0,356.0,0.0,44.755844,3.7649999,184.465
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,09:00:00,2,397.0,419.0,44.0,353.0,0.0,44.413574,2.625,189.29001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,10:00:00,2,388.0,418.5,61.0,327.0,0.0,46.840668,2.56,184.79999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,11:00:00,2,386.0,404.0,36.0,350.0,0.0,47.929066,2.4750001,193.405
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,12:00:00,2,337.0,351.5,29.0,308.0,0.0,46.470833,2.135,198.95999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,13:00:00,2,577.0,594.0,34.0,543.0,0.0,26.898941,2.085,200.25
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,14:00:00,2,339.0,370.34485,38.0,301.0,0.0,48.147167,2.1399999,194.61
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,15:00:00,2,387.0,411.86438,36.0,351.0,0.0,47.044655,2.64,186.245
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,16:00:00,2,366.0,379.5,27.0,339.0,0.0,47.13642,2.1950002,193.91
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,17:00:00,2,378.0,396.5,37.0,341.0,0.0,48.78804,2.325,190.72
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,18:00:00,2,362.0,391.5,59.0,303.0,0.0,44.6137,3.245,195.69
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,19:00:00,2,331.0,351.5,41.0,290.0,0.0,49.593693,2.335,199.16
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,20:00:00,2,273.0,288.0,30.0,243.0,0.0,45.26901,1.91,211.625
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,21:00:00,2,201.0,206.5,11.0,190.0,0.0,48.581787,1.18,224.20499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,22:00:00,2,131.0,137.5,13.0,118.0,0.0,45.321297,0.84,238.82501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-14,23:00:00,2,108.0,118.0,20.0,88.0,0.0,49.366386,0.825,242.185
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,00:00:00,2,42.0,43.5,3.0,39.0,0.0,49.717144,0.32,249.54001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,01:00:00,2,26.0,27.5,3.0,23.0,0.0,50.423077,0.19999999,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,02:00:00,2,18.0,20.0,4.0,14.0,0.0,48.0,0.15,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,03:00:00,2,22.0,22.5,1.0,21.0,0.0,50.680454,0.14,249.13501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,04:00:00,2,28.0,28.5,1.0,27.0,0.0,53.285713,0.165,249.55
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,05:00:00,2,16.0,17.0,2.0,14.0,0.0,52.434376,0.125,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,06:00:00,2,50.0,54.0,8.0,42.0,0.0,48.8604,0.39,248.65
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,07:00:00,2,141.0,147.5,13.0,128.0,0.0,50.02092,0.82500005,238.61
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,08:00:00,2,375.0,403.0,56.0,319.0,0.0,44.628803,3.845,192.04001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,09:00:00,2,413.0,437.5,49.0,364.0,0.0,44.578064,3.365,182.225
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,10:00:00,2,440.0,470.5,61.0,379.0,0.0,47.055523,3.965,174.965
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,11:00:00,2,381.0,407.5,53.0,328.0,0.0,46.44378,2.585,191.08499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,12:00:00,2,335.0,350.0,30.0,305.0,0.0,49.981342,1.83,197.56
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,13:00:00,2,317.0,331.5,29.0,288.0,0.0,47.565838,2.04,198.645
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,14:00:00,2,335.0,354.8276,16.0,319.0,0.0,46.221497,2.1100001,197.57999
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,15:00:00,2,387.0,406.5,39.0,348.0,0.0,48.337597,2.31,188.545
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,16:00:00,2,354.0,376.0,44.0,310.0,0.0,47.992035,2.22,196.15
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,17:00:00,2,360.0,376.0,32.0,328.0,0.0,48.016113,2.265,194.03
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,18:00:00,2,374.0,400.0,52.0,322.0,0.0,39.460587,4.0550003,186.625
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,19:00:00,2,360.0,381.0,42.0,318.0,0.0,46.565998,3.83,191.41501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,20:00:00,2,278.0,296.5,37.0,241.0,0.0,47.583992,2.165,212.075
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,21:00:00,2,134.0,139.0,10.0,124.0,0.0,48.47463,0.84000003,238.38501
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,22:00:00,2,132.0,140.5,17.0,115.0,0.0,48.116364,0.81,237.625
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-15,23:00:00,2,109.0,116.0,14.0,95.0,0.0,51.686237,0.76,241.76001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,00:00:00,2,35.0,38.0,6.0,29.0,0.0,45.026,0.27499998,249.1
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,01:00:00,2,24.0,25.0,2.0,22.0,0.0,45.375,0.175,249.55
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,02:00:00,2,11.0,11.0,0.0,11.0,0.0,47.632725,0.08,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,03:00:00,2,11.0,11.896552,1.0,10.0,0.0,42.27,0.085,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,04:00:00,2,16.0,16.0,0.0,16.0,0.0,43.75,0.1,249.55
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,05:00:00,2,18.0,18.0,0.0,18.0,0.0,47.5,0.15,250.0
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,06:00:00,2,38.0,39.5,3.0,35.0,0.0,50.843945,0.275,249.54001
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,07:00:00,2,144.0,153.5,19.0,125.0,0.0,51.693752,0.85,235.875
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,08:00:00,2,446.0,483.5,75.0,371.0,0.0,44.286636,3.8899999,182.225
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,09:00:00,2,439.0,465.5,53.0,386.0,0.0,46.030388,4.79,175.595
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,10:00:00,2,426.0,453.5,55.0,371.0,0.0,44.044624,3.375,177.895
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,11:00:00,2,410.0,437.5,55.0,355.0,0.0,45.725906,2.8,188.5
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,12:00:00,2,330.0,344.5,29.0,301.0,0.0,46.48918,2.07,196.26
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,13:00:00,2,305.0,314.5,19.0,286.0,0.0,49.09,1.825,204.85
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,14:00:00,2,336.0,364.06778,44.0,292.0,0.0,49.946133,2.0149999,196.31
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,15:00:00,2,378.0,397.0,38.0,340.0,0.0,49.947117,2.24,189.95499
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,16:00:00,2,348.0,359.0,22.0,326.0,0.0,48.742985,2.01,198.12
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,17:00:00,2,353.0,375.0,44.0,309.0,0.0,49.191673,2.25,194.205
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,18:00:00,2,368.0,393.0,50.0,318.0,0.0,46.782173,3.2350001,196.125
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,19:00:00,2,382.0,402.0,40.0,342.0,0.0,48.51327,3.24,188.41
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,20:00:00,2,246.0,264.0,36.0,210.0,0.0,47.54593,2.19,215.685
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,21:00:00,2,164.0,169.5,11.0,153.0,0.0,48.052197,1.035,229.81
VQRTE00,舊宗路二段121巷口左側人行道上,往南,2016-11-16,22:00:00,2,126.0,139.47368,13.0,113.0,0.0,47.076508,0.83,240.76999
