EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,00:00:00,3,433.0,444.0,22.0,411.0,0.0,47.76598,1.4866667,208.88335
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,01:00:00,3,281.0,285.5,9.0,272.0,0.0,48.899292,0.86999995,228.61
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,02:00:00,3,187.0,189.5,5.0,182.0,0.0,50.655716,0.51666665,239.44334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,03:00:00,3,137.0,138.0,2.0,135.0,0.0,48.170948,0.38333333,246.94666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,04:00:00,3,103.0,104.0,2.0,101.0,0.0,46.474857,0.28666666,247.05666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,05:00:00,3,85.0,85.0,0.0,85.0,0.0,47.153885,0.21666665,249.16667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,06:00:00,3,183.0,184.5,3.0,180.0,0.0,46.952896,0.5833333,242.61333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,07:00:00,3,513.0,534.75,43.0,469.0,0.0,48.73199,2.1766665,202.91667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,08:00:00,3,1387.0,1465.2246,119.0,1258.0,-1.0,47.210857,9.603333,124.71
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,09:00:00,3,1445.0,1504.0,118.0,1327.0,0.0,46.772038,11.7300005,118.950005
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,10:00:00,3,1380.5,1457.25,153.0,1219.0,0.0,46.0023,11.453334,112.863335
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,11:00:00,3,1312.0,1394.4534,137.0,1169.0,-1.0,44.452835,9.183333,115.450005
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,12:00:00,3,1284.0,1360.7966,142.0,1137.0,0.0,46.07635,8.003333,117.88
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,13:00:00,3,1377.0,1449.5635,129.0,1226.0,-1.0,43.70283,9.806667,111.70667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,14:00:00,3,1518.0,1596.2587,124.0,1396.0,-2.0,45.82112,9.766667,102.93667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,15:00:00,3,1615.0,1735.9321,184.0,1431.0,0.0,43.58337,12.766666,91.28333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,16:00:00,3,1496.5,1580.75,168.0,1318.0,0.0,44.373085,10.97,106.083336
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,17:00:00,3,1561.0,1646.4237,154.0,1384.0,-1.0,42.27974,11.453334,101.03333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,18:00:00,3,1883.0,1974.7114,131.0,1746.0,0.0,44.655704,11.596667,76.02
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,19:00:00,3,1908.0,1990.7668,126.0,1776.0,-2.0,43.90864,12.426666,71.026665
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,20:00:00,3,1677.0,1762.9321,155.0,1522.0,0.0,43.4454,12.576667,85.69
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,21:00:00,3,1322.0,1392.5,141.0,1181.0,0.0,42.806488,9.613334,109.07333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,22:00:00,3,1090.0,1140.5,101.0,989.0,0.0,43.05673,7.6999993,131.46666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-14,23:00:00,3,806.0,843.0,74.0,732.0,0.0,46.3736,4.2333336,163.67
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,00:00:00,3,446.0,460.0,28.0,418.0,0.0,47.653587,1.7933334,206.33333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,01:00:00,3,271.0,274.5,7.0,264.0,0.0,50.00945,0.8166666,224.52667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,02:00:00,3,213.0,215.5,5.0,208.0,0.0,49.24028,0.59666663,237.27998
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,03:00:00,3,173.0,174.5,3.0,170.0,0.0,48.99162,0.49666667,244.55334
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,04:00:00,3,132.0,133.0,2.0,130.0,0.0,48.34106,0.37333333,245.11333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,05:00:00,3,103.0,104.5,3.0,100.0,0.0,49.10893,0.26666668,249.16667
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,06:00:00,3,159.0,161.5,5.0,154.0,0.0,47.73082,0.48333335,246.11333
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,07:00:00,3,496.5,507.25,21.0,469.0,0.0,49.16598,1.5266666,201.87666
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往南,2016-11-15,08:00:00,3,1469.0,1550.8103,131.0,1339.0,-1.0,47.811314,9.816667,120.49
