EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,00:00:00,3,374.0,377.0,6.0,368.0,0.0,58.445934,0.78999996,215.20332
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,01:00:00,3,238.0,240.5,5.0,233.0,0.0,57.849495,0.50666666,231.58333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,02:00:00,3,158.0,159.5,3.0,155.0,0.0,56.842278,0.30666664,241.66667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,03:00:00,3,112.0,113.0,2.0,110.0,0.0,55.965,0.2,247.22002
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,04:00:00,3,78.0,78.5,1.0,77.0,0.0,56.628593,0.1,248.89
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,05:00:00,3,89.0,90.0,2.0,87.0,0.0,54.160904,0.17333333,247.61333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,06:00:00,3,156.0,158.0,4.0,152.0,0.0,56.85282,0.3033333,242.83333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,07:00:00,3,452.0,461.0,18.0,434.0,0.0,59.64976,1.0133333,207.00667
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,08:00:00,3,1351.0,1374.5,47.0,1304.0,0.0,57.600826,3.3766668,127.713326
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,09:00:00,3,1594.0,1625.0,62.0,1532.0,0.0,58.08628,3.9233334,117.41333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,10:00:00,3,1118.0,1133.0,30.0,1088.0,0.0,56.759335,2.72,135.71333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,11:00:00,3,1024.0,1037.5,27.0,997.0,0.0,56.302147,2.5266666,142.79
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,12:00:00,3,973.0,986.5,27.0,946.0,0.0,56.347637,2.4366667,147.27333
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,13:00:00,3,894.0,904.0,20.0,874.0,0.0,56.975845,2.1566668,153.39
VSEMA00,大直橋(明水路上方)(附掛閉路電視桿),往南,2016-11-14,14:00:00,3,982.0,993.0,22.0,960.0,0.0,56.91173,2.3466666,146.11
