EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,00:00:00,1,320.0,328.5,17.0,303.0,0.0,4.95,1.07,243.22
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,01:00:00,1,53.0,55.5,5.0,48.0,0.0,18.68,0.73,244.55
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,02:00:00,1,41.0,42.0,2.0,39.0,0.0,19.78,0.6,246.77
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,03:00:00,1,26.0,29.0,6.0,20.0,0.0,9.54,0.4,249.0
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,04:00:00,1,10.0,10.0,0.0,10.0,0.0,7.5,0.17,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,05:00:00,1,10.0,10.0,0.0,10.0,0.0,13.2,0.17,250.0
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,06:00:00,1,34.0,34.5,1.0,33.0,0.0,10.85,0.52,249.02
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,07:00:00,1,599.0,608.0,18.0,581.0,0.0,3.63,1.47,236.1
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,08:00:00,1,457.0,472.0,30.0,427.0,0.0,16.12,3.17,193.32
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,09:00:00,1,536.0,563.5,55.0,481.0,0.0,35.4,9.53,79.4
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,10:00:00,1,727.0,758.0,62.0,665.0,0.0,35.69,11.03,94.12
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,11:00:00,1,488.0,508.0,40.0,448.0,0.0,36.1,9.82,83.8
VSNRE00,瑞光路390號車道出口對面人行道上,往南,2016-11-14,12:00:00,1,476.0,496.0,40.0,436.0,0.0,34.77,9.45,82.12
