EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,00:00:00,2,138.0,143.8983,7.0,131.0,0.0,46.17739,1.025,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,01:00:00,2,100.0,104.23729,5.0,95.0,0.0,50.1127,0.755,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,02:00:00,2,35.0,36.61017,2.0,33.0,0.0,45.883427,0.29000002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,03:00:00,2,28.0,28.474575,0.0,28.0,0.0,45.075714,0.24,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,04:00:00,2,32.0,32.542374,0.0,32.0,0.0,46.874374,0.26999998,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,05:00:00,2,26.0,26.440676,0.0,26.0,0.0,43.00077,0.22,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,06:00:00,2,44.0,47.796608,6.0,38.0,0.0,48.023636,0.38500002,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,07:00:00,2,161.0,177.9661,28.0,133.0,0.0,47.55907,1.345,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,08:00:00,2,509.0,558.4211,43.0,466.0,0.0,45.928703,4.065,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,09:00:00,2,679.0,720.5084,59.0,620.0,0.0,45.267937,5.245,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,10:00:00,2,558.0,607.62714,79.0,479.0,0.0,43.72606,4.79,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,11:00:00,2,458.0,493.2203,54.0,404.0,0.0,44.522617,3.7399998,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,12:00:00,2,498.0,542.0339,70.0,428.0,0.0,40.39916,5.025,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,13:00:00,2,554.0,614.7457,101.0,453.0,0.0,38.872925,7.635,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,14:00:00,2,542.0,593.8983,84.0,458.0,0.0,41.13336,5.16,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,15:00:00,2,546.0,599.4828,67.0,479.0,0.0,41.532566,5.005,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,16:00:00,2,539.0,584.7457,72.0,467.0,0.0,43.04577,4.525,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,17:00:00,2,530.0,563.8983,49.0,481.0,0.0,44.733585,4.24,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,18:00:00,2,582.0,622.88135,61.0,521.0,0.0,42.718296,4.8050003,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,19:00:00,2,702.0,753.05084,77.0,625.0,0.0,40.76389,6.17,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,20:00:00,2,517.0,553.22034,54.0,463.0,0.0,42.241043,4.395,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,21:00:00,2,385.0,414.91522,46.0,339.0,0.0,43.124283,3.315,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,22:00:00,2,367.0,393.05084,39.0,328.0,0.0,44.100407,2.94,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-14,23:00:00,2,231.0,250.16948,30.0,201.0,0.0,45.613377,1.8600001,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,00:00:00,2,104.0,109.830505,8.0,96.0,0.0,52.09885,0.725,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,01:00:00,2,63.0,67.118645,6.0,57.0,0.0,47.065712,0.51,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,02:00:00,2,40.0,41.18644,1.0,39.0,0.0,55.946495,0.29,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,03:00:00,2,20.0,21.864407,3.0,17.0,0.0,56.998497,0.15,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,04:00:00,2,15.0,16.271187,2.0,13.0,0.0,56.731335,0.120000005,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,05:00:00,2,22.0,23.38983,2.0,20.0,0.0,56.815907,0.165,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,06:00:00,2,60.0,63.55932,5.0,55.0,0.0,49.248833,0.44,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,07:00:00,2,136.0,152.03389,27.0,109.0,0.0,48.280518,1.175,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,08:00:00,2,458.0,488.13556,44.0,414.0,0.0,47.542053,3.46,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,09:00:00,2,734.0,777.96606,62.0,672.0,0.0,48.66245,5.23,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,10:00:00,2,628.0,674.2373,70.0,558.0,0.0,46.024776,4.85,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,11:00:00,2,516.0,548.5,65.0,451.0,0.0,41.7943,4.495,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,12:00:00,2,562.0,627.931,90.0,472.0,0.0,41.366688,5.53,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,13:00:00,2,548.0,588.5,81.0,467.0,0.0,39.602554,5.56,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,14:00:00,2,541.0,600.0,78.0,463.0,0.0,41.11946,5.17,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,15:00:00,2,601.0,653.8983,84.0,517.0,0.0,40.060715,5.74,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,16:00:00,2,482.0,523.22034,65.0,417.0,0.0,43.223152,4.065,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,17:00:00,2,464.0,495.7627,47.0,417.0,0.0,44.158363,3.7450001,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,18:00:00,2,559.0,601.5254,65.0,494.0,0.0,40.637672,4.935,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,19:00:00,2,660.0,712.37286,81.0,579.0,0.0,41.09197,5.825,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,20:00:00,2,534.0,577.11865,67.0,467.0,0.0,40.802715,4.78,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,21:00:00,2,366.0,388.47455,32.0,334.0,0.0,44.08202,2.99,0.0
VT9NN00,明水路604號對面人行道上,往南,2016-11-15,22:00:00,2,366.0,386.44067,28.0,338.0,0.0,46.111473,2.78,0.0
