EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,00:00:00,2,159.0,159.0,0.0,159.0,0.0,52.297863,0.555,238.375
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,01:00:00,2,74.0,74.5,1.0,73.0,0.0,51.267162,0.225,246.66501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,02:00:00,2,58.0,58.0,0.0,58.0,0.0,50.516205,0.15,248.75
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,03:00:00,2,40.0,41.0,2.0,38.0,0.0,52.598,0.11,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,04:00:00,2,29.0,29.5,1.0,28.0,0.0,51.896896,0.07,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,05:00:00,2,38.0,38.0,0.0,38.0,0.0,50.23737,0.120000005,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,06:00:00,2,64.0,64.5,1.0,63.0,0.0,50.24625,0.19,247.5
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,07:00:00,2,207.0,207.5,1.0,206.0,0.0,51.32942,0.79,223.91501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,08:00:00,2,634.0,635.5,3.0,631.0,0.0,51.205048,2.6,149.09
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,09:00:00,2,659.0,662.0,6.0,653.0,0.0,52.997627,2.615,134.19
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,10:00:00,2,544.0,547.0,6.0,538.0,0.0,51.408493,2.225,158.92499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,11:00:00,2,435.0,437.5,5.0,430.0,0.0,53.310005,1.71,180.275
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,12:00:00,2,428.0,432.5,9.0,419.0,0.0,54.10243,1.6850001,184.14499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,13:00:00,2,398.0,404.0,12.0,386.0,0.0,52.939472,1.5350001,187.19
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,14:00:00,2,444.0,450.0,12.0,432.0,0.0,51.95198,1.865,177.515
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,15:00:00,2,467.0,482.54236,15.0,452.0,0.0,50.41764,2.045,172.715
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,16:00:00,2,488.0,495.0,14.0,474.0,0.0,49.95801,2.15,167.125
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,17:00:00,2,522.0,532.0,20.0,502.0,0.0,49.787167,2.39,167.16501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,18:00:00,2,430.0,433.5,7.0,423.0,0.0,48.71851,1.9,180.935
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,19:00:00,2,248.0,251.5,7.0,241.0,0.0,49.466972,1.045,214.375
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,20:00:00,2,256.0,260.5,9.0,247.0,0.0,48.404842,1.205,216.095
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,21:00:00,2,288.0,292.5,9.0,279.0,0.0,50.152363,1.2149999,209.76001
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,22:00:00,2,326.0,328.0,4.0,322.0,0.0,50.476196,1.2950001,202.425
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-14,23:00:00,2,237.0,237.5,1.0,236.0,0.0,52.630505,0.83000004,219.95999
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,00:00:00,2,140.0,140.0,0.0,140.0,0.0,51.175003,0.48999998,239.08
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,01:00:00,2,91.0,91.5,1.0,90.0,0.0,53.129562,0.265,247.08499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,02:00:00,2,59.0,60.0,2.0,57.0,0.0,52.098984,0.2,247.92
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,03:00:00,2,52.0,52.5,1.0,51.0,0.0,50.807884,0.145,248.75
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,04:00:00,2,30.0,31.0,2.0,28.0,0.0,49.569332,0.115,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,05:00:00,2,39.0,39.0,0.0,39.0,0.0,50.95154,0.11,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,06:00:00,2,67.0,67.0,0.0,67.0,0.0,50.30105,0.16000001,247.92
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,07:00:00,2,174.0,174.0,0.0,174.0,0.0,52.916374,0.58,232.55
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,08:00:00,2,506.0,509.5,7.0,499.0,0.0,52.364346,1.97,165.375
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,09:00:00,2,631.0,634.0,6.0,625.0,0.0,53.293713,2.475,140.15
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,10:00:00,2,520.0,521.0,2.0,518.0,0.0,53.066154,2.0,162.82501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,11:00:00,2,514.0,517.0,6.0,508.0,0.0,52.16819,2.05,158.59
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,12:00:00,2,458.0,461.0,6.0,452.0,0.0,52.060265,1.865,174.795
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,13:00:00,2,386.0,391.5,11.0,375.0,0.0,52.379765,1.59,187.125
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,14:00:00,2,486.0,490.0,8.0,478.0,0.0,51.866604,2.025,168.12
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,15:00:00,2,457.0,459.0,4.0,453.0,0.0,50.911423,1.885,175.86
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,16:00:00,2,457.0,463.0,12.0,445.0,0.0,50.384945,1.965,177.935
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,17:00:00,2,493.0,497.0,8.0,485.0,0.0,49.32807,2.19,166.41
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,18:00:00,2,412.0,415.0,6.0,406.0,0.0,48.674904,1.83,185.88501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,19:00:00,2,251.0,253.5,5.0,246.0,0.0,50.151237,1.04,216.625
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,20:00:00,2,237.0,239.5,5.0,232.0,0.0,50.07401,0.92499995,218.83499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,21:00:00,2,276.0,277.5,3.0,273.0,0.0,50.509132,1.125,213.33
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,22:00:00,2,287.0,289.0,4.0,283.0,0.0,49.88976,1.225,209.095
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-15,23:00:00,2,216.0,218.5,5.0,211.0,0.0,51.387917,0.86,223.66501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,00:00:00,2,123.0,123.0,0.0,123.0,0.0,48.97049,0.44500002,244.16501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,01:00:00,2,77.0,77.0,0.0,77.0,0.0,52.2713,0.19000001,247.91501
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,02:00:00,2,34.0,34.0,0.0,34.0,0.0,49.706764,0.1,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,03:00:00,2,34.0,35.0,2.0,32.0,0.0,52.177647,0.099999994,249.58499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,04:00:00,2,27.0,27.0,0.0,27.0,0.0,52.854443,0.06,250.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,05:00:00,2,27.0,27.5,1.0,26.0,0.0,47.596664,0.09,249.58499
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,06:00:00,2,73.0,73.5,1.0,72.0,0.0,49.716576,0.235,246.0
VTXQL00,堤頂大道二段489-501號中間空地前,往南,2016-11-16,07:00:00,2,194.0,195.0,2.0,192.0,0.0,51.208145,0.775,225.20999
