EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6120C0,市民麥二,正向放置,2016-11-14,00:00:00,2,818.0,899.99994,134.0,684.0,0.0,41.286087,3.9499998,93.75
V6120C0,市民麥二,正向放置,2016-11-14,01:00:00,2,573.0,613.5,81.0,492.0,0.0,41.716545,2.01,125.78
V6120C0,市民麥二,正向放置,2016-11-14,02:00:00,2,329.0,354.0,50.0,279.0,0.0,42.81006,1.185,146.98
V6120C0,市民麥二,正向放置,2016-11-14,03:00:00,2,227.0,243.0,32.0,195.0,0.0,43.032864,0.65,141.75
V6120C0,市民麥二,正向放置,2016-11-14,04:00:00,2,194.0,208.5,29.0,165.0,0.0,42.66526,0.56,129.525
V6120C0,市民麥二,正向放置,2016-11-14,05:00:00,2,193.0,208.5,31.0,162.0,0.0,43.121555,0.575,142.14
V6120C0,市民麥二,正向放置,2016-11-14,06:00:00,2,333.0,352.0,38.0,295.0,0.0,43.14351,1.05,130.55
V6120C0,市民麥二,正向放置,2016-11-14,07:00:00,2,804.0,820.5,32.0,752.0,0.0,53.16992,1.97,104.67
V6120C0,市民麥二,正向放置,2016-11-14,08:00:00,2,1956.0,2007.0677,66.0,1875.0,-1.0,49.151184,5.79,40.265
V6120C0,市民麥二,正向放置,2016-11-14,09:00:00,2,2250.0,2302.2456,67.0,2183.0,0.0,45.408264,7.38,32.525
V6120C0,市民麥二,正向放置,2016-11-14,10:00:00,2,1952.0,1989.5,75.0,1870.0,0.0,47.771255,5.74,39.96
V6120C0,市民麥二,正向放置,2016-11-14,11:00:00,2,1729.0,1776.2711,58.0,1671.0,0.0,47.10453,5.165,46.525
V6120C0,市民麥二,正向放置,2016-11-14,12:00:00,2,1557.0,1594.5,75.0,1482.0,0.0,46.08785,5.065,52.885002
V6120C0,市民麥二,正向放置,2016-11-14,13:00:00,2,1530.0,1563.5,65.0,1441.0,0.0,45.9566,5.46,56.6
V6120C0,市民麥二,正向放置,2016-11-14,14:00:00,2,1619.0,1689.0906,53.0,1522.0,0.0,47.544212,5.0299997,49.69
V6120C0,市民麥二,正向放置,2016-11-14,15:00:00,2,1701.0,1796.3247,62.0,1639.0,0.0,48.040123,5.23,44.46
V6120C0,市民麥二,正向放置,2016-11-14,16:00:00,2,1878.0,1900.0,44.0,1814.0,0.0,46.009956,6.49,42.85
V6120C0,市民麥二,正向放置,2016-11-14,17:00:00,2,1902.0,1945.9237,49.0,1831.0,0.0,42.14157,6.8199997,41.63
V6120C0,市民麥二,正向放置,2016-11-14,18:00:00,2,1828.0,2199.3882,615.0,1177.0,-1.0,35.41995,24.990002,50.84
