EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6330G7,經貿舊宗,正向放置,2016-11-14,00:00:00,2,547.0,550.5,7.0,540.0,0.0,64.20726,1.565,160.125
V6330G7,經貿舊宗,正向放置,2016-11-14,01:00:00,2,395.0,397.5,5.0,390.0,0.0,64.21613,1.05,187.93
V6330G7,經貿舊宗,正向放置,2016-11-14,02:00:00,2,181.0,181.0,0.0,181.0,0.0,63.95884,0.42499998,231.0
V6330G7,經貿舊宗,正向放置,2016-11-14,03:00:00,2,112.0,112.0,0.0,112.0,0.0,64.37697,0.19,242.92
V6330G7,經貿舊宗,正向放置,2016-11-14,04:00:00,2,98.0,98.5,1.0,97.0,0.0,63.645508,0.2,240.83
V6330G7,經貿舊宗,正向放置,2016-11-14,05:00:00,2,120.0,121.0,2.0,118.0,0.0,64.373665,0.275,242.41501
V6330G7,經貿舊宗,正向放置,2016-11-14,06:00:00,2,235.0,241.0,12.0,223.0,0.0,63.603405,0.71,221.91501
V6330G7,經貿舊宗,正向放置,2016-11-14,07:00:00,2,954.0,960.5,13.0,941.0,0.0,65.46679,2.61,110.895004
V6330G7,經貿舊宗,正向放置,2016-11-14,08:00:00,2,2928.0,2937.0,18.0,2910.0,0.0,63.319405,8.415,27.58
V6330G7,經貿舊宗,正向放置,2016-11-14,09:00:00,2,2646.0,2668.0,44.0,2602.0,0.0,55.0702,10.495,30.71
V6330G7,經貿舊宗,正向放置,2016-11-14,10:00:00,2,1633.0,1637.5,9.0,1624.0,0.0,64.01141,4.565,55.225
V6330G7,經貿舊宗,正向放置,2016-11-14,11:00:00,2,1398.0,1405.5,15.0,1383.0,0.0,64.34236,3.935,65.275
V6330G7,經貿舊宗,正向放置,2016-11-14,12:00:00,2,1257.0,1264.0,14.0,1243.0,0.0,65.040794,3.475,76.815
V6330G7,經貿舊宗,正向放置,2016-11-14,13:00:00,2,1188.0,1192.5,9.0,1179.0,0.0,65.12216,3.1999998,82.185
