EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,00:00:00,2,392.0,394.0,4.0,388.0,0.0,59.74015,0.975,185.98999
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,01:00:00,2,244.0,244.0,0.0,244.0,0.0,61.28918,0.51,219.225
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,02:00:00,2,165.0,165.5,1.0,164.0,0.0,61.41273,0.31,232.45999
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,03:00:00,2,79.0,79.0,0.0,79.0,0.0,60.776077,0.115,246.67
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,04:00:00,2,63.0,63.0,0.0,63.0,0.0,60.287304,0.085,245.41501
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,05:00:00,2,81.0,81.5,1.0,80.0,0.0,59.29679,0.15,247.08499
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,06:00:00,2,196.0,200.5,9.0,187.0,0.0,56.003876,0.61,230.25
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,07:00:00,2,850.0,872.0,44.0,796.0,0.0,53.61623,3.4,117.395004
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,08:00:00,2,2043.0,2090.5,95.0,1948.0,0.0,45.260265,16.045,44.559998
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,09:00:00,2,2050.0,2112.5,125.0,1916.0,0.0,42.119663,20.89,59.285
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,10:00:00,2,1829.0,1875.5,93.0,1736.0,0.0,46.363518,12.975,46.265
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,11:00:00,2,1801.0,1830.5,59.0,1742.0,0.0,51.06335,8.205,44.425
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,12:00:00,2,1926.0,1971.5,91.0,1835.0,0.0,49.671917,10.025,40.66
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,13:00:00,2,1927.0,1969.0,84.0,1843.0,0.0,49.836052,9.605,41.155
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,14:00:00,2,1979.0,2034.5,111.0,1868.0,0.0,48.456314,11.68,41.355003
V6380E0,正氣橋接基隆路出口,正向放置,2016-11-14,15:00:00,2,1939.0,1982.5,87.0,1852.0,0.0,49.0387,10.6,41.989998
