EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,00:00:00,5,439.0,448.0,18.0,421.0,0.0,52.615925,0.834,223.21802
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,01:00:00,5,272.0,273.5,3.0,269.0,0.0,56.16195,0.45,236.884
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,02:00:00,5,143.0,145.5,5.0,138.0,0.0,56.68615,0.25,246.432
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,03:00:00,5,89.0,91.5,5.0,84.0,0.0,57.632923,0.15,248.444
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,04:00:00,5,64.0,65.5,3.0,61.0,0.0,60.467342,0.088,249.48001
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,05:00:00,5,113.0,115.0,4.0,109.0,0.0,57.73443,0.17999999,245.99399
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,06:00:00,5,208.0,212.5,9.0,199.0,0.0,61.111057,0.332,240.26602
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,07:00:00,5,738.0,749.0,22.0,716.0,0.0,55.99873,1.282,210.31001
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,08:00:00,5,1703.0,1722.0,38.0,1665.0,0.0,46.861454,3.5760002,176.12999
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,09:00:00,5,1921.0,1940.0,38.0,1883.0,0.0,41.639744,6.066,164.094
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,10:00:00,5,1439.0,1458.0,38.0,1401.0,0.0,47.520927,2.996,178.78401
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,11:00:00,5,1127.0,1142.0,30.0,1097.0,0.0,48.7895,2.238,189.29599
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,12:00:00,5,1221.0,1241.5,41.0,1180.0,0.0,48.85786,2.4439998,185.344
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,13:00:00,5,1127.0,1149.5,45.0,1082.0,0.0,48.73594,2.2940001,184.63399
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,14:00:00,5,1249.0,1263.5,29.0,1220.0,0.0,49.091663,2.438,184.374
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,15:00:00,5,1414.0,1463.8983,51.0,1363.0,0.0,45.51493,3.7559998,176.25801
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,16:00:00,5,1265.0,1286.0,42.0,1223.0,0.0,50.099586,2.5100002,181.164
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,17:00:00,5,1346.0,1362.5,33.0,1313.0,0.0,49.311665,2.638,181.39
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,18:00:00,5,1330.0,1347.0,34.0,1296.0,0.0,47.425453,2.7479997,183.95801
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,19:00:00,5,1277.0,1342.7587,42.0,1235.0,0.0,44.14576,7.9740005,170.26001
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,20:00:00,5,1064.0,1085.0,42.0,1022.0,0.0,50.654743,12.468,163.976
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,21:00:00,5,1022.0,1037.5,31.0,991.0,0.0,50.94243,1.952,189.99199
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,22:00:00,5,975.0,994.0,38.0,937.0,0.0,51.834755,1.8579998,192.694
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-14,23:00:00,5,758.0,770.0,24.0,734.0,0.0,52.851803,1.462,202.782
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,00:00:00,5,444.0,451.5,15.0,429.0,0.0,54.449932,0.82,221.7
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,01:00:00,5,284.0,289.0,10.0,274.0,0.0,56.436935,0.49400002,235.144
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,02:00:00,5,189.0,189.0,0.0,189.0,0.0,56.92603,0.28399998,243.51799
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,03:00:00,5,119.0,120.5,3.0,116.0,0.0,57.752857,0.182,247.1
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,04:00:00,5,102.0,103.0,2.0,100.0,0.0,55.462646,0.16800001,247.908
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,05:00:00,5,112.0,115.0,6.0,106.0,0.0,57.46393,0.182,247.56601
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,06:00:00,5,230.0,233.5,7.0,223.0,0.0,59.168392,0.37,238.79399
VI9QP10,基隆路-松壽 往北,正向放置,2016-11-15,07:00:00,5,722.0,737.0,30.0,692.0,0.0,55.04989,1.288,211.36398
