EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,00:00:00,2,215.0,218.5,7.0,208.0,0.0,45.18949,1.275,227.2
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,01:00:00,2,154.0,154.5,1.0,153.0,0.0,47.894157,0.74,239.085
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,02:00:00,2,95.0,95.5,1.0,94.0,0.0,49.936314,0.47500002,243.88501
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,03:00:00,2,41.0,41.5,1.0,40.0,0.0,50.072437,0.22,249.14
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,04:00:00,2,42.0,43.5,3.0,39.0,0.0,49.309525,0.225,250.0
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,05:00:00,2,42.0,43.0,2.0,40.0,0.0,48.976665,0.225,249.56
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,06:00:00,2,58.0,65.0,14.0,44.0,0.0,46.171722,0.435,248.565
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,07:00:00,2,237.0,252.0,30.0,207.0,0.0,46.631355,1.55,217.71
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,08:00:00,2,661.0,676.5,31.0,630.0,0.0,40.78942,5.885,146.29999
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,09:00:00,2,1025.0,1043.0,36.0,989.0,0.0,38.729992,11.0,102.865005
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,10:00:00,2,763.0,927.05884,50.0,713.0,0.0,34.445976,16.635,75.285
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,11:00:00,2,876.0,914.23724,46.0,830.0,0.0,36.29476,14.3,98.61
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,12:00:00,2,999.0,1060.0345,52.0,938.0,0.0,33.052002,22.105,72.785
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,13:00:00,2,951.0,1019.11975,52.0,899.0,0.0,33.126026,21.515,83.06
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,14:00:00,2,987.0,1032.2034,56.0,931.0,0.0,33.00687,18.865,90.43
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,15:00:00,2,984.0,1107.2727,62.0,922.0,0.0,30.789022,32.435,71.53
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,16:00:00,2,887.0,950.6897,64.0,823.0,0.0,29.683607,21.105,86.515
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,17:00:00,2,345.0,916.95654,13.0,332.0,0.0,31.448727,24.225,79.695
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,18:00:00,2,202.0,1030.0,8.0,194.0,0.0,31.727425,14.25,83.630005
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,19:00:00,2,873.0,957.3214,41.0,832.0,0.0,31.747194,21.005001,86.095
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,20:00:00,2,858.0,870.5,25.0,833.0,0.0,35.41,12.815001,104.399994
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,21:00:00,2,574.0,587.0,26.0,548.0,0.0,39.269108,5.275,144.61
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,22:00:00,2,523.0,534.0,22.0,501.0,0.0,39.94847,3.7250001,159.95
VIKQU50,基隆路-松高 往南,正向放置,2016-11-14,23:00:00,2,358.0,366.5,17.0,341.0,0.0,42.678604,2.775,190.265
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,00:00:00,2,198.0,202.0,8.0,190.0,0.0,44.488785,1.135,224.615
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,01:00:00,2,115.0,117.0,4.0,111.0,0.0,48.69539,0.57,240.75
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,02:00:00,2,86.0,88.0,4.0,82.0,0.0,50.024414,0.45999998,246.51001
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,03:00:00,2,40.0,40.5,1.0,39.0,0.0,50.174,0.195,249.11499
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,04:00:00,2,21.0,22.0,2.0,19.0,0.0,48.096664,0.114999995,250.0
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,05:00:00,2,56.0,57.0,2.0,54.0,0.0,45.425716,0.34,248.175
VIKQU50,基隆路-松高 往南,正向放置,2016-11-15,06:00:00,2,79.0,85.5,13.0,66.0,0.0,46.268482,0.575,248.6
