EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,00:00:00,2,383.0,383.0,0.0,383.0,0.0,76.44546,1.05,186.795
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,01:00:00,2,241.0,241.0,0.0,241.0,0.0,79.33448,0.66499996,220.58499
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,02:00:00,2,144.0,144.5,1.0,143.0,0.0,79.83,0.35,240.345
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,03:00:00,2,89.0,89.0,0.0,89.0,0.0,81.31225,0.21,245.215
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,04:00:00,2,69.0,69.5,1.0,68.0,0.0,78.18522,0.085,248.70001
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,05:00:00,2,71.0,73.0,4.0,67.0,0.0,80.5793,0.2,246.565
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,06:00:00,2,133.0,133.5,1.0,132.0,0.0,79.48721,0.305,240.015
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,07:00:00,2,470.0,473.0,6.0,464.0,0.0,75.84404,1.325,172.65
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,08:00:00,2,1034.0,1034.5,1.0,1033.0,0.0,71.97769,3.075,94.235
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,09:00:00,2,1148.0,1154.0,12.0,1096.0,0.0,70.064995,3.5149999,82.274994
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,10:00:00,2,570.0,618.23236,18.0,553.0,-1.0,67.671524,23.48,101.13
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,11:00:00,2,443.0,459.31036,2.0,441.0,0.0,67.10348,22.005,120.244995
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,12:00:00,2,510.0,510.0,0.0,510.0,0.0,68.08,1.625,166.215
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,13:00:00,2,482.0,482.0,0.0,482.0,0.0,67.0,1.55,171.19
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,14:00:00,2,487.0,487.0,0.0,487.0,0.0,65.24,1.565,168.95
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,15:00:00,2,492.0,500.33896,0.0,492.0,0.0,65.14,1.655,169.055
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,16:00:00,2,559.0,559.0,0.0,559.0,0.0,65.46,1.835,164.7
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,17:00:00,2,516.0,516.0,0.0,516.0,0.0,65.79,1.69,166.01
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,18:00:00,2,580.0,580.0,0.0,580.0,0.0,66.5124,4.475,156.695
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,19:00:00,2,515.0,561.8636,0.0,510.0,0.0,66.13,51.805,36.815
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,20:00:00,2,533.0,553.4628,4.0,526.0,0.0,66.975945,44.7,60.26
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,21:00:00,2,466.0,491.21597,16.0,450.0,0.0,68.228714,20.54,127.034996
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,22:00:00,2,611.0,638.5,55.0,556.0,0.0,70.87681,4.575,143.16501
VJERC51,基隆路-忠孝東 往南,正向放置,2016-11-14,23:00:00,2,537.0,551.0,28.0,509.0,0.0,71.50017,2.025,160.15
