EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,00:00:00,2,478.0,482.5,9.0,469.0,0.0,70.662155,1.585,175.535
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,01:00:00,2,287.0,288.0,2.0,285.0,0.0,74.77415,0.82000005,209.66
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,02:00:00,2,156.0,158.5,5.0,151.0,0.0,77.39282,0.44,232.15
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,03:00:00,2,105.0,107.0,4.0,101.0,0.0,76.16914,0.275,243.55
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,04:00:00,2,83.0,85.0,4.0,79.0,0.0,79.48506,0.19999999,245.66501
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,05:00:00,2,115.0,117.5,5.0,110.0,0.0,75.09165,0.385,239.875
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,06:00:00,2,215.0,220.5,11.0,204.0,0.0,76.59842,0.685,222.3
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,07:00:00,2,647.0,658.0,22.0,625.0,0.0,60.913754,2.83,161.005
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,08:00:00,2,1379.0,1391.0,24.0,1355.0,0.0,40.300095,10.8949995,107.625
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,09:00:00,2,1466.0,1475.0,18.0,1448.0,0.0,36.55681,13.865,92.299995
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,10:00:00,2,1211.0,1225.5,29.0,1182.0,0.0,47.250885,8.025001,113.065
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,11:00:00,2,1164.0,1175.5,23.0,1141.0,0.0,48.176857,8.45,108.8
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,12:00:00,2,1183.0,1204.0,42.0,1141.0,0.0,44.96367,9.11,97.575
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,13:00:00,2,1053.0,1071.5,37.0,1016.0,0.0,54.989227,5.335,106.36
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,14:00:00,2,1208.0,1223.5,31.0,1177.0,0.0,47.975597,8.29,101.204994
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,15:00:00,2,1241.0,1281.8644,39.0,1202.0,0.0,35.83544,15.82,97.39
VJVRL11,基隆路-松隆路 往北,正向放置,2016-11-14,16:00:00,2,1223.0,1261.5254,35.0,1188.0,0.0,32.85874,14.72,103.755005
