EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,00:00:00,2,331.0,347.5,33.0,298.0,0.0,37.4374,1.625,112.885
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,01:00:00,2,215.0,225.0,20.0,195.0,0.0,36.422325,1.0899999,106.815
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,02:00:00,2,129.0,136.0,14.0,115.0,0.0,37.135815,0.56,92.65
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,03:00:00,2,85.0,88.5,7.0,78.0,0.0,33.974236,0.4,87.76
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,04:00:00,2,62.0,65.0,6.0,56.0,0.0,34.197098,0.275,72.65
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,05:00:00,2,64.0,68.5,9.0,55.0,0.0,33.214222,0.39,74.630005
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,06:00:00,2,95.0,99.5,9.0,86.0,0.0,31.06116,0.58,89.33
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,07:00:00,2,195.0,222.0,48.0,134.0,0.0,40.861485,1.255,121.99
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,08:00:00,2,720.0,807.22034,156.0,564.0,-1.0,42.785282,6.14,99.905
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,09:00:00,2,802.0,896.14404,174.0,628.0,0.0,43.379574,5.815,97.765
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,10:00:00,2,818.0,830.0,24.0,794.0,0.0,40.79293,4.76,78.735
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,11:00:00,2,612.0,622.5,21.0,591.0,0.0,42.59954,3.565,97.6
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,12:00:00,2,116.0,120.0,8.0,108.0,0.0,33.173016,0.5,36.3
VTHRR20,內湖路(基湖路-港墘路)-西湖捷運站2號出口前路燈桿(TC箱旁),未指定,2016-11-14,13:00:00,2,496.0,525.0,58.0,438.0,0.0,43.82942,3.745,88.81
