EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,00:00:00,2,194.0,212.0,36.0,158.0,0.0,46.529175,0.675,120.675
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,01:00:00,2,113.0,124.5,23.0,90.0,0.0,45.739822,0.43,87.715
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,02:00:00,2,74.0,82.0,16.0,58.0,0.0,46.353786,0.24000001,79.5
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,03:00:00,2,68.0,74.5,13.0,55.0,0.0,43.23235,0.235,75.935
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,04:00:00,2,48.0,51.0,6.0,42.0,0.0,41.581875,0.165,50.225002
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,05:00:00,2,39.0,44.5,11.0,28.0,0.0,45.869488,0.145,52.754997
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,06:00:00,2,120.0,144.73685,35.0,85.0,0.0,45.176003,0.53000003,107.065
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,07:00:00,2,320.0,360.0,80.0,240.0,0.0,45.312874,2.0749998,136.88501
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,08:00:00,2,614.0,670.0,112.0,502.0,0.0,42.428307,4.205,108.04
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,09:00:00,2,572.0,658.0,172.0,400.0,0.0,39.14738,6.75,59.614998
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,10:00:00,2,573.0,604.5,63.0,509.0,0.0,40.502342,4.075,91.315
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,11:00:00,2,441.0,480.01694,61.0,381.0,-1.0,40.889935,2.7800002,87.84
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,12:00:00,2,526.0,553.5,55.0,471.0,0.0,42.041447,3.23,116.905
VTYXQ60,成功路(金龍路-康湖路)-成功路4段294巷口路燈桿(捷運柱號0611)(已附掛市警局CCTV),未指定,2016-11-14,13:00:00,2,478.0,504.5,53.0,425.0,0.0,40.384098,3.5349998,106.955
