EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
V2311G0,敦化南路上匝道,西,2016-11-14,00:00:00,1,29.0,29.0,0.0,29.0,0.0,37.1,0.37,246.53
V2311G0,敦化南路上匝道,西,2016-11-14,01:00:00,1,25.0,25.0,0.0,25.0,0.0,38.8,0.3,247.77
V2311G0,敦化南路上匝道,西,2016-11-14,02:00:00,1,26.0,26.0,0.0,26.0,0.0,42.88,0.32,249.1
V2311G0,敦化南路上匝道,西,2016-11-14,03:00:00,1,18.0,18.0,0.0,18.0,0.0,42.95,0.22,248.22
V2311G0,敦化南路上匝道,西,2016-11-14,04:00:00,1,1.0,1.0,0.0,1.0,0.0,40.0,0.02,250.0
V2311G0,敦化南路上匝道,西,2016-11-14,05:00:00,1,5.0,5.0,0.0,5.0,0.0,37.8,0.08,250.0
V2311G0,敦化南路上匝道,西,2016-11-14,06:00:00,1,15.0,15.0,0.0,15.0,0.0,45.2,0.2,250.0
V2311G0,敦化南路上匝道,西,2016-11-14,07:00:00,1,47.0,47.0,0.0,47.0,0.0,40.25,0.6,245.25
V2311G0,敦化南路上匝道,西,2016-11-14,08:00:00,1,93.0,93.0,0.0,93.0,0.0,33.04,2.52,223.6
V2311G0,敦化南路上匝道,西,2016-11-14,09:00:00,1,84.0,84.0,0.0,84.0,0.0,31.33,2.4,233.22
V2311G0,敦化南路上匝道,西,2016-11-14,10:00:00,1,114.0,114.0,0.0,114.0,0.0,36.7,1.38,216.65
V2311G0,敦化南路上匝道,西,2016-11-14,11:00:00,1,120.0,120.0,0.0,120.0,0.0,37.85,1.42,212.85
V2311G0,敦化南路上匝道,西,2016-11-14,12:00:00,1,144.0,144.0,0.0,144.0,0.0,37.66,1.67,202.5
V2311G0,敦化南路上匝道,西,2016-11-14,13:00:00,1,113.0,113.0,0.0,113.0,0.0,36.98,1.32,218.2
V2311G0,敦化南路上匝道,西,2016-11-14,14:00:00,1,124.0,124.0,0.0,124.0,0.0,36.03,1.52,208.78
V2311G0,敦化南路上匝道,西,2016-11-14,15:00:00,1,158.0,158.0,0.0,158.0,0.0,34.34,1.97,193.35
V2311G0,敦化南路上匝道,西,2016-11-14,16:00:00,1,189.0,189.0,0.0,189.0,0.0,35.17,2.35,188.67
V2311G0,敦化南路上匝道,西,2016-11-14,17:00:00,1,183.0,183.0,0.0,183.0,0.0,35.87,2.2,191.9
V2311G0,敦化南路上匝道,西,2016-11-14,18:00:00,1,226.0,226.0,0.0,226.0,0.0,32.16,3.1,175.07
V2311G0,敦化南路上匝道,西,2016-11-14,19:00:00,1,262.0,262.0,0.0,262.0,0.0,29.51,3.92,165.18
V2311G0,敦化南路上匝道,西,2016-11-14,20:00:00,1,192.0,192.0,0.0,192.0,0.0,33.1,2.5,185.78
