EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSEMV60,明水路417號前,往西,2016-11-14,00:00:00,1,136.0,138.81355,1.0,135.0,0.0,66.01,1.43,0.0
VSEMV60,明水路417號前,往西,2016-11-14,01:00:00,1,85.0,87.45763,2.0,83.0,0.0,65.93,0.93,0.0
VSEMV60,明水路417號前,往西,2016-11-14,02:00:00,1,44.0,45.254234,1.0,43.0,0.0,63.46,0.61,0.0
VSEMV60,明水路417號前,往西,2016-11-14,03:00:00,1,30.0,30.508474,0.0,30.0,0.0,68.83,0.42,0.0
VSEMV60,明水路417號前,往西,2016-11-14,04:00:00,1,23.0,23.898304,1.0,22.0,0.0,73.26,0.18,0.0
VSEMV60,明水路417號前,往西,2016-11-14,05:00:00,1,26.0,26.440678,0.0,26.0,0.0,64.31,0.39,0.0
VSEMV60,明水路417號前,往西,2016-11-14,06:00:00,1,39.0,39.661015,0.0,39.0,0.0,59.54,0.5,0.0
VSEMV60,明水路417號前,往西,2016-11-14,07:00:00,1,154.0,157.11864,1.0,153.0,0.0,65.33,1.57,0.0
VSEMV60,明水路417號前,往西,2016-11-14,08:00:00,1,600.0,614.7457,9.0,591.0,0.0,55.8,6.89,0.0
VSEMV60,明水路417號前,往西,2016-11-14,09:00:00,1,988.0,1077.3684,71.0,917.0,0.0,41.85,17.07,0.0
VSEMV60,明水路417號前,往西,2016-11-14,10:00:00,1,664.0,682.37286,14.0,650.0,0.0,56.6,7.57,0.0
VSEMV60,明水路417號前,往西,2016-11-14,11:00:00,1,413.0,443.5714,2.0,411.0,0.0,60.19,4.5,0.0
VSEMV60,明水路417號前,往西,2016-11-14,12:00:00,1,438.0,447.9661,5.0,433.0,0.0,59.05,4.77,0.0
VSEMV60,明水路417號前,往西,2016-11-14,13:00:00,1,406.0,417.4576,9.0,397.0,0.0,59.43,4.4,0.0
VSEMV60,明水路417號前,往西,2016-11-14,14:00:00,1,441.0,450.0,3.0,438.0,0.0,57.27,4.81,0.0
VSEMV60,明水路417號前,往西,2016-11-14,15:00:00,1,485.0,503.27588,3.0,482.0,0.0,58.89,5.17,0.0
VSEMV60,明水路417號前,往西,2016-11-14,16:00:00,1,496.0,505.9322,3.0,493.0,0.0,58.14,5.35,0.0
VSEMV60,明水路417號前,往西,2016-11-14,17:00:00,1,476.0,485.08475,2.0,474.0,0.0,56.5,5.26,0.0
VSEMV60,明水路417號前,往西,2016-11-14,18:00:00,1,498.0,507.9661,3.0,495.0,0.0,54.85,5.76,0.0
VSEMV60,明水路417號前,往西,2016-11-14,19:00:00,1,542.0,554.7457,7.0,535.0,0.0,52.02,6.67,0.0
VSEMV60,明水路417號前,往西,2016-11-14,20:00:00,1,380.0,387.4576,2.0,378.0,0.0,57.55,4.15,0.0
VSEMV60,明水路417號前,往西,2016-11-14,21:00:00,1,314.0,320.84744,3.0,311.0,0.0,58.59,3.39,0.0
VSEMV60,明水路417號前,往西,2016-11-14,22:00:00,1,360.0,366.61017,1.0,359.0,0.0,59.35,3.71,0.0
VSEMV60,明水路417號前,往西,2016-11-14,23:00:00,1,237.0,242.54237,3.0,234.0,0.0,58.12,2.63,0.0
VSEMV60,明水路417號前,往西,2016-11-15,00:00:00,1,114.0,116.440674,1.0,113.0,0.0,66.55,1.2,0.0
VSEMV60,明水路417號前,往西,2016-11-15,01:00:00,1,63.0,64.067795,0.0,63.0,0.0,69.43,0.7,0.0
VSEMV60,明水路417號前,往西,2016-11-15,02:00:00,1,47.0,47.796608,0.0,47.0,0.0,68.15,0.59,0.0
VSEMV60,明水路417號前,往西,2016-11-15,03:00:00,1,24.0,25.423729,2.0,22.0,0.0,66.0,0.34,0.0
VSEMV60,明水路417號前,往西,2016-11-15,04:00:00,1,25.0,25.423729,0.0,25.0,0.0,70.72,0.34,0.0
VSEMV60,明水路417號前,往西,2016-11-15,05:00:00,1,20.0,20.338982,0.0,20.0,0.0,72.4,0.22,0.0
VSEMV60,明水路417號前,往西,2016-11-15,06:00:00,1,48.0,49.322033,1.0,47.0,0.0,60.960003,0.66,0.0
VSEMV60,明水路417號前,往西,2016-11-15,07:00:00,1,140.0,143.38983,2.0,138.0,0.0,64.38,1.53,0.0
VSEMV60,明水路417號前,往西,2016-11-15,08:00:00,1,597.0,608.13556,2.0,595.0,0.0,57.110004,6.51,0.0
VSEMV60,明水路417號前,往西,2016-11-15,09:00:00,1,1104.0,1162.8813,79.0,1025.0,0.0,42.17,18.38,0.0
VSEMV60,明水路417號前,往西,2016-11-15,10:00:00,1,737.0,754.06775,9.0,728.0,0.0,55.590004,8.3,0.0
VSEMV60,明水路417號前,往西,2016-11-15,11:00:00,1,488.0,517.3684,7.0,481.0,0.0,58.79,5.35,0.0
VSEMV60,明水路417號前,往西,2016-11-15,12:00:00,1,493.0,513.6207,7.0,486.0,0.0,58.96,5.34,0.0
VSEMV60,明水路417號前,往西,2016-11-15,13:00:00,1,481.0,490.67795,3.0,478.0,0.0,60.55,4.98,0.0
VSEMV60,明水路417號前,往西,2016-11-15,14:00:00,1,465.0,473.8983,2.0,463.0,0.0,60.08,4.87,0.0
VSEMV60,明水路417號前,往西,2016-11-15,15:00:00,1,506.0,516.61017,4.0,502.0,0.0,57.45,5.53,0.0
VSEMV60,明水路417號前,往西,2016-11-15,16:00:00,1,446.0,456.10168,5.0,441.0,0.0,59.05,4.76,0.0
