EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,00:00:00,2,284.0,284.0,0.0,284.0,0.0,55.726128,0.875,207.34
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,01:00:00,2,212.0,212.5,1.0,211.0,0.0,55.96651,0.61,223.70999
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,02:00:00,2,104.0,104.0,0.0,104.0,0.0,56.644516,0.245,245.58
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,03:00:00,2,48.0,48.0,0.0,48.0,0.0,56.183125,0.074999996,249.16501
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,04:00:00,2,45.0,45.0,0.0,45.0,0.0,56.620667,0.06,249.58499
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,05:00:00,2,60.0,60.5,1.0,59.0,0.0,59.0675,0.075,249.58499
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,06:00:00,2,106.0,106.0,0.0,106.0,0.0,55.218113,0.29000002,242.5
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,07:00:00,2,545.0,547.5,5.0,540.0,0.0,54.806202,1.8299999,169.515
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,08:00:00,2,1236.0,1265.5,59.0,1177.0,0.0,46.93345,6.785,116.185
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,09:00:00,2,1201.0,1209.0,16.0,1185.0,0.0,52.95943,4.74,111.240005
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,10:00:00,2,1088.0,1094.0,12.0,1076.0,0.0,53.59397,3.8999999,111.354996
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,11:00:00,2,938.0,952.5,29.0,909.0,0.0,50.367016,4.375,135.79
VSGRX60,堤頂大道二段177號前,往西,2016-11-14,12:00:00,2,1116.0,1136.5,41.0,1075.0,0.0,48.264175,5.45,130.11
