EQIPnumber,location,direct,YMD,hour,laneNumber,                    addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VSQYA00,金湖路268號前,往西,2016-11-14,00:00:00,1,82.0,84.0,4.0,78.0,0.0,33.99,0.88,0.0
VSQYA00,金湖路268號前,往西,2016-11-14,01:00:00,1,59.0,59.0,0.0,59.0,0.0,27.15,0.65,0.0
VSQYA00,金湖路268號前,往西,2016-11-14,02:00:00,1,28.0,29.5,3.0,25.0,0.0,22.75,0.35,0.0
VSQYA00,金湖路268號前,往西,2016-11-14,03:00:00,1,16.0,16.0,0.0,16.0,0.0,8.19,0.25,0.02
VSQYA00,金湖路268號前,往西,2016-11-14,04:00:00,1,10.0,10.0,0.0,10.0,0.0,16.9,0.13,0.0
VSQYA00,金湖路268號前,往西,2016-11-14,05:00:00,1,14.0,14.0,0.0,14.0,0.0,13.22,0.22,0.0
VSQYA00,金湖路268號前,往西,2016-11-14,06:00:00,1,46.0,48.5,5.0,41.0,0.0,18.74,0.57,0.03
VSQYA00,金湖路268號前,往西,2016-11-14,07:00:00,1,192.0,203.5,23.0,169.0,0.0,48.73,2.12,0.08
VSQYA00,金湖路268號前,往西,2016-11-14,08:00:00,1,442.0,455.5,27.0,415.0,0.0,43.22,4.82,0.17
VSQYA00,金湖路268號前,往西,2016-11-14,09:00:00,1,461.0,474.5,27.0,434.0,0.0,42.66,5.18,0.1
VSQYA00,金湖路268號前,往西,2016-11-14,10:00:00,1,369.0,377.0,16.0,353.0,0.0,42.4,3.95,0.13
VSQYA00,金湖路268號前,往西,2016-11-14,11:00:00,1,287.0,295.0,16.0,271.0,0.0,36.52,3.33,0.08
VSQYA00,金湖路268號前,往西,2016-11-14,12:00:00,1,253.0,259.5,13.0,240.0,0.0,42.2,2.78,0.03
VSQYA00,金湖路268號前,往西,2016-11-14,13:00:00,1,264.0,270.5,13.0,251.0,0.0,42.56,2.62,0.1
VSQYA00,金湖路268號前,往西,2016-11-14,14:00:00,1,242.0,249.5,15.0,227.0,0.0,44.55,2.57,0.1
VSQYA00,金湖路268號前,往西,2016-11-14,15:00:00,1,257.0,269.49152,16.0,241.0,0.0,38.4,2.68,0.08
VSQYA00,金湖路268號前,往西,2016-11-14,16:00:00,1,317.0,327.0,20.0,297.0,0.0,45.66,3.23,0.08
VSQYA00,金湖路268號前,往西,2016-11-14,17:00:00,1,364.0,373.0,18.0,346.0,0.0,40.69,4.12,0.18
VSQYA00,金湖路268號前,往西,2016-11-14,18:00:00,1,380.0,393.0,26.0,354.0,0.0,42.49,4.35,0.18
VSQYA00,金湖路268號前,往西,2016-11-14,19:00:00,1,381.0,403.9655,19.0,362.0,0.0,42.93,4.19,0.15
VSQYA00,金湖路268號前,往西,2016-11-14,20:00:00,1,340.0,347.0,14.0,326.0,0.0,39.07,3.73,0.08
VSQYA00,金湖路268號前,往西,2016-11-14,21:00:00,1,263.0,268.0,10.0,253.0,0.0,39.79,2.48,0.02
VSQYA00,金湖路268號前,往西,2016-11-14,22:00:00,1,239.0,243.5,9.0,230.0,0.0,38.88,2.47,0.02
VSQYA00,金湖路268號前,往西,2016-11-14,23:00:00,1,159.0,162.5,7.0,152.0,0.0,40.49,1.58,0.02
VSQYA00,金湖路268號前,往西,2016-11-15,00:00:00,1,108.0,110.5,5.0,103.0,0.0,37.12,1.05,0.0
VSQYA00,金湖路268號前,往西,2016-11-15,01:00:00,1,57.0,57.0,0.0,57.0,0.0,34.16,0.58,0.02
