"VD編號","道路","位置","方向","星期","時段","預測當量","塞車機率"
"VM8PX60","健康路","健康路305號前","E","0","a",2782,"0.82"
"VM8PX60","健康路","健康路305號前","E","0","p",3482,"0.99"
"VM8PX60","健康路","健康路305號前","E","1","a",2768,"0.88"
"VM8PX60","健康路","健康路305號前","E","1","p",3478,"0.99"
"VM8PX60","健康路","健康路305號前","E","2","a",3030,"0.92"
"VM8PX60","健康路","健康路305號前","E","2","p",3627,"0.98"
"VM8PX60","健康路","健康路305號前","E","3","a",2727,"0.88"
"VM8PX60","健康路","健康路305號前","E","3","p",3403,"0.97"
"VM8PX60","健康路","健康路305號前","E","4","a",2756,"0.87"
"VM8PX60","健康路","健康路305號前","E","4","p",3572,"0.99"
"VM8PX60","健康路","健康路305號前","W","0","a",2275,"0.86"
"VM8PX60","健康路","健康路305號前","W","0","p",2305,"0.99"
"VM8PX60","健康路","健康路305號前","W","1","a",2434,"0.94"
"VM8PX60","健康路","健康路305號前","W","1","p",2391,"1"
"VM8PX60","健康路","健康路305號前","W","2","a",2389,"1"
"VM8PX60","健康路","健康路305號前","W","2","p",2309,"0.97"
"VM8PX60","健康路","健康路305號前","W","3","a",2322,"0.9"
"VM8PX60","健康路","健康路305號前","W","3","p",2370,"0.99"
"VM8PX60","健康路","健康路305號前","W","4","a",2314,"0.85"
"VM8PX60","健康路","健康路305號前","W","4","p",2431,"0.96"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","0","a",2006,"0.32"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","0","p",2547,"0.54"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","1","a",1992,"0.33"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","1","p",2380,"0.47"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","2","a",1946,"0.3"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","2","p",2432,"0.49"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","3","a",1841,"0.27"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","3","p",2524,"0.53"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","4","a",1958,"0.3"
"VU5QC60","內湖路1段","內湖路1段59號加油站前路燈桿","W","4","p",2210,"0.37"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","0","a",1285,"0.49"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","0","p",1077,"0.23"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","1","a",1183,"0.4"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","1","p",1138,"0.3"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","2","a",1151,"0.36"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","2","p",1202,"0.39"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","3","a",1224,"0.43"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","3","p",1090,"0.25"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","4","a",1169,"0.39"
"VT8SZ60","內湖路1段","內湖路1段609號路燈桿","W","4","p",1231,"0.44"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","0","a",1021,"0.38"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","0","p",1333,"0.87"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","1","a",956,"0.27"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","1","p",1332,"0.8"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","2","a",1001,"0.3"
"V6141E0","堤頂大道1段","堤頂上匝道入口","S","2","p",1421,"0.98"
