date,eq,day
105.07.19,36680.5398551,2.0
105.07.20,35596.2650376,3
105.07.21,38074.354325,4
105.07.22,36397.9452844,5
105.07.23,17701.75,6
105.07.24,12690.5,7
105.07.25,36130.7932496,1
105.07.26,37317.6321263,2
105.07.27,35839.8647787,3
105.07.28,36207.7292741,4
105.07.29,36429.6681346,5
105.07.30,18983.9705882,6
105.07.31,13362.25,7
105.08.01,38232.1940255,1
105.08.02,37416.1174752,2
105.08.03,37798.7469695,3
105.08.04,37434.2262301,4
105.08.05,36833.7585945,5
105.08.07,11911.25,7
105.08.10,37123.0549002,3
105.08.11,36853.9983177,4
105.08.12,37319.2030076,5
105.08.13,17557.6652542,6
105.08.14,13044.25,7
105.08.15,37244.1987873,1
105.08.16,38398.8007013,2
105.08.17,38947.2494782,3
105.08.18,37188.9121824,4
105.08.19,38594.3552016,5
105.08.20,17679.470339,6
105.08.21,16053.761502,7
105.08.22,37123.8474397,1
105.08.23,38477.7783161,2
105.08.24,39995.5244009,3
105.08.25,36461.601841,4
105.08.26,36536.6846642,5
105.08.27,17852.5921053,6
105.08.28,13214.7330508,7
105.08.29,40154.5497862,1
105.08.30,39950.5893176,2
105.08.31,39613.842236,3
105.09.01,40456.3614859,4
105.09.02,37747.0553863,5
105.09.03,20188.9788136,6
105.09.04,13629.960841,7
105.09.05,39885.6886324,1
105.09.06,40684.6578255,2
105.09.07,39625.8846319,3
105.09.10,34991.095712,6
105.09.11,14335.0,7
105.09.12,40648.1607005,1
105.09.13,39596.3103344,2
105.09.14,40603.1818358,3
105.09.15,13032.3595019,4
105.09.16,12812.0887966,5
105.09.17,10076.0105795,6
105.09.18,11568.5105795,7
