date,eq,day
105.07.19,40380.2451957,2.0
105.07.20,43510.5003321,3
105.07.21,40860.7175526,4
105.07.22,42570.6239841,5
105.07.23,34194.720339,6
105.07.24,31056.25,7
105.07.25,40679.910076,1
105.07.26,39970.4313267,2
105.07.27,41513.4371712,3
105.07.28,41499.9346664,4
105.07.29,41961.4959088,5
105.07.30,34216.25,6
105.07.31,29008.6978007,7
105.08.01,41155.1621538,1
105.08.02,41789.820082,2
105.08.03,42057.8502896,3
105.08.04,38780.0657554,4
105.08.05,42762.2057012,5
105.08.07,31797.0591125,7
105.08.10,39781.4902701,3
105.08.11,42967.1889407,4
105.08.12,43680.9422715,5
105.08.13,35336.2159094,6
105.08.14,32013.854232,7
105.08.15,41969.9857127,1
105.08.16,42727.6497645,2
105.08.17,42021.5239087,3
105.08.18,41910.5606184,4
105.08.19,43501.0237725,5
105.08.20,34563.2843366,6
105.08.21,33426.0858626,7
105.08.22,38623.0093827,1
105.08.23,46180.6334371,2
105.08.24,36925.1407884,3
105.08.25,41354.9427767,4
105.08.26,44283.2043729,5
105.08.27,35649.5081823,6
105.08.28,33046.9611338,7
105.08.29,42855.1593831,1
105.08.30,43296.2524349,2
105.08.31,43384.0775434,3
105.09.01,43634.334155,4
105.09.02,40752.9891415,5
105.09.03,38799.1271186,6
105.09.04,37205.4750146,7
105.09.05,44010.6401986,1
105.09.06,43622.882003,2
105.09.07,44851.4388959,3
105.09.10,44393.3832276,6
105.09.11,35816.7669279,7
105.09.12,44002.736342,1
105.09.13,45317.7444953,2
105.09.14,45113.960418,3
105.09.15,27541.1733571,4
105.09.16,30906.5416843,5
105.09.17,22045.1202762,6
105.09.18,30875.6661712,7
