date,eq,day
105.04.11,41599.32101,1
105.04.12,40330.17731,2
105.04.13,40330.17731,2
105.04.14,41410.28711,4
105.04.15,41420.1822,5
105.04.18,42129.59322,1
105.04.19,41663.60169,2
105.04.20,42515.50723,3
105.04.21,39765.16816,4
105.04.22,39514.75497,5
105.04.25,46777.66404,1
105.04.26,41439.77983,2
105.04.28,41374.17176,4
105.05.05,40819.97881,4
105.05.06,39956.75526,5
105.05.09,39862.61022,1
105.05.10,39730.32839,2
105.05.11,41101.60087,3
105.05.12,41982.68993,4
105.05.13,38667.29478,5
105.05.16,39438.02889,1
105.05.17,39935.32627,2
105.05.18,39234.68966,3
105.05.19,40459.19828,4
105.05.20,38631.91102,5
105.05.23,39660.5,1
105.05.24,40891.93044,2
105.05.25,38071.00847,3
105.05.26,38626.08051,4
105.05.27,37950.85593,5
105.05.30,39119.54661,1
105.05.31,38939.64791,2
105.06.01,38316.34322,3
105.06.02,38912.50424,4
105.06.03,38806.45594,5
105.06.06,38605.3475,1
105.06.07,38972.63106,2
105.06.10,13684.29237,5
105.06.13,36965.67988,1
105.06.14,36350.83938,2
105.06.15,37623.83695,3
105.06.16,37415.87391,4
105.06.17,37923.20585,5
105.06.18,19241.41102,6
105.06.19,15125,7
105.06.20,38526.05179,1
105.06.21,37729.48151,2
105.06.22,36968.98162,3
105.06.23,37440.09308,4
105.06.24,36971.33996,5
105.06.25,18662.75,6
105.06.26,13016.2839,7
105.06.27,37611.87389,1
105.06.28,36025.42339,2
105.06.29,37010.5979,3
105.06.30,37515.91321,4
105.07.06,35684.02342,3
105.07.07,36240.26721,4
105.07.10,13353,7
105.07.11,36179.94438,1
105.07.12,36603.70224,2
105.07.13,36426.75778,3
105.07.14,35415.2563,4
105.07.15,35818.58521,5
105.07.16,18577.97727,6
105.07.17,12943.13559,7
105.07.18,13150.8178,1
105.07.19,36680.53986,2
105.07.20,35596.26504,3
105.07.21,38074.35433,4
105.07.22,36397.94528,5
105.07.23,17701.75,6
105.07.24,12690.5,7
105.07.25,36130.79325,1
105.07.26,37317.63213,2
105.07.27,35839.86478,3
105.07.28,36207.72927,4
105.07.29,36429.66813,5
105.07.30,18983.97059,6
105.07.31,13362.25,7
105.08.01,38232.19403,1
105.08.02,37416.11748,2
105.08.03,37798.74697,3
105.08.04,37434.22623,4
105.08.05,36833.75859,5
105.08.07,11911.25,7
105.08.10,37123.0549,3
105.08.11,36853.99832,4
105.08.12,37319.20301,5
105.08.13,17557.66525,6
105.08.14,13044.25,7
105.08.15,37244.19879,1
105.08.16,38398.8007,2
105.08.17,38947.24948,3
105.08.18,37188.91218,4
105.08.19,38594.3552,5
105.08.20,17679.47034,6
105.08.21,16053.7615,7
105.08.22,37123.84744,1
105.08.23,38477.77832,2
105.08.24,39995.5244,3
105.08.25,36461.60184,4
105.08.26,36536.68466,5
105.08.27,17852.59211,6
105.08.28,13214.73305,7
105.08.29,40154.54979,1
105.08.30,39950.58932,2
105.08.31,39613.84224,3
105.09.01,40456.36149,4
105.09.02,37747.05539,5
105.09.03,20188.97881,6
105.09.04,13629.96084,7
105.09.05,39885.68863,1
105.09.06,40684.65783,2
105.09.07,39625.88463,3
105.09.10,34991.09571,6
105.09.11,14335,7
105.09.12,40648.1607,1
105.09.13,39596.31033,2
105.09.14,40603.18184,3
105.09.15,13032.3595,4
105.09.16,12812.0888,5
105.09.17,10076.01058,6
105.09.18,11568.51058,7
