date,eq,day
105.04.11,41302.17165,1
105.04.12,41731.72129,2
105.04.13,41731.72129,2
105.04.14,42552.85551,4
105.04.15,44348.85086,5
105.04.18,41693.97888,1
105.04.19,40187.48157,2
105.04.20,42554.1236,3
105.04.21,40074.5137,4
105.04.22,41071.16178,5
105.04.25,46103.82456,1
105.04.26,42588.05624,2
105.04.28,43224.95265,4
105.05.05,40547.21393,4
105.05.06,43046.28112,5
105.05.09,42225.10606,1
105.05.10,41239.68329,2
105.05.11,43861.99368,3
105.05.12,41912.98874,4
105.05.13,44610.83658,5
105.05.16,41104.85345,1
105.05.17,40207.83825,2
105.05.18,41652.08051,3
105.05.19,41058.30932,4
105.05.20,41767.30596,5
105.05.23,40110.67978,1
105.05.24,41706.19688,2
105.05.25,40560.27758,3
105.05.26,40987.20339,4
105.05.27,40337.19826,5
105.05.30,40548.46429,1
105.05.31,39291.54661,2
105.06.01,42062.75,3
105.06.02,41304.80834,4
105.06.03,42072.05985,5
105.06.06,41875.83571,1
105.06.07,40334.15614,2
105.06.10,29044.54661,5
105.06.13,39501.8299,1
105.06.14,38987.64608,2
105.06.15,41025.19921,3
105.06.16,41425.4199,4
105.06.17,40700.9536,5
105.06.18,35069.45455,6
105.06.19,32412.15404,7
105.06.20,41192.69505,1
105.06.21,40213.51316,2
105.06.22,40304.47149,3
105.06.23,40924.65243,4
105.06.24,43454.79226,5
105.06.25,36267.08308,6
105.06.26,30660.27966,7
105.06.27,38482.83092,1
105.06.28,41056.84209,2
105.06.29,41961.48728,3
105.06.30,44628.39359,4
105.07.06,41651.6515,3
105.07.07,40737.88758,4
105.07.10,32636.15447,7
105.07.11,40781.60197,1
105.07.12,42625.39591,2
105.07.13,42071.70743,3
105.07.14,41179.92769,4
105.07.15,43157.7493,5
105.07.16,34940.7839,6
105.07.17,31289.50847,7
105.07.18,32580.7681,1
105.07.19,40380.2452,2
105.07.20,43510.50033,3
105.07.21,40860.71755,4
105.07.22,42570.62398,5
105.07.23,34194.72034,6
105.07.24,31056.25,7
105.07.25,40679.91008,1
105.07.26,39970.43133,2
105.07.27,41513.43717,3
105.07.28,41499.93467,4
105.07.29,41961.49591,5
105.07.30,34216.25,6
105.07.31,29008.6978,7
105.08.01,41155.16215,1
105.08.02,41789.82008,2
105.08.03,42057.85029,3
105.08.04,38780.06576,4
105.08.05,42762.2057,5
105.08.07,31797.05911,7
105.08.10,39781.49027,3
105.08.11,42967.18894,4
105.08.12,43680.94227,5
105.08.13,35336.21591,6
105.08.14,32013.85423,7
105.08.15,41969.98571,1
105.08.16,42727.64976,2
105.08.17,42021.52391,3
105.08.18,41910.56062,4
105.08.19,43501.02377,5
105.08.20,34563.28434,6
105.08.21,33426.08586,7
105.08.22,38623.00938,1
105.08.23,46180.63344,2
105.08.24,36925.14079,3
105.08.25,41354.94278,4
105.08.26,44283.20437,5
105.08.27,35649.50818,6
105.08.28,33046.96113,7
105.08.29,42855.15938,1
105.08.30,43296.25243,2
105.08.31,43384.07754,3
105.09.01,43634.33416,4
105.09.02,40752.98914,5
105.09.03,38799.12712,6
105.09.04,37205.47501,7
105.09.05,44010.6402,1
105.09.06,43622.882,2
105.09.07,44851.4389,3
105.09.10,44393.38323,6
105.09.11,35816.76693,7
105.09.12,44002.73634,1
105.09.13,45317.7445,2
105.09.14,45113.96042,3
105.09.15,27541.17336,4
105.09.16,30906.54168,5
105.09.17,22045.12028,6
105.09.18,30875.66617,7
