台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
V6140C1,麥二舊宗,正向放置,2016-04-01 00:00:00,2,422.0,422.0,0.0,422.0,0.0,73.83033,1.515,135.18,
V6140C1,麥二舊宗,正向放置,2016-04-01 01:00:00,2,349.0,349.0,0.0,349.0,0.0,73.77796,1.265,118.05,
V6140C1,麥二舊宗,正向放置,2016-04-01 02:00:00,2,211.0,211.0,0.0,211.0,0.0,74.238625,0.99,123.33,
V6140C1,麥二舊宗,正向放置,2016-04-01 03:00:00,2,102.0,102.0,0.0,102.0,0.0,74.25784,0.66499996,151.58,
V6140C1,麥二舊宗,正向放置,2016-04-01 04:00:00,2,121.0,121.0,0.0,121.0,0.0,74.67058,0.575,171.66501,
V6140C1,麥二舊宗,正向放置,2016-04-01 05:00:00,2,134.0,134.0,0.0,134.0,0.0,75.03911,0.65,153.20999,
V6140C1,麥二舊宗,正向放置,2016-04-01 06:00:00,2,244.0,244.0,0.0,244.0,0.0,73.97746,1.0250001,118.5,
V6140C1,麥二舊宗,正向放置,2016-04-01 07:00:00,2,461.0,461.5,1.0,460.0,0.0,73.569214,1.5799999,118.3,
V6140C1,麥二舊宗,正向放置,2016-04-01 08:00:00,2,1186.0,1186.0,0.0,1186.0,0.0,73.15031,4.3,65.93,
V6140C1,麥二舊宗,正向放置,2016-04-01 09:00:00,2,1557.0,1558.0,2.0,1555.0,0.0,72.9563,5.725,45.5,
V6140C1,麥二舊宗,正向放置,2016-04-01 10:00:00,2,1335.0,1337.5,5.0,1330.0,0.0,72.29922,4.84,58.13,
V6140C1,麥二舊宗,正向放置,2016-04-01 11:00:00,2,1119.0,1124.0,10.0,1109.0,0.0,72.56041,3.97,69.05,
V6140C1,麥二舊宗,正向放置,2016-04-01 12:00:00,2,974.0,975.5,3.0,971.0,0.0,72.71596,3.395,85.695,
V6140C1,麥二舊宗,正向放置,2016-04-01 13:00:00,2,1013.0,1015.0,4.0,1009.0,0.0,72.64683,3.52,81.56,
V6140C1,麥二舊宗,正向放置,2016-04-01 14:00:00,2,1063.0,1064.0,2.0,1061.0,0.0,72.29028,3.775,72.024994,
V6140C1,麥二舊宗,正向放置,2016-04-01 15:00:00,2,1135.0,1135.0,0.0,1135.0,0.0,72.52101,4.2799997,64.91,
V6140C1,麥二舊宗,正向放置,2016-04-01 16:00:00,2,1286.0,1286.0,0.0,1286.0,0.0,72.59356,4.495,58.45,
V6140C1,麥二舊宗,正向放置,2016-04-01 17:00:00,2,1249.0,1250.0,2.0,1247.0,0.0,72.396996,4.45,63.149998,
V6140C1,麥二舊宗,正向放置,2016-04-01 18:00:00,2,1579.0,1580.0,2.0,1577.0,0.0,72.359695,5.63,48.2,
V6140C1,麥二舊宗,正向放置,2016-04-01 19:00:00,2,1656.0,1658.0,4.0,1652.0,0.0,71.9862,5.94,45.175003,
V6140C1,麥二舊宗,正向放置,2016-04-01 20:00:00,2,1372.0,1372.5,1.0,1371.0,0.0,71.89878,5.375,54.275,
V6140C1,麥二舊宗,正向放置,2016-04-01 21:00:00,2,1230.0,1230.5,1.0,1229.0,0.0,72.2551,4.75,60.43,
V6140C1,麥二舊宗,正向放置,2016-04-01 22:00:00,2,1439.0,1440.5,3.0,1436.0,0.0,72.30981,5.175,54.690002,
V6140C1,麥二舊宗,正向放置,2016-04-01 23:00:00,2,1219.0,1219.5,1.0,1218.0,0.0,72.45728,4.205,68.875,
V6140C1,麥二舊宗,正向放置,2016-04-02 00:00:00,2,667.0,667.5,1.0,666.0,0.0,73.4609,2.2649999,104.255005,
V6140C1,麥二舊宗,正向放置,2016-04-02 01:00:00,2,465.0,465.5,1.0,464.0,0.0,73.86252,1.625,120.185,
V6140C1,麥二舊宗,正向放置,2016-04-02 02:00:00,2,279.0,279.5,1.0,278.0,0.0,73.95115,1.0999999,129.42,
V6140C1,麥二舊宗,正向放置,2016-04-02 03:00:00,2,237.0,237.0,0.0,237.0,0.0,73.73764,1.025,117.955,
V6140C1,麥二舊宗,正向放置,2016-04-02 04:00:00,2,223.0,225.5,5.0,218.0,0.0,71.699554,1.075,133.375,
V6140C1,麥二舊宗,正向放置,2016-04-02 05:00:00,2,287.0,287.0,0.0,287.0,0.0,73.13571,1.125,128.625,
V6140C1,麥二舊宗,正向放置,2016-04-02 06:00:00,2,482.0,483.0,2.0,480.0,0.0,72.64597,1.815,121.915,
V6140C1,麥二舊宗,正向放置,2016-04-02 07:00:00,2,675.0,676.5,3.0,672.0,0.0,73.44077,2.275,108.425,
V6140C1,麥二舊宗,正向放置,2016-04-02 08:00:00,2,730.0,730.0,0.0,730.0,0.0,72.67369,2.75,95.05,
V6140C1,麥二舊宗,正向放置,2016-04-02 09:00:00,2,757.0,757.5,1.0,756.0,0.0,72.576195,2.815,100.575,
V6140C1,麥二舊宗,正向放置,2016-04-02 10:00:00,2,895.0,896.0,2.0,893.0,0.0,73.25721,3.105,92.34,
V6140C1,麥二舊宗,正向放置,2016-04-02 11:00:00,2,993.0,994.0,2.0,991.0,0.0,72.96733,3.385,80.035,
V6140C1,麥二舊宗,正向放置,2016-04-02 12:00:00,2,1139.0,1139.5,1.0,1138.0,0.0,73.1195,3.855,72.380005,
V6140C1,麥二舊宗,正向放置,2016-04-02 13:00:00,2,1116.0,1117.0,2.0,1114.0,0.0,73.0294,3.875,76.92,
V6140C1,麥二舊宗,正向放置,2016-04-02 14:00:00,2,977.0,978.5,3.0,974.0,0.0,72.61947,3.61,79.22,
V6140C1,麥二舊宗,正向放置,2016-04-02 15:00:00,2,994.0,995.0,2.0,992.0,0.0,72.953415,3.8000002,72.75,
V6140C1,麥二舊宗,正向放置,2016-04-02 16:00:00,2,1087.0,1089.5,5.0,1082.0,0.0,72.321365,3.9499998,77.69,
V6140C1,麥二舊宗,正向放置,2016-04-02 17:00:00,2,961.0,962.0,2.0,959.0,0.0,72.74331,3.315,82.15,
V6140C1,麥二舊宗,正向放置,2016-04-02 18:00:00,2,1129.0,1129.0,0.0,1129.0,0.0,72.323975,4.08,68.86,
V6140C1,麥二舊宗,正向放置,2016-04-02 19:00:00,2,1033.0,1034.5,3.0,1030.0,0.0,72.04161,3.825,76.49,
V6140C1,麥二舊宗,正向放置,2016-04-02 20:00:00,2,972.0,974.0,4.0,968.0,0.0,71.993195,3.6100001,78.524994,
V6140C1,麥二舊宗,正向放置,2016-04-02 21:00:00,2,868.0,869.0,2.0,866.0,0.0,72.157745,3.44,85.240005,
V6140C1,麥二舊宗,正向放置,2016-04-02 22:00:00,2,1096.0,1097.5,3.0,1093.0,0.0,72.58035,3.865,72.58,
V6140C1,麥二舊宗,正向放置,2016-04-02 23:00:00,2,837.0,837.5,1.0,836.0,0.0,73.16208,2.9,88.435,
V6140C1,麥二舊宗,正向放置,2016-04-03 00:00:00,2,491.0,491.0,0.0,491.0,0.0,73.350494,1.6949999,121.259995,
V6140C1,麥二舊宗,正向放置,2016-04-03 01:00:00,2,323.0,323.0,0.0,323.0,0.0,74.20093,1.1800001,133.715,
V6140C1,麥二舊宗,正向放置,2016-04-03 02:00:00,2,220.0,220.0,0.0,220.0,0.0,74.14236,0.94,119.05,
V6140C1,麥二舊宗,正向放置,2016-04-03 03:00:00,2,180.0,180.0,0.0,180.0,0.0,74.1575,0.9,118.04,
V6140C1,麥二舊宗,正向放置,2016-04-03 04:00:00,2,143.0,143.0,0.0,143.0,0.0,74.37699,0.765,134.95999,
V6140C1,麥二舊宗,正向放置,2016-04-03 05:00:00,2,209.0,209.0,0.0,209.0,0.0,73.539856,0.96500003,128.58499,
V6140C1,麥二舊宗,正向放置,2016-04-03 06:00:00,2,371.0,371.0,0.0,371.0,0.0,74.01884,1.265,131.34,
V6140C1,麥二舊宗,正向放置,2016-04-03 07:00:00,2,627.0,629.0,4.0,623.0,0.0,72.696266,2.25,118.41,
V6140C1,麥二舊宗,正向放置,2016-04-03 08:00:00,2,663.0,663.0,0.0,663.0,0.0,73.1014,2.3,107.66,
V6140C1,麥二舊宗,正向放置,2016-04-03 09:00:00,2,724.0,725.0,2.0,722.0,0.0,72.814995,2.6950002,102.875,
V6140C1,麥二舊宗,正向放置,2016-04-03 10:00:00,2,907.0,910.5,7.0,900.0,0.0,72.491776,3.29,87.365005,
V6140C1,麥二舊宗,正向放置,2016-04-03 11:00:00,2,811.0,812.0,2.0,809.0,0.0,72.92148,2.83,98.81,
V6140C1,麥二舊宗,正向放置,2016-04-03 12:00:00,2,952.0,952.5,1.0,951.0,0.0,72.87507,3.2849998,87.2,
V6140C1,麥二舊宗,正向放置,2016-04-03 13:00:00,2,952.0,953.0,2.0,950.0,0.0,72.84897,3.275,84.05,
V6140C1,麥二舊宗,正向放置,2016-04-03 14:00:00,2,814.0,814.5,1.0,813.0,0.0,73.19134,2.92,93.575,
V6140C1,麥二舊宗,正向放置,2016-04-03 15:00:00,2,919.0,921.0,4.0,915.0,0.0,72.9176,3.3400002,82.009995,
V6140C1,麥二舊宗,正向放置,2016-04-03 16:00:00,2,1016.0,1016.5,1.0,1015.0,0.0,73.104576,3.46,78.745,
V6140C1,麥二舊宗,正向放置,2016-04-03 17:00:00,2,951.0,952.5,3.0,948.0,0.0,72.608185,3.4450002,85.25,
V6140C1,麥二舊宗,正向放置,2016-04-03 18:00:00,2,825.0,827.0,4.0,821.0,0.0,71.17983,3.235,94.875,
V6140C1,麥二舊宗,正向放置,2016-04-03 19:00:00,2,842.0,843.0,2.0,840.0,0.0,71.29903,3.215,91.34,
V6140C1,麥二舊宗,正向放置,2016-04-03 20:00:00,2,688.0,688.5,1.0,687.0,0.0,72.565,2.665,98.6,
V6140C1,麥二舊宗,正向放置,2016-04-03 21:00:00,2,816.0,818.0,4.0,812.0,0.0,72.415,3.1,93.345,
V6140C1,麥二舊宗,正向放置,2016-04-03 22:00:00,2,892.0,892.0,0.0,892.0,0.0,72.28103,3.2,90.09,
V6140C1,麥二舊宗,正向放置,2016-04-03 23:00:00,2,700.0,701.0,2.0,698.0,0.0,72.763885,2.49,103.85,
V6140C1,麥二舊宗,正向放置,2016-04-04 00:00:00,2,438.0,438.5,1.0,437.0,0.0,72.67699,1.6400001,117.35,
V6140C1,麥二舊宗,正向放置,2016-04-04 01:00:00,2,317.0,317.0,0.0,317.0,0.0,73.774734,1.185,130.84,
V6140C1,麥二舊宗,正向放置,2016-04-04 02:00:00,2,227.0,227.0,0.0,227.0,0.0,73.87269,1.0,132.875,
V6140C1,麥二舊宗,正向放置,2016-04-04 03:00:00,2,154.0,154.0,0.0,154.0,0.0,74.06954,0.75,152.045,
V6140C1,麥二舊宗,正向放置,2016-04-04 04:00:00,2,130.0,130.0,0.0,130.0,0.0,74.61615,0.685,154.0,
V6140C1,麥二舊宗,正向放置,2016-04-04 05:00:00,2,213.0,213.0,0.0,213.0,0.0,74.34422,0.935,118.54,
V6140C1,麥二舊宗,正向放置,2016-04-04 06:00:00,2,410.0,410.5,1.0,409.0,0.0,73.13549,1.5250001,115.43,
V6140C1,麥二舊宗,正向放置,2016-04-04 07:00:00,2,523.0,523.0,0.0,523.0,0.0,72.80176,1.88,122.02,
V6140C1,麥二舊宗,正向放置,2016-04-04 08:00:00,2,481.0,489.15253,0.0,481.0,0.0,72.88788,1.75,127.33,
V6140C1,麥二舊宗,正向放置,2016-04-04 09:00:00,2,626.0,626.0,0.0,626.0,0.0,72.65872,2.4250002,105.64,
V6140C1,麥二舊宗,正向放置,2016-04-04 10:00:00,2,729.0,729.5,1.0,728.0,0.0,72.68929,2.5500002,103.11,
V6140C1,麥二舊宗,正向放置,2016-04-04 11:00:00,2,792.0,793.0,2.0,790.0,0.0,72.87057,2.7150002,103.165,
