台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
V6340G0,舊宗堤頂,正向放置,2016-04-01 00:00:00,2,378.0,413.5,71.0,307.0,0.0,70.04476,1.15,135.675,
V6340G0,舊宗堤頂,正向放置,2016-04-01 01:00:00,2,219.0,239.0,40.0,179.0,0.0,71.24425,0.505,130.735,
V6340G0,舊宗堤頂,正向放置,2016-04-01 02:00:00,2,173.0,189.0,32.0,141.0,0.0,70.64336,0.37,130.16,
V6340G0,舊宗堤頂,正向放置,2016-04-01 03:00:00,2,128.0,139.0,22.0,106.0,0.0,70.78249,0.26,111.495,
V6340G0,舊宗堤頂,正向放置,2016-04-01 04:00:00,2,120.0,127.5,15.0,105.0,0.0,69.92917,0.225,113.865005,
V6340G0,舊宗堤頂,正向放置,2016-04-01 05:00:00,2,133.0,141.0,16.0,117.0,0.0,71.0609,0.3,101.095,
V6340G0,舊宗堤頂,正向放置,2016-04-01 06:00:00,2,230.0,253.0,46.0,184.0,0.0,71.45257,0.725,134.61,
V6340G0,舊宗堤頂,正向放置,2016-04-01 07:00:00,2,812.0,826.5,29.0,746.0,0.0,73.9296,2.425,104.475006,
V6340G0,舊宗堤頂,正向放置,2016-04-01 08:00:00,2,2430.0,2507.9546,27.0,2344.0,-1.0,71.979385,9.299999,30.989998,
V6340G0,舊宗堤頂,正向放置,2016-04-01 09:00:00,2,1985.0,2065.2632,39.0,1933.0,-2.0,71.87002,8.280001,38.32,
V6340G0,舊宗堤頂,正向放置,2016-04-01 10:00:00,2,1700.0,1741.9153,48.0,1653.0,-1.0,72.35242,6.925,45.34,
V6340G0,舊宗堤頂,正向放置,2016-04-01 11:00:00,2,1500.0,1521.0,41.0,1442.0,0.0,72.117195,5.375,52.95,
V6340G0,舊宗堤頂,正向放置,2016-04-01 12:00:00,2,1405.0,1444.4067,50.0,1355.0,0.0,71.93748,5.415,58.21,
V6340G0,舊宗堤頂,正向放置,2016-04-01 13:00:00,2,1356.0,1385.0,58.0,1298.0,0.0,71.69301,5.215,62.690002,
V6340G0,舊宗堤頂,正向放置,2016-04-01 14:00:00,2,1464.0,1510.2034,41.0,1396.0,0.0,71.231995,5.29,53.33,
V6340G0,舊宗堤頂,正向放置,2016-04-01 15:00:00,2,1492.0,1545.0173,44.0,1448.0,0.0,70.55741,6.49,51.735,
