台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 00:00:00,2,580.0,580.0,0.0,580.0,0.0,50.578793,2.25,112.255005,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 01:00:00,2,386.0,386.0,0.0,386.0,0.0,51.45495,1.325,136.09,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 02:00:00,2,278.0,278.0,0.0,278.0,0.0,51.507988,1.075,132.33499,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 03:00:00,2,163.0,163.0,0.0,163.0,0.0,51.12166,0.90999997,107.085,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 04:00:00,2,149.0,149.0,0.0,149.0,0.0,51.385166,0.76,135.375,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 05:00:00,2,174.0,174.0,0.0,174.0,0.0,50.899998,0.86,135.45999,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 06:00:00,2,293.0,293.5,1.0,292.0,0.0,49.33584,1.41,128.005,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 07:00:00,2,957.0,961.0,8.0,949.0,0.0,47.32655,5.2,87.16,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 08:00:00,2,2154.0,2176.0,44.0,2110.0,0.0,35.2795,14.02,50.41,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 09:00:00,2,2010.0,2036.0,52.0,1958.0,0.0,36.946976,14.065001,54.190002,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 10:00:00,2,2235.0,2263.5,57.0,2178.0,0.0,35.496777,14.745,50.1,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 11:00:00,2,2160.0,2190.0,60.0,2100.0,0.0,36.759926,12.4,39.614998,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 12:00:00,2,2139.0,2177.5,77.0,2062.0,0.0,33.573997,13.6,41.690002,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 13:00:00,2,2134.0,2170.5,73.0,2061.0,0.0,32.998848,15.450001,44.065,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 14:00:00,2,2069.0,2110.0,82.0,1987.0,0.0,35.63737,12.625,44.19,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 15:00:00,2,1881.0,1921.5,81.0,1800.0,0.0,30.857065,15.395,54.34,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 16:00:00,2,2103.0,2147.0,88.0,2015.0,0.0,29.546206,14.155001,51.385002,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 17:00:00,2,2109.0,2140.5,63.0,2046.0,0.0,32.930996,14.93,50.725,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 18:00:00,2,2122.0,2151.0,58.0,2064.0,0.0,36.537663,13.96,57.5,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 19:00:00,2,1727.0,1778.5,103.0,1624.0,0.0,33.987904,12.405001,74.885,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 20:00:00,2,1806.0,1844.5,77.0,1729.0,0.0,34.5894,12.705,76.83,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 21:00:00,2,1561.0,1588.0,54.0,1507.0,0.0,37.742287,11.389999,50.739998,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 22:00:00,2,1594.0,1618.0,48.0,1546.0,0.0,41.635708,10.645,50.015,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-01 23:00:00,2,1201.0,1210.0,18.0,1183.0,0.0,44.53432,6.6400003,71.725,
V6380E0,正氣橋接基隆路出口,正向放置,2016-04-02 00:00:00,2,744.0,744.0,0.0,744.0,0.0,50.191395,2.815,98.715,
