台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 00:00:00,2,796.0,797.5,3.0,793.0,0.0,55.428555,3.37,99.369995,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 01:00:00,2,537.0,537.0,0.0,537.0,0.0,56.509663,2.165,120.02501,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 02:00:00,2,339.0,339.0,0.0,339.0,0.0,57.16516,1.32,151.225,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 03:00:00,2,222.0,222.0,0.0,222.0,0.0,57.206665,1.075,153.065,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 04:00:00,2,219.0,219.0,0.0,219.0,0.0,57.8263,0.875,174.215,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 05:00:00,2,221.0,221.0,0.0,221.0,0.0,57.38801,1.0,152.63501,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 06:00:00,2,332.0,332.0,0.0,332.0,0.0,57.04373,1.4150001,134.76,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 07:00:00,2,823.0,823.5,1.0,822.0,0.0,54.887646,3.685,105.225006,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 08:00:00,2,2143.0,2147.5,9.0,2134.0,0.0,47.65333,7.75,52.375,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 09:00:00,2,2604.0,2606.0,4.0,2600.0,0.0,43.29454,10.05,29.365,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 10:00:00,2,2318.0,2326.0,16.0,2302.0,0.0,46.81566,8.49,44.14,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 11:00:00,2,2066.0,2069.0,6.0,2060.0,0.0,48.83436,8.375,57.45,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 12:00:00,2,1984.0,1990.0,12.0,1972.0,0.0,49.08744,7.8999996,53.1,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 13:00:00,2,1964.0,1968.5,9.0,1955.0,0.0,50.05482,7.87,57.58,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 14:00:00,2,2160.0,2166.0,12.0,2148.0,0.0,48.552757,8.8,48.785,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 15:00:00,2,2056.0,2060.5,9.0,2047.0,0.0,48.612736,9.175,48.465,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 16:00:00,2,2246.0,2251.0,10.0,2236.0,0.0,49.070946,9.155001,48.370003,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 17:00:00,2,2212.0,2242.5,61.0,2151.0,0.0,36.92018,11.565001,39.015,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 18:00:00,2,2340.0,2348.0,16.0,2324.0,0.0,43.426544,10.305,42.155,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 19:00:00,2,2253.0,2259.0,12.0,2241.0,0.0,46.82567,9.39,46.8,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 20:00:00,2,2032.0,2035.5,7.0,2025.0,0.0,48.670513,8.765,57.510002,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 21:00:00,2,1901.0,1907.0,12.0,1889.0,0.0,47.843082,7.9300003,59.75,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 22:00:00,2,2180.0,2183.0,6.0,2174.0,0.0,48.190826,8.18,52.54,
V7010A0,環東出城接麥二橋,正向放置,2016-04-01 23:00:00,2,1764.0,1768.5,9.0,1755.0,0.0,49.943287,7.225,67.545,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 00:00:00,2,1128.0,1129.5,3.0,1125.0,0.0,55.330708,4.655,85.565,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 01:00:00,2,753.0,753.0,0.0,753.0,0.0,56.884274,2.865,96.275,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 02:00:00,2,449.0,449.5,1.0,448.0,0.0,57.044415,1.76,119.655,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 03:00:00,2,344.0,344.0,0.0,344.0,0.0,57.474564,1.5,134.385,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 04:00:00,2,360.0,360.0,0.0,360.0,0.0,57.967968,1.325,151.41501,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 05:00:00,2,371.0,371.0,0.0,371.0,0.0,57.615635,1.4,126.365005,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 06:00:00,2,452.0,453.0,2.0,450.0,0.0,57.136017,1.83,131.325,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 07:00:00,2,722.0,722.5,1.0,721.0,0.0,55.701496,3.0749998,102.345,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 08:00:00,2,1164.0,1167.5,7.0,1157.0,0.0,54.2784,5.05,78.325,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 09:00:00,2,1481.0,1481.5,1.0,1480.0,0.0,52.880444,6.7599998,74.479996,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 10:00:00,2,1845.0,1848.0,6.0,1839.0,0.0,51.44515,8.190001,60.08,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 11:00:00,2,1889.0,1895.0,12.0,1877.0,0.0,49.59971,7.745,57.32,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 12:00:00,2,1904.0,1909.0,10.0,1894.0,0.0,50.409542,8.51,57.01,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 13:00:00,2,1893.0,1898.0,10.0,1883.0,0.0,50.476925,8.29,61.275,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 14:00:00,2,1980.0,1984.5,9.0,1971.0,0.0,50.123775,8.405,56.199997,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 15:00:00,2,1832.0,1835.5,7.0,1825.0,0.0,49.771202,8.135,67.54,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 16:00:00,2,2062.0,2065.5,7.0,2055.0,0.0,48.45559,9.11,55.96,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 17:00:00,2,2044.0,2046.5,5.0,2039.0,0.0,48.425186,8.26,59.3,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 18:00:00,2,2039.0,2042.5,7.0,2032.0,0.0,49.664547,9.35,50.505,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 19:00:00,2,1873.0,1875.0,4.0,1869.0,0.0,50.018158,8.525,62.255,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 20:00:00,2,1674.0,1677.5,7.0,1667.0,0.0,50.379307,7.825,64.065,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 21:00:00,2,1678.0,1682.0,8.0,1670.0,0.0,50.080032,8.48,60.61,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 22:00:00,2,1778.0,1783.0,10.0,1768.0,0.0,50.713486,7.3450003,66.14,
V7010A0,環東出城接麥二橋,正向放置,2016-04-02 23:00:00,2,1432.0,1433.5,3.0,1429.0,0.0,52.002857,6.54,76.735,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 00:00:00,2,861.0,862.0,2.0,859.0,0.0,55.71188,3.6750002,99.880005,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 01:00:00,2,588.0,588.0,0.0,588.0,0.0,56.895714,2.28,118.535,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 02:00:00,2,469.0,469.0,0.0,469.0,0.0,57.021492,1.8,129.35,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 03:00:00,2,282.0,282.0,0.0,282.0,0.0,58.099964,1.15,133.54001,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 04:00:00,2,280.0,280.0,0.0,280.0,0.0,57.78371,1.21,129.04001,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 05:00:00,2,282.0,282.0,0.0,282.0,0.0,58.22702,1.11,130.375,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 06:00:00,2,317.0,317.5,1.0,316.0,0.0,57.56101,1.325,129.875,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 07:00:00,2,554.0,555.5,3.0,551.0,0.0,56.048737,2.475,116.375,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 08:00:00,2,846.0,848.0,4.0,842.0,0.0,55.730427,3.51,107.37,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 09:00:00,2,1207.0,1208.0,2.0,1205.0,0.0,54.11445,5.6,77.59,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 10:00:00,2,1511.0,1512.0,2.0,1509.0,0.0,52.863647,6.69,65.86,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 11:00:00,2,1639.0,1644.0,10.0,1629.0,0.0,52.089104,7.165,67.205,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 12:00:00,2,1591.0,1594.0,6.0,1585.0,0.0,51.874653,7.32,69.66,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 13:00:00,2,1668.0,1670.5,5.0,1663.0,0.0,52.217674,7.17,69.634995,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 14:00:00,2,1770.0,1772.5,5.0,1765.0,0.0,51.255287,7.2,63.175003,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 15:00:00,2,1841.0,1843.5,5.0,1836.0,0.0,49.150707,8.59,58.825,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 16:00:00,2,1912.0,1914.0,4.0,1908.0,0.0,49.983517,7.915,57.69,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 17:00:00,2,1793.0,1795.0,4.0,1789.0,0.0,50.367794,8.055,58.345,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 18:00:00,2,1773.0,1775.0,4.0,1769.0,0.0,51.490578,7.7249994,58.475002,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 19:00:00,2,1703.0,1706.0,6.0,1697.0,0.0,51.53755,7.8950005,64.915,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 20:00:00,2,1576.0,1576.5,1.0,1575.0,0.0,51.465725,6.9900002,59.260002,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 21:00:00,2,1480.0,1488.5,17.0,1463.0,0.0,49.79044,6.42,80.39,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 22:00:00,2,1658.0,1662.0,8.0,1650.0,0.0,51.536953,7.36,65.225,
V7010A0,環東出城接麥二橋,正向放置,2016-04-03 23:00:00,2,1224.0,1226.0,4.0,1220.0,0.0,53.412415,5.59,75.865,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 00:00:00,2,752.0,753.0,2.0,750.0,0.0,55.34858,3.275,106.845,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 01:00:00,2,532.0,532.0,0.0,532.0,0.0,56.848927,2.075,123.715,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 02:00:00,2,352.0,352.0,0.0,352.0,0.0,57.819374,1.36,136.56,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 03:00:00,2,252.0,252.0,0.0,252.0,0.0,58.136433,1.065,162.95999,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 04:00:00,2,233.0,233.0,0.0,233.0,0.0,57.35811,0.96000004,162.98999,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 05:00:00,2,273.0,273.0,0.0,273.0,0.0,57.68282,1.03,174.765,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 06:00:00,2,341.0,341.5,1.0,340.0,0.0,57.131966,1.45,129.99,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 07:00:00,2,588.0,588.5,1.0,587.0,0.0,56.194454,2.415,112.649994,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 08:00:00,2,837.0,838.0,2.0,835.0,0.0,55.205524,3.675,105.345,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 09:00:00,2,1032.0,1033.0,2.0,1030.0,0.0,55.127346,4.6099997,86.45,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 10:00:00,2,1283.0,1285.0,4.0,1279.0,0.0,54.021374,5.6349998,79.785,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 11:00:00,2,1494.0,1495.5,3.0,1491.0,0.0,53.15687,6.685,74.76,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 12:00:00,2,1377.0,1380.0,6.0,1371.0,0.0,53.66603,6.3,80.935,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 13:00:00,2,1340.0,1340.5,1.0,1339.0,0.0,53.75393,5.915,77.64,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 14:00:00,2,1657.0,1660.0,6.0,1651.0,0.0,51.82061,7.61,62.365,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 15:00:00,2,1753.0,1755.5,5.0,1748.0,0.0,50.00589,8.08,58.5,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 16:00:00,2,1775.0,1780.0,10.0,1765.0,0.0,49.57286,7.71,61.335,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 17:00:00,2,1783.0,1785.0,4.0,1779.0,0.0,50.241776,7.535,63.21,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 18:00:00,2,1674.0,1676.0,4.0,1670.0,0.0,51.432552,7.675,63.68,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 19:00:00,2,1454.0,1457.5,7.0,1447.0,0.0,51.703285,6.915,70.985,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 20:00:00,2,1507.0,1507.0,0.0,1507.0,0.0,52.125896,7.1099997,70.225,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 21:00:00,2,1356.0,1358.0,4.0,1352.0,0.0,51.6959,6.68,76.225006,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 22:00:00,2,1522.0,1526.5,9.0,1513.0,0.0,52.237522,6.7149997,71.520004,
V7010A0,環東出城接麥二橋,正向放置,2016-04-04 23:00:00,2,1235.0,1238.0,6.0,1229.0,0.0,53.394825,5.73,84.89,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 00:00:00,2,745.0,745.0,0.0,745.0,0.0,56.05365,3.1,93.350006,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 01:00:00,2,567.0,567.5,1.0,566.0,0.0,56.41037,2.365,110.05,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 02:00:00,2,595.0,602.0,14.0,581.0,0.0,46.099796,4.925,118.295,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 03:00:00,2,269.0,270.5,3.0,266.0,0.0,56.977177,1.6949999,152.025,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 04:00:00,2,225.0,225.0,0.0,225.0,0.0,57.9732,0.835,177.225,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 05:00:00,2,212.0,212.0,0.0,212.0,0.0,57.662457,0.875,156.725,
V7010A0,環東出城接麥二橋,正向放置,2016-04-05 06:00:00,2,278.0,278.0,0.0,278.0,0.0,56.882805,1.235,146.975,
