台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 00:00:00,2,476.0,479.0,6.0,470.0,0.0,55.206825,1.99,170.34,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 01:00:00,2,297.0,298.5,3.0,294.0,0.0,57.47788,1.21,207.515,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 02:00:00,2,212.0,214.0,4.0,208.0,0.0,60.371418,0.775,225.15,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 03:00:00,2,124.0,124.5,1.0,123.0,0.0,62.444195,0.45999998,239.26001,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 04:00:00,2,103.0,106.0,6.0,97.0,0.0,61.269806,0.385,244.375,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 05:00:00,2,105.0,107.5,5.0,100.0,0.0,64.550285,0.385,240.95001,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 06:00:00,2,154.0,163.5,19.0,135.0,0.0,62.65851,0.66,237.89,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 07:00:00,2,462.0,481.0,38.0,424.0,0.0,60.10983,1.9749999,177.235,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 08:00:00,2,1075.0,1083.0,16.0,1059.0,0.0,56.17157,4.2799997,86.795,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 09:00:00,2,1300.0,1309.0,18.0,1282.0,0.0,53.819386,5.435,68.44,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 10:00:00,2,1153.0,1165.0,24.0,1129.0,0.0,51.258526,5.15,71.15,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 11:00:00,2,1156.0,1167.0,22.0,1134.0,0.0,48.76011,5.385,71.15,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 12:00:00,2,1099.0,1112.5,27.0,1072.0,0.0,47.732994,5.325,75.115005,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 13:00:00,2,1048.0,1058.5,21.0,1027.0,0.0,48.213055,4.98,81.58501,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 14:00:00,2,1035.0,1043.0,16.0,1019.0,0.0,49.989464,4.745,81.775,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 15:00:00,2,1074.0,1126.5518,30.0,1044.0,0.0,47.654884,5.4449997,72.369995,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 16:00:00,2,1229.0,1241.0,24.0,1205.0,0.0,47.364758,6.05,70.89,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 17:00:00,2,1180.0,1192.5,25.0,1155.0,0.0,50.14351,5.425,71.9,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 18:00:00,2,1197.0,1206.0,18.0,1179.0,0.0,49.73773,5.47,71.17,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 19:00:00,2,1063.0,1071.0,16.0,1047.0,0.0,46.221455,5.19,86.79,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 20:00:00,2,1077.0,1081.0,8.0,1069.0,0.0,46.5205,5.1400003,81.740005,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 21:00:00,2,1083.0,1089.0,12.0,1071.0,0.0,48.715008,5.015,82.350006,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 22:00:00,2,965.0,969.0,8.0,957.0,0.0,51.576508,4.175,96.0,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-01 23:00:00,2,753.0,755.5,5.0,748.0,0.0,52.58657,3.24,122.345,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 00:00:00,2,531.0,533.0,4.0,527.0,0.0,54.862034,2.175,156.575,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 01:00:00,2,411.0,411.0,0.0,411.0,0.0,57.638927,1.575,180.285,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 02:00:00,2,252.0,252.5,1.0,251.0,0.0,60.03714,0.97499996,214.565,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 03:00:00,2,188.0,188.0,0.0,188.0,0.0,62.615105,0.66499996,230.515,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 04:00:00,2,124.0,126.0,4.0,120.0,0.0,64.61065,0.45499998,240.82,
VJERC50,基隆路-忠孝東 往南,正向放置,2016-04-02 05:00:00,2,153.0,155.0,4.0,149.0,0.0,65.83418,0.535,235.725,
