台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 00:00:00,3,903.0,1030.5,255.0,648.0,0.0,35.68661,3.4099998,101.71334,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 01:00:00,3,562.0,607.5,91.0,471.0,0.0,35.101532,1.8066667,125.340004,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 02:00:00,3,442.0,501.5,119.0,323.0,0.0,35.270405,1.3466667,124.14333,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 03:00:00,3,277.0,297.0,40.0,237.0,0.0,35.522346,0.7866667,122.26,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 04:00:00,3,211.0,225.5,29.0,182.0,0.0,35.18199,0.5733333,107.09333,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 05:00:00,3,224.0,244.5,41.0,183.0,0.0,35.072456,0.67333335,99.07667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 06:00:00,3,320.0,361.5,83.0,237.0,0.0,33.941345,1.4733334,119.093346,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 07:00:00,3,918.0,992.0,148.0,770.0,0.0,36.11522,3.3666668,95.69,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 08:00:00,3,2180.0,2386.5,413.0,1767.0,0.0,32.895805,23.296667,67.11667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 09:00:00,3,2172.0,2486.0,628.0,1544.0,0.0,27.73689,29.723333,59.686665,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 10:00:00,3,2072.0,2355.0,566.0,1506.0,0.0,29.803076,27.423334,72.15667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 11:00:00,3,1537.0,1869.5,665.0,872.0,0.0,24.017094,22.269999,77.60667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 12:00:00,3,1537.0,1888.0,702.0,835.0,0.0,21.932343,28.833334,77.4,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 13:00:00,3,1571.0,1966.0,790.0,781.0,0.0,21.163462,32.350002,77.64667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 14:00:00,3,1472.0,1811.8965,559.0,913.0,0.0,24.399244,21.366667,76.246666,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 15:00:00,3,1392.0,1784.5,785.0,607.0,0.0,21.418268,21.606667,80.48,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 16:00:00,3,1675.0,2051.0,752.0,923.0,0.0,23.72047,27.066666,71.09,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 17:00:00,3,1939.0,2228.5,579.0,1360.0,0.0,26.93152,28.720001,76.316666,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 18:00:00,3,1982.0,2294.5,625.0,1357.0,0.0,26.77604,26.533335,72.86667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 19:00:00,3,1285.0,1612.5,655.0,630.0,0.0,25.363659,12.150001,85.579994,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 20:00:00,3,1146.0,1465.0,638.0,508.0,0.0,25.313951,13.753334,92.659996,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 21:00:00,3,1590.0,1967.5,755.0,835.0,0.0,29.942389,14.083333,77.71667,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 22:00:00,3,1726.0,2067.0,682.0,1044.0,0.0,33.046722,11.826667,80.94666,
VJVRL40,基隆路(永吉-松隆)-基隆路一段松山高中旁既設CMS(062)桿,未指定,2016-04-01 23:00:00,3,1488.0,1757.5,539.0,949.0,0.0,34.299633,8.306667,86.09333,
