台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 00:00:00,3,1022.0,1048.0,52.0,970.0,0.0,75.4889,2.16,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 01:00:00,3,659.0,667.0,16.0,643.0,0.0,77.33085,1.3733333,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 02:00:00,3,483.0,493.0,20.0,463.0,0.0,73.103386,1.1733333,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 03:00:00,3,362.0,366.0,8.0,354.0,0.0,76.25251,0.9533334,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 04:00:00,3,299.0,302.5,7.0,292.0,0.0,77.37114,0.77666664,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 05:00:00,3,321.0,327.5,13.0,308.0,0.0,76.130936,0.8233333,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 06:00:00,3,564.0,585.5,43.0,521.0,0.0,76.555626,1.3466667,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 07:00:00,3,1557.0,1598.75,83.0,1391.0,0.0,75.18306,3.5033333,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 08:00:00,3,3599.5,3743.7856,134.0,3381.0,-1.0,69.166595,11.276666,-0.0066666664,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 09:00:00,3,3353.0,3564.1816,209.0,3052.0,-2.0,63.366306,13.203334,-0.016666668,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 10:00:00,3,3361.5,3586.4385,151.0,3172.0,-1.0,65.73495,13.080001,-0.01,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 11:00:00,3,3525.0,3638.224,136.0,3300.0,-1.0,69.57284,11.076667,-0.0066666664,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 12:00:00,3,3481.0,3671.5835,116.0,3131.0,-2.0,69.19187,12.236668,-0.016666668,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 13:00:00,3,3055.0,3394.75,182.0,2857.0,-1.0,62.53921,13.773334,-0.026666665,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 14:00:00,3,3308.5,3498.87,123.0,3088.0,-2.0,67.26817,12.976666,-0.016666668,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 15:00:00,3,2697.5,3272.5073,276.0,2408.0,-5.0,55.444218,18.873335,-0.05666667,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 16:00:00,3,2910.0,3446.7007,208.0,2593.0,-4.0,58.959534,18.523333,-0.04,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 17:00:00,3,3090.0,3312.9763,140.0,2932.0,-2.0,65.92249,12.2699995,-0.016666668,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 18:00:00,3,3223.0,3484.1191,212.0,2982.0,-1.0,60.404312,14.77,-0.013333333,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 19:00:00,3,2224.5,2728.8848,267.0,1927.0,-3.0,61.585358,13.156667,-0.026666665,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 20:00:00,3,2491.0,3083.2556,379.0,2103.0,-3.0,60.633396,15.509999,-0.026666665,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 21:00:00,3,2555.0,2753.7778,184.0,2373.0,-2.0,69.26863,8.683333,-0.02,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 22:00:00,3,2514.0,2603.0,178.0,2336.0,0.0,71.23783,7.1166663,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-01 23:00:00,3,1892.0,1945.5,107.0,1785.0,0.0,73.15538,4.92,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-02 00:00:00,3,1230.0,1255.5,51.0,1179.0,0.0,76.46797,2.7566664,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-02 01:00:00,3,940.0,953.0,26.0,914.0,0.0,74.95759,1.9699999,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-02 02:00:00,3,625.0,632.5,15.0,610.0,0.0,77.43544,1.34,0.0,
VLKSH00,環東大道(南京東至永吉)-正氣橋門型架(往市民大道),北,2016-04-02 03:00:00,3,545.0,554.0,18.0,527.0,0.0,76.83101,1.2266666,0.0,
