台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 00:00:00,2,117.0,125.0,16.0,101.0,0.0,79.86752,0.55,164.685,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 01:00:00,2,64.0,67.0,6.0,58.0,0.0,85.21547,0.41,196.95,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 02:00:00,2,47.0,49.0,4.0,43.0,0.0,90.12425,0.325,217.4,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 03:00:00,2,33.0,37.5,9.0,24.0,0.0,79.0,0.23500001,238.065,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 04:00:00,2,31.0,34.0,6.0,25.0,0.0,88.96742,0.245,233.01001,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 05:00:00,2,23.0,24.0,2.0,21.0,0.0,85.133484,0.185,240.65,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 06:00:00,2,51.0,58.0,14.0,37.0,0.0,76.82588,0.365,223.15,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 07:00:00,2,130.0,145.0,30.0,100.0,0.0,74.49039,0.625,161.985,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 08:00:00,2,331.0,365.5,69.0,262.0,0.0,72.10558,1.2950001,97.399994,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 09:00:00,2,422.0,469.5,95.0,327.0,0.0,68.40593,1.65,82.744995,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 10:00:00,2,809.0,913.5,209.0,600.0,0.0,67.77526,3.45,81.45,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 11:00:00,2,1137.0,1291.0,308.0,829.0,0.0,67.93501,4.875,77.56,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 12:00:00,2,1322.0,1493.5,343.0,979.0,0.0,59.300907,7.205,67.85,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 13:00:00,2,1168.0,1316.0,296.0,872.0,0.0,65.74753,5.3999996,70.825,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 14:00:00,2,1167.0,1319.0,304.0,863.0,0.0,65.038895,5.435,76.69,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 15:00:00,2,1228.0,1377.5,299.0,929.0,0.0,60.480614,6.195,72.8,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 16:00:00,2,738.0,839.0,202.0,536.0,0.0,62.452087,3.775,82.925,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 17:00:00,2,517.0,582.0,130.0,387.0,0.0,56.294796,2.755,63.675,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 18:00:00,2,673.0,749.0,152.0,521.0,0.0,39.922554,5.51,49.910004,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 19:00:00,2,814.0,858.0,88.0,726.0,0.0,29.602053,5.285,59.04,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 20:00:00,2,367.0,404.0,74.0,293.0,0.0,63.09989,1.595,89.275,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 21:00:00,2,242.0,263.5,43.0,199.0,0.0,70.35694,0.96500003,129.025,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 22:00:00,2,243.0,264.0,42.0,201.0,0.0,73.19815,0.96500003,138.67,
VM210E2,復興北路隧道西側隧道頂板二車道主線0K+740公尺處,正向放置,2016-04-01 23:00:00,2,208.0,225.5,35.0,173.0,0.0,73.49442,0.83,140.49,
