台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 00:00:00,3,280.0,302.0,44.0,236.0,0.0,60.965145,1.23,0.19333334,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 01:00:00,3,161.0,167.0,12.0,149.0,0.0,67.25105,0.59999996,0.15666668,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 02:00:00,3,115.0,123.5,17.0,98.0,0.0,56.440434,0.5233334,0.096666664,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 03:00:00,3,74.0,76.5,5.0,69.0,0.0,53.19027,0.37666667,0.080000006,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 04:00:00,3,80.0,86.0,12.0,68.0,0.0,55.151623,0.44000003,0.05666667,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 05:00:00,3,109.0,119.5,21.0,88.0,0.0,54.74156,0.6333333,0.086666666,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 06:00:00,3,216.0,227.0,22.0,194.0,0.0,59.075928,0.9166667,0.120000005,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 07:00:00,3,484.0,538.0,108.0,376.0,0.0,60.310764,2.86,0.39333335,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 08:00:00,3,1362.5,1450.8093,146.0,1211.0,0.0,61.74566,6.153333,0.7866667,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 09:00:00,3,1833.0,1941.5,217.0,1616.0,0.0,58.224903,11.896667,1.06,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 10:00:00,3,1370.0,1445.5,151.0,1219.0,0.0,61.705166,5.656667,0.95,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 11:00:00,3,1203.0,1268.0,130.0,1073.0,0.0,61.754097,4.9733334,0.9333334,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 12:00:00,3,1186.5,1248.5,122.0,1057.0,0.0,61.244614,4.7833333,0.8066667,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 13:00:00,3,1153.0,1215.0763,112.0,1041.0,0.0,61.402237,5.2166667,0.81,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 14:00:00,3,1219.0,1283.0,128.0,1091.0,0.0,62.56363,4.9066668,0.89000005,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 15:00:00,3,1362.0,1444.5,165.0,1197.0,0.0,61.14237,6.273333,0.90333337,
VNXPC60,民權東路四段新中街口往西約45M處,往西,2016-04-01 16:00:00,3,1332.0,1401.0,138.0,1194.0,0.0,58.396187,5.9833336,0.81333333,
