台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 00:00:00,2,168.0,172.0,8.0,160.0,0.0,20.475357,2.61,0.03,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 01:00:00,2,117.0,123.103455,4.0,113.0,0.0,21.359743,1.52,0.01,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 02:00:00,2,77.0,77.5,1.0,76.0,0.0,21.15974,0.785,0.01,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 03:00:00,2,61.0,61.0,0.0,61.0,0.0,23.016394,0.65,0.015,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 04:00:00,2,48.0,50.0,4.0,44.0,0.0,23.582499,0.53000003,0.0,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 05:00:00,2,76.0,78.0,4.0,72.0,0.0,24.266184,0.84000003,0.01,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 06:00:00,2,124.0,128.5,9.0,115.0,0.0,24.13121,1.555,0.035,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 07:00:00,2,389.0,414.5,51.0,338.0,0.0,18.210978,9.625,0.105,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 08:00:00,2,860.0,897.5,75.0,785.0,0.0,15.009813,29.725,0.165,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 09:00:00,2,1025.0,1072.0,94.0,931.0,0.0,14.191025,34.965,0.17,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 10:00:00,2,754.0,786.5,65.0,689.0,0.0,14.197613,28.555,0.16499999,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 11:00:00,2,660.0,700.5,81.0,579.0,0.0,15.616122,24.75,0.13,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 12:00:00,2,597.0,631.0,68.0,529.0,0.0,15.778944,20.915,0.11,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 13:00:00,2,635.0,664.5,59.0,576.0,0.0,16.22,24.535,0.114999995,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 14:00:00,2,691.0,724.0,66.0,625.0,0.0,15.082721,25.91,0.17500001,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 15:00:00,2,879.0,917.0,76.0,803.0,0.0,11.060717,24.375,0.15,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 16:00:00,2,571.0,607.0,72.0,499.0,0.0,12.937216,28.805,0.145,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 17:00:00,2,613.0,641.5,57.0,556.0,0.0,12.777945,28.765,0.115,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 18:00:00,2,663.0,695.5,65.0,598.0,0.0,13.358537,27.724998,0.19,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 19:00:00,2,670.0,705.5,71.0,599.0,0.0,11.990134,36.550003,0.075,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 20:00:00,2,629.0,660.5,63.0,566.0,0.0,12.538076,24.285,0.14,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 21:00:00,2,562.0,595.5,67.0,495.0,0.0,13.303167,21.5,0.14,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 22:00:00,2,573.0,609.5,73.0,500.0,0.0,12.788954,20.25,0.095,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-01 23:00:00,2,452.0,480.0,56.0,396.0,0.0,13.47615,18.45,0.15,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 00:00:00,2,290.0,300.0,20.0,270.0,0.0,18.421309,6.1499996,0.04,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 01:00:00,2,193.0,204.31035,9.0,184.0,0.0,21.428652,2.7150002,0.049999997,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 02:00:00,2,107.0,107.0,0.0,107.0,0.0,20.7643,1.16,0.0,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 03:00:00,2,95.0,98.0,6.0,89.0,0.0,24.052422,1.01,0.01,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 04:00:00,2,90.0,91.5,3.0,87.0,0.0,24.622667,0.94000006,0.015,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 05:00:00,2,140.0,143.5,7.0,133.0,0.0,22.248001,1.685,0.02,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 06:00:00,2,241.0,253.0,24.0,217.0,0.0,21.138546,3.8049998,0.07,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 07:00:00,2,466.0,495.0,58.0,408.0,0.0,15.538776,15.549999,0.09,
VNZ4641,三重路69號（南湖大橋-經貿二路）,往南,2016-04-02 08:00:00,2,523.0,546.5,47.0,476.0,0.0,15.629426,16.2,0.19,
