台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 00:00:00,3,468.0,501.42856,0.0,468.0,0.0,56.22658,1.2233334,127.14333,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 01:00:00,3,293.0,293.5,1.0,292.0,0.0,56.432495,0.81333333,149.08333,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 02:00:00,3,204.0,207.45761,0.0,204.0,0.0,56.174507,0.6366667,163.62334,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 03:00:00,3,119.0,125.26316,0.0,119.0,0.0,56.451843,0.46,180.91667,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 04:00:00,3,110.0,110.0,0.0,110.0,0.0,57.099094,0.4466667,182.72002,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 05:00:00,3,126.0,126.0,0.0,126.0,0.0,56.407146,0.47666666,175.89,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 06:00:00,3,218.0,218.0,0.0,218.0,0.0,56.384403,0.67333335,163.47002,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 07:00:00,3,636.0,636.0,0.0,636.0,0.0,55.933903,1.5333334,124.38333,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 08:00:00,3,1954.0,1987.1187,0.0,1954.0,0.0,54.257877,5.1433334,68.4,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 09:00:00,3,2076.0,2231.579,88.0,1988.0,0.0,43.31823,10.053333,79.85,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 10:00:00,3,1892.0,1893.0,2.0,1890.0,0.0,53.958946,5.01,78.82666,
VPMSV40,堤頂大道二段內湖污水處理場停車場出口右側,往北,2016-04-01 11:00:00,3,1854.0,1854.0,0.0,1854.0,0.0,54.47321,4.706667,76.64001,
