台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 00:00:00,2,152.0,161.5,19.0,133.0,0.0,60.459217,0.75,236.86499,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 01:00:00,2,68.0,68.0,0.0,68.0,0.0,61.305145,0.37,247.775,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 02:00:00,2,38.0,38.5,1.0,37.0,0.0,63.05421,0.25,249.565,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 03:00:00,2,34.0,35.0,2.0,32.0,0.0,66.87853,0.25,249.13501,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 04:00:00,2,21.0,22.5,3.0,18.0,0.0,68.47619,0.15,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 05:00:00,2,13.0,13.0,0.0,13.0,0.0,68.61539,0.1,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 06:00:00,2,46.0,49.5,7.0,39.0,0.0,69.19434,0.31,248.69,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 07:00:00,2,151.0,167.0,32.0,119.0,0.0,56.129406,0.96500003,238.225,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 08:00:00,2,438.0,479.5,83.0,355.0,0.0,55.32194,4.635,176.475,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 09:00:00,2,481.0,529.5,97.0,384.0,0.0,50.936283,3.3000002,169.155,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 10:00:00,2,595.0,643.5,97.0,498.0,0.0,47.46143,5.225,147.83,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 11:00:00,2,564.0,614.5,101.0,463.0,0.0,55.837982,4.185,150.315,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 12:00:00,2,493.0,542.0339,80.0,413.0,0.0,57.29621,3.55,163.97,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 13:00:00,2,537.0,584.5,95.0,442.0,0.0,49.39007,5.1000004,155.305,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 14:00:00,2,394.0,441.0,94.0,300.0,0.0,62.393044,2.36,180.835,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 15:00:00,2,506.0,548.5,85.0,421.0,0.0,55.56478,2.915,163.86,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 16:00:00,2,554.0,599.0,90.0,464.0,0.0,54.71646,5.44,155.01999,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 17:00:00,2,614.0,673.5,119.0,495.0,0.0,51.534203,5.8250003,146.005,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 18:00:00,2,581.0,630.0,98.0,483.0,0.0,55.929123,3.645,155.66501,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 19:00:00,2,691.0,746.0,110.0,581.0,0.0,48.997887,8.79,141.005,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 20:00:00,2,695.0,755.5,121.0,574.0,0.0,49.78456,5.65,137.81,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 21:00:00,2,573.0,626.0,106.0,462.0,0.0,53.5,3.625,159.65,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 22:00:00,2,536.0,580.0084,74.0,463.0,-1.0,56.876343,3.9950001,162.63,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-01 23:00:00,2,373.0,397.5,49.0,324.0,0.0,59.477,1.9100001,190.725,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 00:00:00,2,152.0,161.0,18.0,134.0,0.0,59.789074,0.79999995,233.915,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 01:00:00,2,68.0,68.0,0.0,68.0,0.0,60.338234,0.4,248.25,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 02:00:00,2,70.0,73.0,6.0,64.0,0.0,69.286,0.42000002,248.24,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 03:00:00,2,37.0,37.5,1.0,36.0,0.0,70.0,0.275,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 04:00:00,2,30.0,30.5,1.0,29.0,0.0,70.0,0.225,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 05:00:00,2,26.0,26.0,0.0,26.0,0.0,70.0,0.225,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 06:00:00,2,40.0,45.0,10.0,30.0,0.0,68.252,0.315,250.0,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 07:00:00,2,115.0,130.5,31.0,84.0,0.0,69.17478,0.735,243.705,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 08:00:00,2,175.0,194.0,38.0,137.0,0.0,63.1224,1.065,232.66501,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 09:00:00,2,271.0,299.5,57.0,214.0,0.0,63.096603,1.5150001,210.7,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 10:00:00,2,470.0,507.5,75.0,395.0,0.0,62.28979,2.3,170.20499,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 11:00:00,2,578.0,629.0,102.0,476.0,0.0,61.545807,4.185,152.38,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 12:00:00,2,543.0,596.4407,87.0,456.0,0.0,59.84514,2.875,161.91501,
VQKWL60,民權東路六段(防災科學教育館對面),往西,2016-04-02 13:00:00,2,606.0,648.5,85.0,521.0,0.0,55.87792,5.185,150.965,
