台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 00:00:00,3,283.0,305.35712,4.0,279.0,0.0,47.487106,1.0233333,139.08,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 01:00:00,3,182.0,182.5,1.0,181.0,0.0,47.48637,0.7033333,161.94334,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 02:00:00,3,115.0,116.0,2.0,113.0,0.0,47.79391,0.5,170.19666,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 03:00:00,3,72.0,77.14285,0.0,72.0,0.0,48.294025,0.34333333,193.77998,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 04:00:00,3,57.0,57.0,0.0,57.0,0.0,47.31193,0.28333333,203.80334,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 05:00:00,3,71.0,71.5,1.0,70.0,0.0,48.00338,0.35333335,196.77998,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 06:00:00,3,103.0,103.5,1.0,102.0,0.0,46.5166,0.45999995,179.72333,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 07:00:00,3,505.0,509.0,8.0,497.0,0.0,46.87594,1.7800001,126.01666,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 08:00:00,3,1761.0,1802.5422,23.0,1738.0,0.0,44.381016,6.986666,82.35667,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 09:00:00,3,2486.0,2646.8423,57.0,2429.0,0.0,39.215317,12.146667,70.92667,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 10:00:00,3,1961.0,1977.0,32.0,1929.0,0.0,44.534935,7.2000003,73.90667,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 11:00:00,3,1656.0,1690.5,69.0,1587.0,0.0,41.778572,8.183333,79.02333,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 12:00:00,3,1680.0,1722.0,84.0,1596.0,0.0,40.887825,8.086667,77.659996,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 13:00:00,3,1458.0,1486.0,56.0,1402.0,0.0,42.34428,7.4233336,84.24,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 14:00:00,3,1686.0,1720.5,69.0,1617.0,0.0,42.13156,8.126667,69.79667,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 15:00:00,3,1688.0,1846.6072,71.0,1617.0,0.0,40.67263,8.78,70.43333,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 16:00:00,3,1715.0,1748.5,67.0,1648.0,0.0,41.97407,7.85,73.43333,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 17:00:00,3,1650.0,1668.0,36.0,1614.0,0.0,42.768787,7.406667,76.96667,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 18:00:00,3,1803.0,1830.0,54.0,1749.0,0.0,40.46046,10.016666,91.666664,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 19:00:00,3,1658.0,1687.0,58.0,1600.0,0.0,40.30441,8.79,89.006676,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 20:00:00,3,1242.0,1275.2542,24.0,1218.0,0.0,43.810898,4.8933334,94.22,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 21:00:00,3,959.0,1011.57886,4.0,955.0,0.0,45.787457,3.5566666,102.049995,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 22:00:00,3,954.0,957.0,6.0,948.0,0.0,45.76757,3.4399998,106.51,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-01 23:00:00,3,737.0,737.5,1.0,736.0,0.0,46.551117,2.46,111.993324,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 00:00:00,3,369.0,369.5,1.0,368.0,0.0,47.282955,1.2633333,139.09001,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 01:00:00,3,245.0,245.0,0.0,245.0,0.0,47.635883,0.9266667,137.89,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 02:00:00,3,161.0,161.5,1.0,160.0,0.0,48.4154,0.59666663,162.49666,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 03:00:00,3,96.0,102.85714,0.0,96.0,0.0,47.885624,0.41333333,185.75,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 04:00:00,3,71.0,71.0,0.0,71.0,0.0,48.279575,0.33666667,195.02998,
VRPSV00,堤頂大道二段與舊宗路二段路口槽化島,往北,2016-04-02 05:00:00,3,88.0,89.5,3.0,85.0,0.0,48.263638,0.4,185.0,
