台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 00:00:00,2,341.0,350.5,19.0,322.0,0.0,103.40621,1.81,194.4,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 01:00:00,2,206.0,210.5,9.0,197.0,0.0,120.01582,1.05,224.485,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 02:00:00,2,136.0,140.33899,4.0,132.0,0.0,132.83699,0.69,240.895,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 03:00:00,2,97.0,97.5,1.0,96.0,0.0,130.44525,0.6,245.375,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 04:00:00,2,68.0,68.0,0.0,68.0,0.0,141.23706,0.42000002,247.815,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 05:00:00,2,94.0,95.0,2.0,92.0,0.0,161.45702,0.57,244.03,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 06:00:00,2,179.0,183.5,9.0,170.0,0.0,131.85223,0.9,232.61499,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 07:00:00,2,446.0,464.5,37.0,409.0,0.0,77.44794,2.415,176.58499,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 08:00:00,2,1082.0,1117.5,71.0,999.0,0.0,51.67346,8.365,92.825,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 09:00:00,2,2025.0,2097.2034,100.0,1912.0,0.0,38.451077,15.35,102.44,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 10:00:00,2,1990.0,2080.2542,138.0,1852.0,0.0,36.22183,14.164999,95.775,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 11:00:00,2,1356.0,1385.0,58.0,1298.0,0.0,50.082687,3.99,62.735,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 12:00:00,2,1097.0,1156.2711,80.0,1017.0,0.0,52.553215,5.9449997,78.375,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 13:00:00,2,1058.0,1128.0,140.0,918.0,0.0,48.837772,10.725,93.965,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 14:00:00,2,1018.0,1067.0,98.0,920.0,0.0,50.17071,8.085,95.92,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 15:00:00,2,938.0,969.5,63.0,875.0,0.0,53.360382,6.7,101.835,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 16:00:00,2,936.0,967.5,63.0,873.0,0.0,55.838036,5.8500004,104.025,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 17:00:00,2,864.0,896.0,64.0,800.0,0.0,54.09309,5.5299997,114.465,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 18:00:00,2,1159.0,1211.5,105.0,1054.0,0.0,50.3581,9.615,86.475,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 19:00:00,2,1685.0,1780.0,190.0,1495.0,0.0,26.646196,15.275,80.415,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 20:00:00,2,884.0,917.5,67.0,817.0,0.0,52.75118,5.96,111.05499,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 21:00:00,2,876.0,908.5,65.0,811.0,0.0,52.221943,7.02,115.725,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 22:00:00,2,806.0,832.0,52.0,754.0,0.0,54.967247,5.45,129.43,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-01 23:00:00,2,684.0,699.0,30.0,654.0,0.0,56.462147,3.7849998,140.29,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 00:00:00,2,445.0,459.5,29.0,416.0,0.0,58.038403,2.565,170.6,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 01:00:00,2,274.0,278.0,8.0,266.0,0.0,60.308723,1.38,203.16,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 02:00:00,2,199.0,207.41379,3.0,196.0,0.0,67.94136,0.9,227.86,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 03:00:00,2,140.0,143.0,6.0,134.0,0.0,68.447,0.70000005,238.535,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 04:00:00,2,133.0,133.5,1.0,132.0,0.0,68.73579,0.70000005,239.935,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 05:00:00,2,160.0,160.0,0.0,160.0,0.0,61.794,0.85,233.415,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 06:00:00,2,247.0,250.5,7.0,240.0,0.0,62.378944,1.215,210.45999,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 07:00:00,2,381.0,392.0,22.0,359.0,0.0,57.556297,1.8899999,191.6,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 08:00:00,2,526.0,542.0,32.0,494.0,0.0,58.61055,2.81,162.57,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 09:00:00,2,671.0,694.5,47.0,624.0,0.0,57.343517,4.025,140.58499,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 10:00:00,2,885.0,922.5,75.0,810.0,0.0,51.537457,6.33,119.58,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 11:00:00,2,969.0,1005.5,73.0,896.0,0.0,52.449306,6.615,107.425,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 12:00:00,2,1060.0,1112.5,105.0,955.0,0.0,48.689247,9.43,97.369995,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 13:00:00,2,1037.0,1064.0,54.0,983.0,0.0,55.28631,6.125,103.25,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 14:00:00,2,713.0,998.8636,39.0,674.0,0.0,54.443367,6.435,96.08,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 15:00:00,2,903.0,925.5,45.0,858.0,0.0,55.482857,5.565,103.425,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 16:00:00,2,963.0,994.0,62.0,901.0,0.0,53.601112,6.185,105.475,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 17:00:00,2,975.0,1000.0,50.0,925.0,0.0,57.64445,5.7349997,109.44,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 18:00:00,2,981.0,1010.5,59.0,922.0,0.0,55.144035,6.3,108.94,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 19:00:00,2,926.0,952.0,52.0,874.0,0.0,55.51582,5.6949997,109.009995,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 20:00:00,2,814.0,835.0,42.0,772.0,0.0,56.19079,4.46,125.675,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 21:00:00,2,760.0,778.5,37.0,723.0,0.0,56.004604,4.08,127.655,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 22:00:00,2,706.0,719.0,26.0,680.0,0.0,60.749435,3.61,136.95,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-02 23:00:00,2,566.0,581.5,31.0,535.0,0.0,62.602562,2.6750002,163.29999,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 00:00:00,2,338.0,349.5,23.0,315.0,0.0,65.323845,1.625,193.19,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 01:00:00,2,243.0,247.5,9.0,234.0,0.0,64.510284,1.165,215.64,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 02:00:00,2,143.0,149.48276,3.0,140.0,0.0,70.74455,0.7,234.185,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 03:00:00,2,133.0,134.0,2.0,131.0,0.0,65.847145,0.69,241.625,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 04:00:00,2,113.0,113.0,0.0,113.0,0.0,66.487434,0.625,245.33499,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 05:00:00,2,117.0,119.5,5.0,112.0,0.0,67.446495,0.685,244.945,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 06:00:00,2,208.0,210.5,5.0,203.0,0.0,61.7374,0.95500004,226.06,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 07:00:00,2,322.0,327.0,10.0,312.0,0.0,57.562458,1.515,197.105,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 08:00:00,2,406.0,421.5,31.0,375.0,0.0,55.159996,2.37,178.005,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 09:00:00,2,542.0,559.5,35.0,507.0,0.0,56.457397,2.985,158.215,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 10:00:00,2,707.0,726.5,39.0,668.0,0.0,56.003845,4.335,136.45999,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 11:00:00,2,787.0,811.0,48.0,739.0,0.0,57.265274,4.98,122.685,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 12:00:00,2,778.0,798.0,40.0,738.0,0.0,54.911556,4.725,124.700005,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 13:00:00,2,800.0,821.5,43.0,757.0,0.0,57.841602,4.4700003,124.3,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 14:00:00,2,851.0,876.0,50.0,801.0,0.0,56.597504,4.995,112.295,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 15:00:00,2,867.0,889.0,44.0,823.0,0.0,59.00741,5.34,122.86,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 16:00:00,2,834.0,860.0,52.0,782.0,0.0,59.885326,4.71,121.645004,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 17:00:00,2,803.0,823.5,41.0,762.0,0.0,60.798656,4.19,124.1,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 18:00:00,2,805.0,825.0,40.0,765.0,0.0,57.45354,4.4750004,120.94,
VSKTL00,港墘路149號對面人行道上,往北,2016-04-03 19:00:00,2,764.0,783.0,38.0,726.0,0.0,57.70596,4.425,132.69,
