台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 00:00:00,2,285.0,311.5,53.0,232.0,0.0,45.19621,1.275,126.45,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 01:00:00,2,157.0,167.5,21.0,136.0,0.0,45.80567,0.65,118.3,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 02:00:00,2,96.0,106.0,20.0,76.0,0.0,45.877502,0.36,89.604996,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 03:00:00,2,56.0,60.0,8.0,48.0,0.0,44.800716,0.165,58.995003,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 04:00:00,2,43.0,46.5,7.0,36.0,0.0,44.118374,0.16499999,40.489998,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 05:00:00,2,55.0,58.0,6.0,49.0,0.0,44.32691,0.18,73.275,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 06:00:00,2,55.0,57.5,5.0,50.0,0.0,45.512726,0.15,56.385,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 07:00:00,2,150.0,157.0,14.0,136.0,0.0,46.103397,0.605,130.48,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 08:00:00,2,536.0,544.5,17.0,519.0,0.0,43.599533,3.4650002,119.865,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 09:00:00,2,590.0,602.5,25.0,565.0,0.0,43.07851,3.79,113.075,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 10:00:00,2,618.0,644.5,53.0,565.0,0.0,39.728497,5.735,99.805,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 11:00:00,2,663.0,688.0,50.0,613.0,0.0,42.14534,4.5,91.71,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 12:00:00,2,611.0,626.5,31.0,580.0,0.0,44.97,3.3799999,95.845,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 13:00:00,2,693.0,714.5,43.0,650.0,0.0,43.564674,4.29,89.545,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 14:00:00,2,639.0,651.0,24.0,615.0,0.0,44.610985,3.7849998,90.115,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 15:00:00,2,718.0,731.0,26.0,692.0,0.0,42.18776,4.7999997,85.835,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 16:00:00,2,728.0,741.5,27.0,701.0,0.0,43.324352,4.125,82.03999,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 17:00:00,2,768.0,780.0,24.0,744.0,0.0,43.13414,4.7,79.020004,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 18:00:00,2,794.0,807.0,26.0,768.0,0.0,41.691162,5.9750004,92.115005,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 19:00:00,2,880.0,966.5,173.0,707.0,0.0,38.096455,11.684999,101.45,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 20:00:00,2,788.0,847.0,118.0,670.0,0.0,40.65387,5.695,96.759995,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 21:00:00,2,672.0,718.0,92.0,580.0,0.0,41.87994,4.14,93.3,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 22:00:00,2,680.0,733.0,106.0,574.0,0.0,42.869705,4.11,95.854996,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-01 23:00:00,2,515.0,568.98303,89.0,426.0,0.0,44.285942,2.99,105.185,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 00:00:00,2,329.0,350.0,42.0,287.0,0.0,44.634834,1.6600001,111.29,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 01:00:00,2,182.0,193.5,23.0,159.0,0.0,47.26247,0.825,82.21,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 02:00:00,2,175.0,191.0,32.0,143.0,0.0,47.937656,0.56,107.56,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 03:00:00,2,92.0,96.5,9.0,83.0,0.0,44.193913,0.28,80.725,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 04:00:00,2,64.0,67.5,7.0,57.0,0.0,44.623127,0.15,76.63,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 05:00:00,2,67.0,69.5,5.0,62.0,0.0,44.714924,0.15,72.020004,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 06:00:00,2,82.0,84.0,4.0,78.0,0.0,46.046097,0.22500001,86.605,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 07:00:00,2,126.0,131.5,11.0,115.0,0.0,47.674446,0.48999998,107.485,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 08:00:00,2,229.0,237.0,16.0,213.0,0.0,48.322403,1.01,131.025,
VSXTK20,內湖路(港墘路-文德路)-港墘捷運站2號出口前號誌桿,未指定,2016-04-02 09:00:00,2,361.0,370.0,18.0,343.0,0.0,45.6638,1.8000001,124.79,
