台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 00:00:00,2,207.0,212.5,11.0,196.0,0.0,36.115215,1.0799999,118.21001,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 01:00:00,2,149.0,153.5,9.0,140.0,0.0,38.56047,0.595,110.200005,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 02:00:00,2,91.0,93.0,4.0,87.0,0.0,36.767143,0.36,104.405,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 03:00:00,2,52.0,52.5,1.0,51.0,0.0,37.572308,0.17500001,65.59,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 04:00:00,2,44.0,44.0,0.0,44.0,0.0,35.291363,0.19,49.415,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 05:00:00,2,56.0,57.0,2.0,54.0,0.0,36.232857,0.19,74.840004,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 06:00:00,2,94.0,100.5,13.0,81.0,0.0,40.64468,0.515,93.45,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 07:00:00,2,287.0,314.0,54.0,233.0,0.0,44.365852,2.19,133.76,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 08:00:00,2,675.0,706.0,62.0,613.0,0.0,37.335392,7.29,99.604996,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 09:00:00,2,982.0,1034.0,104.0,878.0,0.0,27.016659,24.055,86.58,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 10:00:00,2,815.0,847.5,65.0,744.0,0.0,32.756416,11.625,81.85,
VT8SZ60,內湖路(基湖路-港墘路)-內湖路1段609號路燈桿(已附掛市警局CCTV),未指定,2016-04-01 11:00:00,2,668.0,698.77966,45.0,624.0,-1.0,38.542397,5.7650003,99.455,
