台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 00:00:00,4,99.0,96.0,0.0,96.0,3.0,61.820004,0.4375,20.8175,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 01:00:00,4,53.0,50.0,0.0,50.0,3.0,64.13,0.2575,16.155,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 02:00:00,4,28.0,26.440678,0.0,26.0,2.0,63.93,0.2125,14.4175,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 03:00:00,4,12.0,11.5,1.0,10.0,1.0,61.5,0.1,4.655,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 04:00:00,4,13.0,12.5,1.0,11.0,1.0,60.31,0.1,6.3875,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 05:00:00,4,8.0,8.135593,0.0,8.0,0.0,59.25,0.0625,2.945,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 06:00:00,4,20.0,20.5,1.0,19.0,0.0,64.2,0.125,7.97,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 07:00:00,4,79.0,83.5,9.0,70.0,0.0,60.799995,0.4125,16.1075,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 08:00:00,4,241.0,240.5,5.0,233.0,3.0,60.46,0.925,25.845,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 09:00:00,4,205.0,205.0,6.0,196.0,3.0,62.809998,0.8,25.5925,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 10:00:00,4,193.0,197.58621,4.0,185.0,4.0,61.4,0.7725,26.42,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 11:00:00,4,163.0,161.5,3.0,157.0,3.0,61.040005,0.67,28.1425,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 12:00:00,4,132.0,141.0,24.0,105.0,3.0,50.55,4.3675,11.1325,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 13:00:00,4,188.0,192.20338,14.0,168.0,6.0,59.29,1.9925,17.29,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 14:00:00,4,197.0,196.5,1.0,195.0,1.0,61.37,0.77,28.555,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 15:00:00,4,221.0,213.5,3.0,209.0,9.0,60.02,0.8675,25.0875,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 16:00:00,4,264.0,265.5,7.0,255.0,2.0,58.88,1.025,27.075,
VTEZS61,0+535北側車道(一號隧道內),西,2016-04-01 17:00:00,4,288.0,285.0,8.0,273.0,7.0,58.92,1.07,24.595,
