台北市交通管制工程處,,,,,,,,,,,,,
設備編號,位置,車道群組,時間,車道總數,總和流量,總和當量,大車流量,小車流量,機車流量,平均速度,平均佔有率%,平均車間距,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 00:00:00,4,97.0,97.5,1.0,96.0,0.0,33.74794,0.0075,71.6075,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 01:00:00,4,61.0,61.5,1.0,60.0,0.0,33.04721,0.0,50.03,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 02:00:00,4,32.0,33.0,2.0,30.0,0.0,32.28219,0.0,30.7225,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 03:00:00,4,18.0,18.0,0.0,18.0,0.0,37.445,0.0,15.7775,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 04:00:00,4,13.0,13.5,1.0,12.0,0.0,33.922306,0.0175,11.9825,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 05:00:00,4,17.0,17.79661,1.0,16.0,0.0,37.295296,0.005,16.7425,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 06:00:00,4,88.0,110.0,44.0,44.0,0.0,35.022045,0.395,44.1475,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 07:00:00,4,109.0,110.5,3.0,106.0,0.0,36.43202,0.05,73.545,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 08:00:00,4,250.0,257.5,15.0,235.0,0.0,34.31528,0.40499997,98.57,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 09:00:00,4,355.0,382.5,55.0,300.0,0.0,35.534958,0.62750006,104.655,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 10:00:00,4,606.0,643.5,75.0,531.0,0.0,35.9534,1.1725,117.350006,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 11:00:00,4,502.0,530.5,57.0,445.0,0.0,35.551395,0.9825,115.89,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 12:00:00,4,272.0,284.0,24.0,248.0,0.0,37.14941,0.4125,110.81999,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 13:00:00,4,357.0,377.5,41.0,316.0,0.0,37.66258,0.565,92.667496,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 14:00:00,4,274.0,289.5,31.0,243.0,0.0,34.17168,0.37,112.455,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 15:00:00,4,321.0,340.5,39.0,282.0,0.0,35.164295,0.52500004,107.2875,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 16:00:00,4,284.0,303.55933,29.0,255.0,0.0,34.970634,0.39249998,111.83,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 17:00:00,4,383.0,424.5,83.0,300.0,0.0,33.945225,1.6025,115.075,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 18:00:00,4,265.0,279.835,28.0,232.0,0.0,30.254154,0.79,120.4725,
VU5QC60,內湖路(北安路-基湖路)-內湖路1段59號加油站前路燈桿(已附掛市警局CCTV),未指定,2016-04-01 19:00:00,4,887.0,973.0339,164.0,723.0,0.0,37.159042,2.2575002,95.1975,
