EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,00:00:00,2,468.0,468.5,1.0,467.0,0.0,75.70897,1.31,168.62
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,01:00:00,2,310.0,310.0,0.0,310.0,0.0,79.255745,0.85,206.025
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,02:00:00,2,210.0,210.0,0.0,210.0,0.0,79.337715,0.555,226.20001
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,03:00:00,2,121.0,121.0,0.0,121.0,0.0,79.350494,0.285,240.57
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,04:00:00,2,105.0,106.5,3.0,102.0,0.0,79.40191,0.235,245.68
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,05:00:00,2,107.0,107.0,0.0,107.0,0.0,81.59346,0.255,244.185
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,06:00:00,2,150.0,150.5,1.0,149.0,0.0,79.541,0.385,240.06
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,07:00:00,2,462.0,468.5,13.0,449.0,0.0,75.10227,1.3,180.475
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,08:00:00,2,1079.0,1079.0,0.0,1079.0,0.0,72.63968,3.21,79.104996
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,09:00:00,2,1203.0,1203.5,1.0,1202.0,0.0,70.38266,3.65,78.38
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,10:00:00,2,1101.0,1101.0,0.0,1101.0,0.0,69.65112,3.4,76.585
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,11:00:00,2,1069.0,1069.0,0.0,1069.0,0.0,69.35998,3.31,79.05
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,12:00:00,2,967.0,1001.37933,2.0,965.0,0.0,68.04014,3.225,88.19
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,13:00:00,2,965.0,983.38983,4.0,961.0,0.0,68.56294,3.1149998,84.775
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,14:00:00,2,987.0,987.5,1.0,986.0,0.0,69.92983,3.0,87.71
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,15:00:00,2,985.0,986.0,2.0,983.0,0.0,68.665215,3.125,84.619995
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,16:00:00,2,1108.0,1108.0,0.0,1108.0,0.0,67.909424,3.515,81.615
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,17:00:00,2,1043.0,1045.5,5.0,1038.0,0.0,68.31343,3.275,92.05
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,18:00:00,2,1118.0,1119.5,3.0,1115.0,0.0,68.72656,3.4650002,80.399994
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,19:00:00,2,987.0,987.5,1.0,986.0,0.0,68.587135,3.0349998,94.09
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,20:00:00,2,1022.0,1022.5,1.0,1021.0,0.0,70.16192,3.07,86.524994
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,21:00:00,2,1022.0,1022.0,0.0,1022.0,0.0,69.54929,3.1399999,79.24
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,22:00:00,2,925.0,925.5,1.0,924.0,0.0,70.790634,2.805,93.49
VJERC51,基隆路-忠孝東 往南,正向放置,2016-04-01,23:00:00,2,732.0,732.5,1.0,731.0,0.0,72.271965,2.15,120.5
