EQIPnumber,location,direct,YMD,hour,laneNumber,                        addTotal,15Total,truckflow,carflow,scooterflow,avgspeed,avgPercent,avgCarSpace
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,00:00:00,2,184.0,187.5,7.0,177.0,0.0,47.60706,0.96000004,226.025
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,01:00:00,2,108.0,109.5,3.0,105.0,0.0,49.989445,0.615,237.23999
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,02:00:00,2,63.0,64.5,3.0,60.0,0.0,50.933334,0.41500002,246.89
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,03:00:00,2,31.0,31.5,1.0,30.0,0.0,48.745808,0.18,250.0
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,04:00:00,2,44.0,44.0,0.0,44.0,0.0,49.545456,0.28,248.685
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,05:00:00,2,42.0,42.5,1.0,41.0,0.0,50.145473,0.27499998,244.91501
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,06:00:00,2,108.0,108.5,1.0,107.0,0.0,49.713333,0.575,236.025
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,07:00:00,2,292.0,300.5,17.0,275.0,0.0,50.847122,1.585,204.525
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,08:00:00,2,862.0,899.0,74.0,788.0,0.0,37.88452,10.685,123.465
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,09:00:00,2,1117.0,1257.0,280.0,837.0,0.0,24.64931,29.415,76.305
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,10:00:00,2,1019.0,1089.5,141.0,878.0,0.0,34.073696,13.2,105.0
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,11:00:00,2,811.0,845.5,69.0,742.0,0.0,43.95445,6.25,123.7
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,12:00:00,2,785.0,811.0,52.0,733.0,0.0,42.86875,5.775,135.425
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,13:00:00,2,644.0,690.5263,24.0,620.0,0.0,45.665047,4.55,152.15
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,14:00:00,2,798.0,833.0,70.0,728.0,0.0,42.057217,6.895,134.91501
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,15:00:00,2,914.0,950.5,73.0,841.0,0.0,41.486084,7.1000004,119.88
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,16:00:00,2,767.0,795.5,57.0,710.0,0.0,40.964764,6.69,136.55
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,17:00:00,2,1337.0,1355.5,37.0,1300.0,0.0,36.600185,5.675,138.685
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,18:00:00,2,806.0,862.5,113.0,693.0,0.0,37.117096,10.400001,122.575
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,19:00:00,2,798.0,864.5,133.0,665.0,0.0,34.949207,12.195,112.7
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,20:00:00,2,630.0,658.5,57.0,573.0,0.0,42.0254,5.8250003,142.995
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,21:00:00,2,564.0,573.5,19.0,545.0,0.0,44.772232,3.44,161.06
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,22:00:00,2,468.0,476.0,16.0,452.0,0.0,47.398464,2.7350001,169.3
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-01,23:00:00,2,368.0,374.0,12.0,356.0,0.0,49.38277,2.015,188.9
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,00:00:00,2,194.0,196.5,5.0,189.0,0.0,45.002365,1.125,220.95001
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,01:00:00,2,127.0,129.0,4.0,123.0,0.0,48.88937,0.69000006,233.685
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,02:00:00,2,90.0,92.0,4.0,86.0,0.0,50.604,0.56,239.6
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,03:00:00,2,49.0,51.5,5.0,44.0,0.0,48.532246,0.4,244.425
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,04:00:00,2,52.0,52.5,1.0,51.0,0.0,49.326923,0.315,244.4
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,05:00:00,2,63.0,63.0,0.0,63.0,0.0,49.88524,0.375,244.025
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,06:00:00,2,101.0,102.5,3.0,98.0,0.0,49.36515,0.53499997,235.63
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,07:00:00,2,205.0,210.5,11.0,194.0,0.0,47.527367,1.125,213.005
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,08:00:00,2,311.0,315.0,8.0,303.0,0.0,48.598103,1.615,195.41
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,09:00:00,2,407.0,415.0,16.0,391.0,0.0,48.16661,2.35,185.38
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,10:00:00,2,469.0,478.0,18.0,451.0,0.0,49.379852,2.685,167.935
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,11:00:00,2,533.0,542.0,18.0,515.0,0.0,46.972553,3.17,167.36
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,12:00:00,2,571.0,578.5,15.0,556.0,0.0,47.28488,3.24,157.33499
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,13:00:00,2,592.0,610.16943,16.0,576.0,0.0,46.958683,3.59,159.89
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,14:00:00,2,568.0,577.0,18.0,550.0,0.0,47.19327,3.29,162.325
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,15:00:00,2,573.0,583.0,20.0,553.0,0.0,45.088745,3.355,156.695
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,16:00:00,2,532.0,539.5,15.0,517.0,0.0,47.927746,3.09,161.91
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,17:00:00,2,587.0,598.0,22.0,565.0,0.0,46.00925,3.52,154.135
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,18:00:00,2,547.0,557.0,20.0,527.0,0.0,44.888428,3.32,166.935
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,19:00:00,2,585.0,596.5,23.0,562.0,0.0,47.448803,3.465,156.74
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,20:00:00,2,472.0,480.0,16.0,456.0,0.0,49.893158,2.625,172.415
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,21:00:00,2,444.0,448.0,8.0,436.0,0.0,48.358467,2.445,176.35
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,22:00:00,2,470.0,475.5,11.0,459.0,0.0,48.052597,2.655,170.45
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-02,23:00:00,2,311.0,317.0,12.0,299.0,0.0,43.80437,1.65,198.95
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,00:00:00,2,222.0,224.5,5.0,217.0,0.0,45.522972,1.215,213.59
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,01:00:00,2,136.0,137.0,2.0,134.0,0.0,49.178085,0.735,236.26999
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,02:00:00,2,91.0,91.0,0.0,91.0,0.0,49.112743,0.485,238.95001
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,03:00:00,2,47.0,47.0,0.0,47.0,0.0,49.762554,0.31,249.09
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,04:00:00,2,51.0,51.0,0.0,51.0,0.0,46.979214,0.335,244.5
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,05:00:00,2,39.0,39.0,0.0,39.0,0.0,48.510254,0.275,245.38
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,06:00:00,2,89.0,89.5,1.0,88.0,0.0,53.233482,0.45000002,238.57501
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,07:00:00,2,176.0,180.5,9.0,167.0,0.0,49.61449,0.97499996,227.83499
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,08:00:00,2,229.0,232.0,6.0,223.0,0.0,49.86664,1.175,210.09
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,09:00:00,2,259.0,264.5,11.0,248.0,0.0,47.88108,1.4549999,203.4
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,10:00:00,2,350.0,360.5,21.0,329.0,0.0,48.281948,2.06,188.415
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,11:00:00,2,430.0,439.0,18.0,412.0,0.0,46.676,2.49,178.35
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,12:00:00,2,529.0,536.0,14.0,515.0,0.0,48.599663,3.005,163.04
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,13:00:00,2,468.0,483.55933,15.0,453.0,0.0,48.92156,2.605,173.14
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,14:00:00,2,488.0,495.5,15.0,473.0,0.0,47.245743,2.8400002,166.545
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,15:00:00,2,506.0,511.5,11.0,495.0,0.0,43.99269,3.13,167.225
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,16:00:00,2,554.0,565.5,23.0,531.0,0.0,44.444477,3.425,157.535
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,17:00:00,2,554.0,560.0,12.0,542.0,0.0,46.72426,3.24,163.39
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,18:00:00,2,508.0,514.0,12.0,496.0,0.0,48.09646,2.955,169.58
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,19:00:00,2,521.0,526.0,10.0,511.0,0.0,48.129116,2.95,162.045
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,20:00:00,2,472.0,480.0,16.0,456.0,0.0,49.296883,2.6399999,167.285
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,21:00:00,2,494.0,498.5,9.0,485.0,0.0,48.104275,2.825,169.025
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,22:00:00,2,486.0,489.0,6.0,480.0,0.0,47.67648,2.6999998,165.5
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-03,23:00:00,2,340.0,347.0,14.0,326.0,0.0,47.56847,1.95,193.555
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,00:00:00,2,206.0,207.5,3.0,203.0,0.0,49.690876,1.07,219.725
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,01:00:00,2,157.0,158.0,2.0,155.0,0.0,50.9193,0.78000003,227.42499
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,02:00:00,2,98.0,98.0,0.0,98.0,0.0,51.940002,0.49,235.54999
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,03:00:00,2,52.0,52.5,1.0,51.0,0.0,49.138268,0.32,244.025
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,04:00:00,2,24.0,24.0,0.0,24.0,0.0,45.125,0.18,245.83
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,05:00:00,2,43.0,43.5,1.0,42.0,0.0,49.303482,0.3,245.38
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,06:00:00,2,73.0,74.5,3.0,70.0,0.0,53.435207,0.475,243.19
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,07:00:00,2,154.0,159.0,10.0,144.0,0.0,49.8476,0.84999996,228.69
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,08:00:00,2,223.0,225.5,5.0,218.0,0.0,50.26466,1.185,211.275
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,09:00:00,2,258.0,263.5,11.0,247.0,0.0,49.745117,1.45,209.675
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,10:00:00,2,381.0,389.5,17.0,364.0,0.0,49.25806,2.185,188.305
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,11:00:00,2,409.0,414.5,11.0,398.0,0.0,49.34401,2.225,176.715
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,12:00:00,2,504.0,511.5,15.0,489.0,0.0,47.986664,2.85,164.925
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,13:00:00,2,471.0,495.0,15.0,456.0,0.0,48.58773,2.8,170.455
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,14:00:00,2,523.0,529.0,12.0,511.0,0.0,48.394318,2.93,164.73
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,15:00:00,2,627.0,636.0,18.0,609.0,0.0,47.684338,3.715,155.5
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,16:00:00,2,625.0,633.5,17.0,608.0,0.0,45.458958,3.6399999,161.725
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,17:00:00,2,591.0,602.0,22.0,569.0,0.0,46.081825,3.66,158.55
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,18:00:00,2,576.0,588.5,25.0,551.0,0.0,48.62141,3.465,149.855
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,19:00:00,2,547.0,553.5,13.0,534.0,0.0,45.74278,3.16,164.725
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,20:00:00,2,530.0,539.0,18.0,512.0,0.0,47.37128,3.21,160.915
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,21:00:00,2,500.0,508.0,16.0,484.0,0.0,49.980244,2.865,170.64
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,22:00:00,2,488.0,494.5,13.0,475.0,0.0,47.156723,2.805,169.345
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-04,23:00:00,2,356.0,363.0,14.0,342.0,0.0,49.650875,1.9699999,189.81
VRPSV70,舊宗路二段213巷口對面槽化島上,往北,2016-04-05,00:00:00,2,243.0,246.5,7.0,236.0,0.0,49.003826,1.36,214.485
